id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,keyPass,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2515943937,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-03-05T14:19:51.674Z,2023-03-05T15:10:01Z,4075621813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075859181,197,3969,4075621809,130,17,4075621817,194,5ag0647kn7k4y21y8nigiwxqt,4075621821,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075621807,59,"1, 17, 7, 6, 14, 5, 18, 11, 19, 23, 10, 2, 4, 8, 9, 13, 15, 16, 20, 22",4075621799,30,"91vjxbtjn9fmsatxvncmwxyhh, 9x6jbuibbl7ysh0oovghyw4id, 7vtua260sxp339ie21any0zc9, 5ag0647kn7k4y21y8nigiwxqt, 5hk1m1corx8iy26z88eo65fpx, efrr99onfcuvb2gylkvvrnl9m, bixjzl99gkes918s5gbndtwwl, 57ubfxv6ujkk5cictmez4op1x, 5jwmy7qi01na2bmyw3zo3is8a, 5e5sc7yzyi9kja9edk892br9x, d71c1o7e1t448gemysrgisj8q, f24lwuatps6dy3yzdifyir6qd, aktfohaqh9czmqesi39tstlka, u29d1e3mswrdqx1aqfhuj8ph, 791g6utcjg9779zlvf7gyavze, bruuz81usy0wu8hpg4d6af3e1, em7ia2l8t9011hu2mnihjf90q, 4nbtzqsvw5ecwsh0k19rzoiga, 8m8fk05kqcs7ver68ubl61mju, 7ffrfies3tie3rewc1cm0hz9x",4075621803,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515966841,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-03-05T14:38:40.082Z,2023-03-05T15:35:03Z,4075746051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075746041,30,"b21lh284pf59feun9ktzfmc8a, 52ic0j91dhgr0vud2agr4ev2t, 3ws5zg8wy6j86cr8yrqxnsx9m, 4by0xo4xinb0m8nziofw0g3bp, 9jxxujnb2eoo7avj278ppnqvp, 1ite4628zwl6kanllmr7qb1zp, 25u358p365rnbnt0cptnyt3h1, 1z29kbiufzx7u32mh1fvy1rs9, eu6nudazhvggen5s7abc46bpx, 44j03m9xpbhjuxmqz6vge9y0a, 9ld622ld2el1ql9vy2akchfit, zuec10u63781iv5rojm31yzu, e7e86fnm9fyy937yep9pocbft, 4duzcq6r3j9ejv5b6koygle22, 13mb0sv3j53kze8l7ehr4izmd, ybmp63ubo0wcvjut4ljomgru, bu0u419xeqlkwvpsrx6a0ma51, 1szjchjw88hnlrwejnia4yyuh, 7n5a86810eorw5ugrdkognd62, deww74tobf47a10mnx69rk8b8",4075865209,194,52ic0j91dhgr0vud2agr4ev2t,4075746043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075746047,130,4,4075865213,197,16825,4075746049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075746045,59,"25, 17, 20, 12, 3, 19, 11, 6, 10, 23, 9, 4, 5, 8, 14, 16, 18, 21, 22, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991231,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-03-05T15:03:24.596Z,2023-03-05T15:03:27Z,4075874531,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991221,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-03-05T15:03:24.596Z,2023-03-05T15:03:24Z,4075874507,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991301,3,1,1,0,0,9ns699xp353c84r1g6epazycl,1,50,50,2023-03-05T15:03:24.696Z,2023-03-05T15:03:29Z,4075874853,141,47.3,4075874849,140,31.0,4075874855,212,20.0,4075874845,56,Back,4075874863,279,S,4075874859,213,3.2,,,,,,,44j03m9xpbhjuxmqz6vge9y0a,Érika González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991319,4,1,1,0,4,9ns699xp353c84r1g6epazycl,1,31,47.3,2023-03-05T15:03:29.527Z,2023-03-05T15:03:30Z,4075874937,56,Back,4075874945,213,2.2,4075874941,141,67.2,4075874943,212,16.7,4075874939,140,21.6,,,,,,,,,,4by0xo4xinb0m8nziofw0g3bp,Leire Baños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991361,5,1,1,0,5,9ns699xp353c84r1g6epazycl,1,22,68,2023-03-05T15:03:30.454Z,2023-03-05T15:03:32Z,4075875151,212,22.5,4075875153,213,0.9,4075875147,140,34.5,4075875145,56,Back,4075875149,141,94.8,,,,,,,,,,9jxxujnb2eoo7avj278ppnqvp,Núria Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991465,6,1,1,0,8,9ns699xp353c84r1g6epazycl,1,30.7,94.1,2023-03-05T15:03:32.743Z,2023-03-05T15:03:39Z,4075875697,56,Back,4075875703,212,17.8,4075875701,141,77.4,4075875705,213,5.6,4075875699,140,43.7,,,,,,,,,,3ws5zg8wy6j86cr8yrqxnsx9m,Paula Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991475,7,1,1,0,14,9ns699xp353c84r1g6epazycl,0,58.5,96.3,2023-03-05T15:03:39.511Z,2023-03-05T15:03:42Z,4075875995,236,,4075875763,212,4.0,4075875761,141,97.2,4075876001,286,,4075875757,140,54.7,4075875753,56,Left,4075875765,213,3.0,4075875997,233,3,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991505,3,74,1,0,14,bxlqcsb8ylen7lng9qy50eoq5,1,55.8,3.2,2023-03-05T15:03:39.512Z,2023-03-05T15:16:00Z,4075875931,285,,4075876019,233,7,4075875929,56,Right,,,,,,,,,,,,,,,,5e5sc7yzyi9kja9edk892br9x,Amanda Sampedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991481,8,61,1,0,15,9ns699xp353c84r1g6epazycl,1,54.7,97.2,2023-03-05T15:03:40.334Z,2023-03-05T15:03:40Z,4075875783,56,Left,,,,,,,,,,,,,,,,,,,,,,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991541,4,5,1,0,16,bxlqcsb8ylen7lng9qy50eoq5,1,48.3,-1.2,2023-03-05T15:03:41.287Z,2023-03-05T15:15:56Z,4075876135,347,,4075876133,56,Back,4075880551,233,9,,,,,,,,,,,,,,,,5e5sc7yzyi9kja9edk892br9x,Amanda Sampedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991665,9,5,1,0,16,9ns699xp353c84r1g6epazycl,0,51.7,101.2,2023-03-05T15:03:41.287Z,2023-03-05T15:04:32Z,4075876767,347,,4075876765,56,Left,4075880577,233,4,,,,,,,,,,,,,,,,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515991831,5,1,1,0,31,bxlqcsb8ylen7lng9qy50eoq5,1,53,0,2023-03-05T15:03:56.314Z,2023-03-05T15:04:00Z,4075877663,141,15.5,4075877661,140,60.0,4075877659,56,Right,4075877665,212,13.5,4075877657,107,,4075877667,213,1.0,,,,,,,9x6jbuibbl7ysh0oovghyw4id,Débora García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
