id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/12/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2500547121,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-01-25T17:14:56.090Z,2023-01-25T18:07:03Z,3994626985,194,83wqrctlm3zpp10zmx1tjc9ka,3994597565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994597557,30,"epgai2aff40j82jb3gumaehka, 1dfho5ul0u10h5m7cmtmj5x7u, q3xvi1pbz5hmr6zw6np6v4yd, 7dlyawb4x2lr5gjcz5b1y5ivp, d2at1haixfnekibqj89y4nxed, 8vwiezkux2gxs99ziy7x69fu2, 6lruud03b1so5uyjduuthtuj9, 83wqrctlm3zpp10zmx1tjc9ka, du0eybpvf5vcvtuj074x74jdg, 2j37sn6v53zhgz2hf1q33gzdg, 89zl8l8wouupdzgepnm1ogqhg, 1bvbnq69gxx0nciovzzf6o8dm, 3u9vtcqa5td8weoufpzirruhg, a0g0ldiol9fzw09gk5i9e15w4, c1ll2hqt71suy8bgwswpci9uy, du4sd3yhhb3avedd8yzjd6dey, 61ho0mi13ewpotj5udjt7mz2s, 4ts1xba21nxqu8shbfzcvj27d, cfmly5uuomypp4t0pibgtfazu, 9rk08avs1361jws1ibs5frl04",3994597559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994597563,130,23,3994597561,59,"13, 22, 4, 17, 3, 2, 14, 10, 7, 9, 12, 1, 6, 8, 11, 18, 19, 20, 21, 27",3994597567,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994652753,197,12185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500547393,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-01-25T17:16:41.274Z,2023-01-25T18:05:28Z,3994599123,30,"6h41rdmhfs08723t23zgi5vjd, 4trjsb4uoasjj3jwr77rh0k16, cq38p3rul6qi2tpvr077v8n6y, 245eszqeqx2xeair8h5n4z8b9, 8tux0w5del0ggtozbon3x92lm, 59k0w00mz9tbm2mehy6ix113p, 5nad4qgy5hlwfsm64mhkwadw5, 4vk1yd7zqaqapuejahqx7zi09, dgkmt7f5k9oqruxzsi3x9em6t, evfl561yy3cwa51hwnme6mifp, 13hy7ggmnhfalmdqlbp6lzv11, d4gjsmv5dqgv9w2e115gh7kk5, 7l3val0z7xwpaptf5ebgimnyt, 4rs6pmptx7w4moy8ks2vyrff9, a5b2mmssttscc0k5rss87lhey, 9k9f6c1xb7kfaq3siophz7ca1, cp37td3qaw8oyf3mznoh45o15, 79gb1aba3b9e3bht7frq0lqp6, 10w88nr6r2nzxank4gv5gokbt, 47wzwvf5ksv7kdivj9ra96l0p",3994599127,59,"1, 22, 7, 4, 14, 5, 8, 3, 11, 9, 10, 2, 6, 13, 15, 16, 18, 20, 23, 24",3994599135,197,16553,3994599131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994599137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994599129,130,18,3994599125,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994599133,194,59k0w00mz9tbm2mehy6ix113p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500557975,2,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-01-25T18:00:43.577Z,2023-01-25T18:00:46Z,3994655265,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500557969,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-01-25T18:00:43.577Z,2023-01-25T18:00:43Z,3994655237,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500557981,3,1,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,49.8,50,2023-01-25T18:00:43.677Z,2023-01-25T18:47:26Z,3994655291,279,S,3994655283,140,34.9,3994655281,56,Back,3994655287,212,17.5,3994655289,213,2.7,3994655285,141,61.4,,,,,,,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500570319,512,1,1,0,2,vaikl8nl7hdr4y9jj4jyb9ey,1,36.8,58.8,2023-01-25T18:00:45.577Z,2023-01-25T18:47:48Z,3994719943,213,0.7,3994719937,140,42.9,3994719939,141,66.1,3994719941,212,8.1,3994719935,56,Back,,,,,,,,,,4vk1yd7zqaqapuejahqx7zi09,Teresa Abelleira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500570345,513,1,1,0,3,vaikl8nl7hdr4y9jj4jyb9ey,1,43,67.3,2023-01-25T18:00:46.577Z,2023-01-25T18:47:55Z,3994720063,213,3.9,3994720055,56,Back,3994720059,141,59.9,3994720061,212,7.5,3994720057,140,37.7,,,,,,,,,,dgkmt7f5k9oqruxzsi3x9em6t,C. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500558003,4,1,1,0,5,vaikl8nl7hdr4y9jj4jyb9ey,1,34.1,53.9,2023-01-25T18:00:49.277Z,2023-01-25T18:48:03Z,3994655397,56,Back,3994655403,212,17.3,3994655407,213,5.1,3994655399,140,39.9,3994655401,141,30.1,,,,,,,,,,4vk1yd7zqaqapuejahqx7zi09,Teresa Abelleira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500558011,5,1,1,0,7,vaikl8nl7hdr4y9jj4jyb9ey,1,41,25.9,2023-01-25T18:00:51.437Z,2023-01-25T18:48:09Z,3994655439,56,Back,3994655441,140,43.2,3994655447,213,4.9,3994655443,141,11.4,3994655445,212,10.1,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500558039,6,1,1,0,10,vaikl8nl7hdr4y9jj4jyb9ey,1,43.4,16.4,2023-01-25T18:00:53.805Z,2023-01-25T18:48:18Z,3994655567,1,,3994655561,141,66.4,3994655557,56,Back,3994655565,213,1.5,3994655563,212,34.1,3994655559,140,45.6,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
