id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2487938081,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-11-27T10:18:18.200Z,2022-11-27T11:09:47Z,3927957087,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927957075,30,"8jok7wopda70yus7gj5qwi1nt, 982xo55a6ehu6960fxwr3bfje, 5ic26p6vixiy9kqtxniuh9zh1, 80bmdjixjy34wx3e5fb8re961, 9le3udqhtfsbnlr6py67cj71m, 42t82kh0hqfa7h92x1ujdz97u, 5ql8n3lw656v4i4wk74cselm1, 1au0af90j09ol6827vodhg1k9, buqygjztmnvmul49w3grzuo5x, eno0e1nmkn4ts5yy103k7inzd, aoy956n72pya0cc6bqj5x736x, cfjrwsqj3ktavvjte6sddgmi, 3rob14yal0zrzxj2tdpp4sewa, 8kq18ws6azqtq2dkrhqu0p045, eurxmqgiqw2hlsu8x0of9to7p, cndbae3p3ag0t2qpt22wafo8a, dc80qat3wirccbux02od5ogyd, f20f6etew7qc0bgwp7j1bgyne, 1giboljeo8fr7td6pvjyg70gk, bpqjytbm9oxa367bwxcyhiolw",3927983517,197,3985,3927957079,59,"1, 16, 23, 14, 4, 22, 31, 12, 10, 8, 17, 2, 6, 9, 25, 19, 20, 21, 27, 28",3927957083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927957085,194,5ic26p6vixiy9kqtxniuh9zh1,3927957077,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3927957081,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487938447,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2022-11-27T10:25:22.406Z,2022-11-27T11:05:59Z,3927983439,197,16933,3927959321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927959311,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3927959309,30,"7rm6858rwtecoxlt5ud31dmy2, 33t09qpv89b6wo3suzj33meax, 5o5f6l99dzhim5k1jnnmog6hh, 9w8g9it556ipl3zhatke1srca, w3vjdjxeuaauh8na84fkwhuy, 5cpnfg3x95yjy00c6h2g22tp1, 8jvs33mize0fkkihe2zot28k5, bdaicql6er9antum0eaar9x0q, er6khxd9z3wfjekigs4nxf8q, 4nvfy4deuo9cmsegz492aq2g9, bu6otdhlxkznbdm7v6gq1gq21, 3qu360b871q8wssodtkeq6oa2, 2me13zmgmf0r0wtsjmxid1zvt, 2qh8rg0ekcnh8qjvnnrpc9olx, 1533xkmkmi8rpb6yoa8807xn8, b9rcv1fsqcwockfpbkl58tl, 5w3y2f2ydr2ecq90cdzbn6ns9, 6mzsev0k2iqswrjncctnnawic",3927959319,194,5cpnfg3x95yjy00c6h2g22tp1,3927959315,130,4,3927959317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3927959313,59,"13, 19, 3, 39, 4, 5, 7, 10, 9, 11, 14, 1, 2, 15, 16, 17, 21, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943037,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2022-11-27T11:02:06.133Z,2022-11-27T11:02:06Z,3927984985,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943041,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-11-27T11:02:06.133Z,2022-11-27T11:02:08Z,3927984999,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943043,3,1,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,50.3,49.7,2022-11-27T11:02:06.233Z,2022-11-27T11:02:34Z,3927985013,279,S,3927985005,140,34.4,3927985009,212,16.7,3927985011,213,3.1,3927985007,141,49.7,3927985003,56,Back,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943063,4,1,1,0,3,9ouh98eyf6u69lbxc13mllm7f,1,34,52.4,2022-11-27T11:02:10.063Z,2022-11-27T11:02:12Z,3927985087,213,1.9,3927985079,56,Back,3927985083,141,87.5,3927985085,212,25.1,3927985081,140,26.6,,,,,,,,,,80bmdjixjy34wx3e5fb8re961,Natalia Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943073,5,1,1,0,6,9ouh98eyf6u69lbxc13mllm7f,0,27.8,94.4,2022-11-27T11:02:12.831Z,2022-11-27T11:02:15Z,3927985129,141,78.1,3927985125,56,Center,3927985127,140,75.7,3927985123,155,,3927985139,1,,3927985135,213,6.1,3927985131,212,51.5,,,,5ic26p6vixiy9kqtxniuh9zh1,Pisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943083,3,1,1,0,9,cd1ottifbgcfrn6pdrdpwt7z0,0,22.8,18,2022-11-27T11:02:15.933Z,2022-11-27T11:02:17Z,3927985179,212,22.5,3927985175,140,43.2,3927985171,3,,3927985177,141,28.0,3927985181,213,0.3,3927985173,56,Back,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943089,4,43,1,0,11,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2022-11-27T11:02:17.884Z,2022-11-27T11:02:20Z,3927985193,56,Back,3927985249,144,45,3927985195,285,0,,,,,,,,,,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943099,6,1,1,0,12,9ouh98eyf6u69lbxc13mllm7f,1,62,64.3,2022-11-27T11:02:18.463Z,2022-11-27T11:02:19Z,3927985241,141,54.6,3927985239,140,54.0,3927985243,212,10.7,3927985245,213,3.8,3927985237,56,Center,,,,,,,,,,1au0af90j09ol6827vodhg1k9,C. Falknor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
