id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist
2524356665,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-03-25T10:31:18.352Z,2023-03-25T11:05:16Z,4122490993,197,3985,4122454283,194,42t82kh0hqfa7h92x1ujdz97u,4122454273,30,"7yjvzelaq5iir99b4631uiyg9, dc80qat3wirccbux02od5ogyd, 5ic26p6vixiy9kqtxniuh9zh1, 3rob14yal0zrzxj2tdpp4sewa, c7phsuwshglgu1nud007agqnd, 42t82kh0hqfa7h92x1ujdz97u, 80bmdjixjy34wx3e5fb8re961, 1au0af90j09ol6827vodhg1k9, buqygjztmnvmul49w3grzuo5x, eno0e1nmkn4ts5yy103k7inzd, yay5mq8trvoxv9mwm4mqzn8q, 9zwsu6pe48ma1xdwob50goi96, 8jok7wopda70yus7gj5qwi1nt, 9le3udqhtfsbnlr6py67cj71m, 5ql8n3lw656v4i4wk74cselm1, aoy956n72pya0cc6bqj5x736x, cndbae3p3ag0t2qpt22wafo8a, f20f6etew7qc0bgwp7j1bgyne, er041hrvisziwqn5c7fiozxlh",4122454275,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4122454285,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122454277,59,"13, 20, 23, 6, 3, 22, 14, 12, 10, 8, 24, 37, 1, 4, 31, 17, 19, 21, 34",4122454279,130,4,4122454281,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524357899,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-03-25T10:34:45.735Z,2023-03-25T12:10:36Z,4122460245,59,"13, 18, 4, 14, 15, 3, 9, 16, 11, 7, 20, 8, 10, 12, 17, 19, 22, 25",4122460243,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4122460251,194,470znxtt0sf52aav1o8s1hkdm,4122460247,130,18,4122460241,30,"16sc4hlsrq610rhfzi6m2squh, c60g2qtl13gydk9p2pqbbnsb8, 8tmzjcaglix0qj8zy7yp8w7o, 6ufssidf65zo52ru9q644hq3u, aa93kg4nfvrpthvfkkofixwtm, auqzv0poi2q7tcardivb21m8l, 1vcx3sprpnorl4q43abs8iuei, 470znxtt0sf52aav1o8s1hkdm, 67kef1hzytkax2iyeg2il5nth, 7dqs072o1rqh9l8rv9nus4qtx, 5wubhrq7ftqx0ryckwbrdxc5x, 67nqgmgyb28btwrkdykjitylm, f6dtaackj9nd3ngnvs5nq0o9, eitv6t0xve84dgqlxutee0ys4, 6zyach9kkb2p1fuih4dm5ow7o, 8hmntjeezmx4ch9yeti4x9y50, 4l0t0twvkms04gm3w3b2xvhsl, bhkg59znnsfeebgusq1jqasr8",4122460253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122460249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4122495889,197,9456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524364885,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-03-25T11:01:50.995Z,2023-03-25T11:01:53Z,4122493965,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524364879,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-03-25T11:01:50.995Z,2023-03-25T11:01:51Z,4122493939,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524364897,3,1,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,49.9,50.7,2023-03-25T11:01:51.095Z,2023-03-25T11:57:00Z,4122494007,141,50.9,4122494011,213,3.1,4122494009,212,8.6,4122494013,279,S,4122494005,140,41.7,4122494003,56,Back,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,
2524364917,4,1,1,0,3,9ouh98eyf6u69lbxc13mllm7f,1,33.7,54.9,2023-03-25T11:01:54.256Z,2023-03-25T11:01:56Z,4122494133,141,92.4,4122494135,212,25.9,4122494137,213,1.4,4122494129,56,Back,4122494131,140,37.9,,,,,,,,,,80bmdjixjy34wx3e5fb8re961,Natalia Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,
2524364923,5,1,1,0,5,9ouh98eyf6u69lbxc13mllm7f,0,37.8,92.4,2023-03-25T11:01:56.465Z,2023-03-25T11:01:59Z,4122494159,141,92.7,4122494215,286,,4122494157,140,42.6,4122494161,212,5.0,4122494155,56,Back,4122494153,155,,4122494211,233,3,4122494209,236,,5ic26p6vixiy9kqtxniuh9zh1,Pisco,4122494163,213,0.0,,,,,,,,,,,,,,,,,,,,,,,
2524364929,3,74,1,0,5,b9ecgxh884j2ugjrxwvpym192,1,67.7,6.7,2023-03-25T11:01:56.466Z,2023-03-25T11:10:44Z,4122494187,56,Right,4122494189,285,,4122494225,233,5,,,,,,,,,,,,,,,,1vcx3sprpnorl4q43abs8iuei,María Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,
2524364939,4,5,1,0,9,b9ecgxh884j2ugjrxwvpym192,0,66.1,-1.1,2023-03-25T11:02:00.135Z,2023-03-25T11:02:03Z,4122494241,56,Right,4122494243,347,,4122494305,233,6,,,,,,,,,,,,,,,,1vcx3sprpnorl4q43abs8iuei,María Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,
2524364951,6,5,1,0,9,9ouh98eyf6u69lbxc13mllm7f,1,33.9,101.1,2023-03-25T11:02:00.135Z,2023-03-25T11:10:46Z,4122494285,347,,4122494283,56,Back,4122494291,233,4,,,,,,,,,,,,,,,,5ic26p6vixiy9kqtxniuh9zh1,Pisco,,,,,,,,,,,,,,,,,,,,,,,,,,
