id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2497611821,1,34,16,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2023-01-15T10:23:48.747Z,2023-01-15T11:01:24Z,3979178121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3979178119,130,4,3979178123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979178111,30,"ea2eq21d08asfeqh17vcxpwmi, 9bzg6jfuapjzhmurucmkiz7fu, 5m8q057u3ek6rjdpmlu98uesq, 8drs7flji0ctdoui0cfyugu3u, 2d1defd89f1nrpb0gi6cciwru, 4gv8ud8pwhynhd4ehmzw2pgmi, ett23u47w9fthjjrlprw0u505, etzoltim8ktgsaidhpebhnx79, ent3o8sh6zn2mpe7m9p8q1sve, 2t32h7nbjkouc968jbm8cax62, 1lvwjd2sedbk3gs9p2v34cdt5, 36vatxs5tk7alvqedu7vtn88a, bwjqs0orziydksase1flhedt6, sro6084uxjkm140ylvc5uq51, 76q3qw1j9n3og4gep5pdedisq, 3mutv27i9xvd3wmbwypdpah62, 5de2lhx1gnd8ks8pmge8plb6d, 5axvazbhm6wsgpbpgt1gmaj11, 6g1wh174nw433sv5iv9q0lx0q",3979178117,59,"1, 12, 23, 8, 6, 22, 16, 5, 7, 18, 10, 2, 3, 9, 13, 14, 20, 21, 26",3979223385,197,18094,3979178115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3979222637,194,1lvwjd2sedbk3gs9p2v34cdt5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497613587,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-01-15T10:30:59.691Z,2023-01-15T11:07:17Z,3979187143,30,"3qu360b871q8wssodtkeq6oa2, 33t09qpv89b6wo3suzj33meax, 5o5f6l99dzhim5k1jnnmog6hh, 5cpnfg3x95yjy00c6h2g22tp1, w3vjdjxeuaauh8na84fkwhuy, 2me13zmgmf0r0wtsjmxid1zvt, 5w3y2f2ydr2ecq90cdzbn6ns9, bdaicql6er9antum0eaar9x0q, b9rcv1fsqcwockfpbkl58tl, er6khxd9z3wfjekigs4nxf8q, 4nvfy4deuo9cmsegz492aq2g9, 8jvs33mize0fkkihe2zot28k5, 280d6mnvu6kjcebwq4ovv1afo, 7rm6858rwtecoxlt5ud31dmy2, bu6otdhlxkznbdm7v6gq1gq21, 2qh8rg0ekcnh8qjvnnrpc9olx, 1533xkmkmi8rpb6yoa8807xn8, cqzvybjo8i63y1avibzhpvdud, a0700ecz96fl1yvj8a6zamql0, 6mzsev0k2iqswrjncctnnawic, cj7jkn7wzeupyvi9c141sl3pw, 9w8g9it556ipl3zhatke1srca",3979187153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979187149,130,4,3979219519,197,3935,3979187151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979187147,59,"1, 19, 3, 5, 4, 2, 21, 10, 17, 9, 11, 7, 12, 13, 14, 15, 16, 18, 26, 30, 31, 39",3979219517,194,5cpnfg3x95yjy00c6h2g22tp1,3979187145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497621405,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-01-15T11:00:29.430Z,2023-01-15T11:00:29Z,3979224443,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497621407,2,32,1,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2023-01-15T11:00:29.430Z,2023-01-15T11:00:30Z,3979224445,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497621429,3,1,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,50.1,49.6,2023-01-15T11:00:29.530Z,2023-01-15T11:50:03Z,3979224547,141,47.3,3979224545,140,33.6,3979224543,56,Back,3979224549,212,17.4,3979224553,279,S,3979224551,213,3.2,,,,,,,b9rcv1fsqcwockfpbkl58tl,Ana Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497621445,4,1,1,0,5,cd1ottifbgcfrn6pdrdpwt7z0,1,33.6,47.3,2023-01-15T11:00:34.683Z,2023-01-15T11:00:37Z,3979224613,140,19.7,3979224619,213,3.7,3979224611,56,Back,3979224617,212,17.3,3979224615,141,33.6,,,,,,,,,,5cpnfg3x95yjy00c6h2g22tp1,Marta Carro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497621447,5,1,1,0,8,cd1ottifbgcfrn6pdrdpwt7z0,1,19.7,33.6,2023-01-15T11:00:37.435Z,2023-01-15T11:50:07Z,3979224633,56,Back,3979224639,212,13.1,3979224641,213,2.2,3979224637,141,49.1,3979224635,140,12.3,,,,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497621459,6,1,1,0,9,cd1ottifbgcfrn6pdrdpwt7z0,1,12.3,49.1,2023-01-15T11:00:38.570Z,2023-01-15T11:00:42Z,3979224735,213,5.5,3979224729,140,26.6,3979224727,56,Back,3979224731,141,28.3,3979224733,212,20.6,,,,,,,,,,3qu360b871q8wssodtkeq6oa2,Enith Salón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497621481,7,1,1,0,12,cd1ottifbgcfrn6pdrdpwt7z0,1,32.8,37.1,2023-01-15T11:00:42.186Z,2023-01-15T11:50:20Z,3979224835,213,1.0,3979224829,140,40.5,3979224831,141,55.8,3979224827,56,Back,3979224833,212,15.1,,,,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497621497,8,1,1,0,15,cd1ottifbgcfrn6pdrdpwt7z0,1,40.5,55.8,2023-01-15T11:00:44.635Z,2023-01-15T11:00:48Z,3979224947,212,12.4,3979224941,56,Back,3979224945,141,39.7,3979224943,140,46.1,3979224949,213,5.2,,,,,,,,,,bdaicql6er9antum0eaar9x0q,Fiamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
