id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/10/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2490197277,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2022-12-10T17:26:52.263Z,2022-12-10T19:06:39Z,3939946851,59,"24, 15, 22, 23, 8, 3, 9, 6, 20, 19, 17, 1, 2, 4, 7, 12, 14, 16, 18, 21, 25",3939946857,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939946849,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940038557,194,5h9k65zukry196snla3xgmh91,3939972445,197,17519,3939946855,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939946847,30,"2qfg4adqsjv2qmt9up7iq2t7u, 1dg7whnmk3nb1adw7n8a7nnbp, f0cwpq45aa7b5de10j9skw44p, cvy1q6gtx1gs9ddemdpcf8ded, 5h9k65zukry196snla3xgmh91, 3kfxvwa38a7oq0d126jm4o9ka, 6291bj0xqq1w2631bajrpeb4l, aib5wgtlgl48jaezcguoxkmp5, c1r1tmscj963olp4yo8kedqdx, 9t2pn6dp6w38b169a5qo9c60a, 40wxai4gm0pdry6545i5c68ve, 11so3nfejun31ajhmqjlwapqt, bgzh3zwl99bpnnpj37jn4dmtx, 4n6mnhjzt6zpicfea3ym678id, 9gdocwx006j6wyz4mnhzgzydx, 22zrashyijuh9pnjovqpyl8lx, 5ovqn6llocczhae9n1kzj5nf9, 1vqpa944d79cnljfbjb8yjlcl, dzhvgrdkl4nuj8z4fd9to0ag9, 8h7r4d4z2gjne58xwu3koiok5, enc694gvlgycx72bhat5f7wbu",3939946853,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490199179,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2022-12-10T17:39:22.605Z,2022-12-10T19:21:06Z,3939957655,130,4,3939957653,59,"1, 17, 14, 8, 4, 21, 7, 12, 9, 19, 24, 10, 11, 13, 18, 23",3939957649,30,"77qiz0pydyy47nrcuqqtcom50, 5zfnimycb0516oj3frebpisk4, comno008m9p6kg2cxtbc7suwa, cvq0jg2vh6kxwf0lcpmuf3i8k, c4bthgzk7mykmnkyn4142i3v8, cklnfn4gt480hn4o3m3d979w, eaebjxv5o929urb7nerrq9qtw, okqhs5xt0v9a0v7qo2l9omqc, 1ezefmix2gldcaoz0cdplw3x1, 1saqhw307zho8fyokoav1j6s4, d20r1ne9lrj8jivt9qv1m6zth, 7vvcwgog9p2a3i1qjp0exzyi2, de1rbqfoaq2wyrd2781bxqqc5, d90k7acrynushpp6sld2e9h3p, 9xl7b5wlhj3mrgp1pnuopqn6x, 5lwte3qujkcw20jcc691itbdh",3939957657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3940023711,194,c4bthgzk7mykmnkyn4142i3v8,3939972447,197,17012,3939957659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939957651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490201137,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2022-12-10T18:00:43.349Z,2022-12-10T18:00:44Z,3939972577,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490201135,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2022-12-10T18:00:43.349Z,2022-12-10T18:00:43Z,3939972575,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490201141,3,1,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,50.3,49.9,2022-12-10T18:00:43.449Z,2022-12-10T18:00:45Z,3939972593,56,Back,3939972597,141,50.7,3939972601,213,3.1,3939972595,140,30.8,3939972599,212,20.5,3939972603,279,S,,,,,,,c1r1tmscj963olp4yo8kedqdx,A. Oshoala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490201143,4,1,1,0,1,bop6aslxmwvzsapdxsw3xbvfg,1,30.8,50.7,2022-12-10T18:00:45.204Z,2022-12-10T18:00:47Z,3939972625,212,13.9,3939972623,141,67.5,3939972627,213,1.0,3939972619,56,Back,3939972621,140,38.3,,,,,,,,,,cvy1q6gtx1gs9ddemdpcf8ded,I. Engen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490201149,5,1,1,0,3,bop6aslxmwvzsapdxsw3xbvfg,1,40,65.1,2022-12-10T18:00:47.045Z,2022-12-10T18:53:20Z,3939972661,140,37.8,3939972667,213,1.7,3939972663,141,86.6,3939972665,212,14.8,3939972659,56,Back,,,,,,,,,,6291bj0xqq1w2631bajrpeb4l,Mariona Caldentey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490201157,6,1,1,0,5,bop6aslxmwvzsapdxsw3xbvfg,1,37.8,88.2,2022-12-10T18:00:48.436Z,2022-12-10T18:00:53Z,3939972691,140,30.0,3939972697,213,4.2,3939972689,56,Back,3939972695,212,17.1,3939972693,141,66.2,,,,,,,,,,f0cwpq45aa7b5de10j9skw44p,Nuria Rábano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490201159,7,1,1,0,9,bop6aslxmwvzsapdxsw3xbvfg,1,30.3,64.2,2022-12-10T18:00:52.933Z,2022-12-10T18:53:26Z,3939972717,212,20.4,3939972711,56,Back,3939972719,213,4.9,3939972713,140,34.3,3939972715,141,34.9,,,,,,,,,,3kfxvwa38a7oq0d126jm4o9ka,Laia Codina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490201169,8,1,1,0,11,bop6aslxmwvzsapdxsw3xbvfg,1,34.3,34.9,2022-12-10T18:00:54.853Z,2022-12-10T18:53:29Z,3939972785,56,Back,3939972787,140,36.4,3939972791,212,19.8,3939972789,141,63.9,3939972793,213,1.5,,,,,,,,,,5h9k65zukry196snla3xgmh91,Marta Torrejón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
