id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/10/value,qualifier/12/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2541466537,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-04-30T09:00:39.097Z,2023-04-30T10:10:53Z,4238936073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4238936061,30,"hf67c0ip1chljjy1udsjpt2i, ent5lfgq42d5ngi3ebyy7p1w5, 4ngzyppqh4iaqqy0vrynwz66s, 5kio1iodx7cq9i9p9kql1nuuh, 5xlqh4i9zb5daj4khs1mbbxpm, b3dvkkzdpggax4btpycd1oe3u, 8i42x5mpk5bpm1i0gvgubx9pm, 1nhju64j5loikn6t0j9m6au39, 67i9jwkech61ihpglnmpzygvd, 31mhclmjwpn7zik6nphr4pwtm, 6aodvgoc9sh27cjwelwsm3qw9, 5zhcjr5kxyxd2jmq1wel3ug9h, 63atfboq056luh7gzplxooyui, 24bz5vlm76nrqcnblyxfkt8x6, 9742qffzdwiz9y3y7et40863t, 1cfjcoum4z07r1p3uyy2p9x49, 3z91j68ij26ar4vifyqyp34k, 35uen906vvtndlnv3hrm5zo8a, 4a8y7vdsg6pz1nxnmu7wcqe50",4238936067,130,9,4238936069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4238936065,59,"24, 22, 16, 7, 11, 6, 8, 20, 9, 14, 17, 1, 2, 4, 12, 15, 18, 23, 27",4239047981,197,15052,4238936063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4238936071,194,5xlqh4i9zb5daj4khs1mbbxpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541468025,1,34,16,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-04-30T09:04:06.576Z,2023-04-30T09:57:46Z,4239049597,197,5376,4238945693,194,4bcef9sqkbml7b2jtqhbz602d,4238945683,30,"4bcef9sqkbml7b2jtqhbz602d, lanj0745tf4i4hige9vm9qll, d0i38pk78vbxoqz7x2rzz8cx6, 52kdiaya57yaisoil0k9ss0oa, 9163edyiljpd18plos0eb2j8p, 1duox0r8qvb3t52m9w4mp86ol, 1tusdkqm6v4khzekbrp2jfnqh, daze51b5849zsk2aqvgmkkbth, 4pavtall24hy4jle51p1lqkbu, 3alzawtqpfjtb3vez30mbp0mi, 5qvgs8yefgkayj9yt1kidkcfd, efxmnnjg8l00ns74d7nnloi22, 3iet32cz1jg865iswu92kqd49, 31yxoo15eztnf39r45e6hy1g5, 24dpnyyhqgnve5zzget4gz1zp, b24bgt8u8e1b1gb98k9sf9lw4, 921nkcoy16y0wya801bo53f85, 263vizqqfp8zwwws0exdrl3o5, 2a76iw4bpv8ppfhuc859cweeh, auyj06nha2syoygo7prfadobu",4238945695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4238945689,130,8,4238945685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4238945687,59,"1, 3, 20, 5, 15, 4, 19, 7, 26, 6, 22, 2, 9, 10, 11, 13, 14, 16, 17, 27",4238945691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541488297,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-04-30T10:00:36.404Z,2023-04-30T10:00:36Z,4239054341,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541488301,2,32,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-04-30T10:00:36.404Z,2023-04-30T10:00:37Z,4239054347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541488327,3,1,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,50,50,2023-04-30T10:00:36.504Z,2023-04-30T10:48:56Z,4239054455,141,49.0,4239054459,213,3.2,4239054451,56,Back,4239054457,212,14.5,4239054461,279,S,4239054453,140,36.2,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541488333,4,1,1,0,4,djz9e25b9zuiu5rmv1zha3i6f,0,36.5,48.8,2023-04-30T10:00:41.398Z,2023-04-30T10:00:42Z,4239054485,1,,4239054479,141,19.4,4239054475,56,Right,4239054483,213,5.8,4239054477,140,73.1,4239054481,212,43.3,4239054473,157,,,,,5kio1iodx7cq9i9p9kql1nuuh,Ángela Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541488351,3,1,1,0,6,8zt8rrm6v5nccv01v6pef0r1o,0,31.4,72,2023-04-30T10:00:43Z,2023-04-30T12:05:29Z,4239054569,56,Left,4239054567,3,,4239054573,141,100.0,4239054575,212,31.2,4239054571,140,54.1,4239054577,213,0.7,,,,,,,52kdiaya57yaisoil0k9ss0oa,Sonia Majarín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541488357,4,5,1,0,10,8zt8rrm6v5nccv01v6pef0r1o,0,53.6,101.8,2023-04-30T10:00:47.135Z,2023-04-30T10:00:54Z,4239054601,56,Left,4239054603,347,,4239054803,233,5,,,,,,,,,,,,,,,,52kdiaya57yaisoil0k9ss0oa,Sonia Majarín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541488407,5,5,1,0,10,djz9e25b9zuiu5rmv1zha3i6f,1,46.4,-1.8,2023-04-30T10:00:47.135Z,2023-04-30T10:13:14Z,4239054787,233,4,4239054783,347,,4239054779,56,Back,,,,,,,,,,,,,,,,1nhju64j5loikn6t0j9m6au39,Leles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541488421,6,1,1,0,19,djz9e25b9zuiu5rmv1zha3i6f,1,44.4,0,2023-04-30T10:00:55.530Z,2023-04-30T10:49:04Z,4239054851,212,6.9,4239054843,107,,4239054845,56,Back,4239054853,213,1.5,4239054849,141,8.5,4239054847,140,44.7,,,,,,,ent5lfgq42d5ngi3ebyy7p1w5,Matilde Fidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
