id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value
2506885487,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-02-12T10:28:33.010Z,2023-02-12T11:23:17Z,4027809727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027809731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027809725,130,4,4027809723,59,"1, 20, 23, 31, 3, 22, 6, 12, 17, 8, 24, 13, 32, 4, 14, 16, 19, 21, 33, 35",4027809719,30,"8jok7wopda70yus7gj5qwi1nt, dc80qat3wirccbux02od5ogyd, 5ic26p6vixiy9kqtxniuh9zh1, 5ql8n3lw656v4i4wk74cselm1, c7phsuwshglgu1nud007agqnd, 42t82kh0hqfa7h92x1ujdz97u, 3rob14yal0zrzxj2tdpp4sewa, 1au0af90j09ol6827vodhg1k9, aoy956n72pya0cc6bqj5x736x, eno0e1nmkn4ts5yy103k7inzd, yay5mq8trvoxv9mwm4mqzn8q, 7yjvzelaq5iir99b4631uiyg9, 5v4jjtqwg9sjoyzoehbwpvris, 9le3udqhtfsbnlr6py67cj71m, 80bmdjixjy34wx3e5fb8re961, 982xo55a6ehu6960fxwr3bfje, cndbae3p3ag0t2qpt22wafo8a, f20f6etew7qc0bgwp7j1bgyne, dedalbg17clun6r7prnhv3384, bk7omly5z8mcdy7ehb70yto15",4027809729,194,42t82kh0hqfa7h92x1ujdz97u,4027809721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4027834619,197,3985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506886311,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-02-12T10:31:34.310Z,2023-02-12T10:54:06Z,4027812549,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4027812541,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4027812551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027812539,30,"77qiz0pydyy47nrcuqqtcom50, 9wa7byb078u86r3x5bvzgkogl, f5c7fj7ce4uklgzn8el0c90d0, 2j4zvd9upsax6m9vkodcd6vl6, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, 1saqhw307zho8fyokoav1j6s4, cklnfn4gt480hn4o3m3d979w, 1ezefmix2gldcaoz0cdplw3x1, de1rbqfoaq2wyrd2781bxqqc5, bwefhg110kbph4g04in7ynu38, eaebjxv5o929urb7nerrq9qtw, cvq0jg2vh6kxwf0lcpmuf3i8k, d90k7acrynushpp6sld2e9h3p, comno008m9p6kg2cxtbc7suwa, 5zfnimycb0516oj3frebpisk4, 5lwte3qujkcw20jcc691itbdh",4027836529,197,17012,4027812547,130,8,4027812545,59,"1, 2, 15, 18, 3, 4, 19, 21, 9, 11, 12, 7, 8, 13, 14, 17, 23",4027836527,194,c4bthgzk7mykmnkyn4142i3v8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892735,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-02-12T11:04:02.470Z,2023-02-12T11:04:02Z,4027848585,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892743,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-02-12T11:04:02.470Z,2023-02-12T11:04:05Z,4027848597,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892747,3,1,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,49.9,50.1,2023-02-12T11:04:02.570Z,2023-02-12T11:04:05Z,4027848633,212,10.7,4027848637,279,S,4027848629,140,40.7,4027848631,141,56.9,4027848635,213,2.7,4027848627,56,Back,,,,,,,aoy956n72pya0cc6bqj5x736x,María José Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892751,4,1,1,0,2,9ouh98eyf6u69lbxc13mllm7f,1,40.7,56.9,2023-02-12T11:04:04.564Z,2023-02-12T11:51:12Z,4027848681,141,41.8,4027848683,212,20.0,4027848675,56,Back,4027848685,213,3.7,4027848677,140,24.4,,,,,,,,,,5ql8n3lw656v4i4wk74cselm1,Y. Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892767,5,1,1,0,4,9ouh98eyf6u69lbxc13mllm7f,1,24.5,42.1,2023-02-12T11:04:07.124Z,2023-02-12T11:04:12Z,4027848823,141,50.4,4027848819,56,Back,4027848827,213,2.8,4027848825,212,18.7,4027848821,140,7.5,,,,,,,,,,c7phsuwshglgu1nud007agqnd,Thaís Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892795,6,1,1,0,10,9ouh98eyf6u69lbxc13mllm7f,1,17.4,52.1,2023-02-12T11:04:12.820Z,2023-02-12T11:04:26Z,4027849039,213,0.3,4027849041,1,,4027849033,140,59.3,4027849031,56,Center,4027849037,212,46.1,4027849029,157,,4027849035,141,72.4,,,,8jok7wopda70yus7gj5qwi1nt,Noelia Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892805,7,1,1,0,17,9ouh98eyf6u69lbxc13mllm7f,1,57.8,78.7,2023-02-12T11:04:19.572Z,2023-02-12T11:51:27Z,4027849085,140,66.4,4027849083,56,Left,4027849087,141,92.0,4027849089,212,12.8,4027849091,213,0.8,,,,,,,,,,aoy956n72pya0cc6bqj5x736x,María José Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892809,8,1,1,0,19,9ouh98eyf6u69lbxc13mllm7f,0,67,88.3,2023-02-12T11:04:21.764Z,2023-02-12T11:51:34Z,4027849147,1,,4027849143,212,35.9,4027849139,140,90.3,4027849137,56,Center,4027849141,141,49.7,4027849145,213,5.5,,,,,,,yay5mq8trvoxv9mwm4mqzn8q,G. Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
