id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2540660067,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-04-29T13:18:26.378Z,2023-04-29T14:07:35Z,4234811979,197,17548,4234630827,130,3,4234630835,194,ekctrwv020vt9iuv6jkpfivv9,4234630813,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4234630819,59,"13, 3, 14, 18, 6, 21, 19, 7, 20, 22, 17, 1, 5, 8, 10, 11, 15, 16, 29",4234630839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234630811,30,"1k0lkh2uqjo6c42khduv89dk9, 3nmk8e4y0vu8ov2whpdannnkk, er787gw0uh9wwlo98tzsc83qh, 69hzl68t1f58dxs461jizyjje, si7seewiwpo5s7yi3jbxuo2y, 85vgjvamflqyzs4ov1fnaai95, 1jepco4u9frbnmu5lyotlgu8k, ekctrwv020vt9iuv6jkpfivv9, bows51pg0h4042274cvzwtmcq, ak7rstu77leltpt7c104ca4q2, f0m3ncnvrrrj3wcgzrz7ja44q, 6nx2fpsn1549tqew7098csqg9, alcmg8hi95r5q7etrck1uyusq, f2wy9lcvcg47ufsat67mdf0et, ennkxlwawwoc8go6bx5ntskp, 2lh6bupkrijpm9n916446nbop, eb1k3xi1oy9c5xkc30fgodg4, 88cflr7hnw1o3ej6y3wsj5p0p, 4u67uu52ej13738mz4dh9bj3e",4234630831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540663795,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-04-29T13:22:40.015Z,2023-04-29T14:08:16Z,4234650695,130,8,4234650687,30,"6d7hdegq9cbh7kr8sqvao1qt, 5yvzsnnawnxbki7rqnamwr3yt, d5i62fwuf8ohc8fcq3lxboiga, ez9in0ld6mrlrab7bi1kvuhd6, 99ej60g3qy5e1i6v62scse8yx, fge9gic869tnpk4tetnxuv4k, avhw3o6tm33ptddzgwfsqod4a, 1sr39v8ooejvspbdo6fqpckyc, ahmylmsg9wyiax33v6jwuj9qs, 5sxloac78uf7i1kuscy5qwlw5, antfb8hyo1sn4o68itu4oi904, 9806puntyqdx2m1gp55p2qbfu, 3rif0qvun4mmll1xf2qzykums, 52mkbnt2oveh76tfrlojocgyd, 25b3sxqo1ujqqc2pef3iwqnoq, a6wwf7jl8eis7wvrhhwhdq3f9, 4yoo22f8dgwz2n8fkqzoir8k4, ccvlwuog9vngbz1ni809nc639, aer03dwlu8hpnejk4uufpxisq, 4nkpo5caqdsdr7vbtfxwj95as",4234650703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234650691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234811751,197,16717,4234650697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234650693,59,"24, 5, 15, 21, 4, 14, 11, 12, 7, 10, 8, 13, 2, 16, 17, 19, 20, 22, 23, 28",4234650699,194,5sxloac78uf7i1kuscy5qwlw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699309,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-04-29T14:01:55.764Z,2023-04-29T14:01:58Z,4234824733,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699249,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-04-29T14:01:55.764Z,2023-04-29T14:01:55Z,4234824409,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699299,3,1,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,50.1,49.9,2023-04-29T14:01:55.864Z,2023-04-29T14:01:57Z,4234824685,212,19.3,4234824679,56,Back,4234824681,140,31.7,4234824687,213,3.1,4234824689,279,S,4234824683,141,50.1,,,,,,,5sxloac78uf7i1kuscy5qwlw5,Mari Paz Vilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699335,4,1,1,0,2,e7p3lxg97gac51s71hotzi0a5,1,31,49,2023-04-29T14:01:57.777Z,2023-04-29T14:01:59Z,4234824893,212,23.5,4234824889,140,28.9,4234824891,141,14.6,4234824887,56,Back,4234824895,213,4.6,,,,,,,,,,ez9in0ld6mrlrab7bi1kvuhd6,Y. Mrabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699451,5,1,1,0,3,e7p3lxg97gac51s71hotzi0a5,1,29,14.6,2023-04-29T14:01:59.727Z,2023-04-29T14:02:03Z,4234825403,213,5.9,4234825395,141,6.2,4234825383,56,Back,4234825389,140,41.4,4234825399,212,14.2,,,,,,,,,,5yvzsnnawnxbki7rqnamwr3yt,Nuria Garrote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699463,6,61,1,0,7,e7p3lxg97gac51s71hotzi0a5,0,42.3,9.1,2023-04-29T14:02:03.616Z,2023-04-29T14:02:04Z,4234825433,56,Back,,,,,,,,,,,,,,,,,,,,,,avhw3o6tm33ptddzgwfsqod4a,Elena Julve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699683,7,1,1,0,13,e7p3lxg97gac51s71hotzi0a5,1,57.4,23.4,2023-04-29T14:02:08.896Z,2023-04-29T14:02:10Z,4234826447,212,24.3,4234826449,213,1.3,4234826443,140,63.1,4234826441,56,Center,4234826445,141,58.1,,,,,,,,,,1sr39v8ooejvspbdo6fqpckyc,N. Muth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699783,8,1,1,0,14,e7p3lxg97gac51s71hotzi0a5,1,63.1,58.1,2023-04-29T14:02:10.752Z,2023-04-29T14:02:30Z,4234826897,213,0.2,4234826893,141,65.8,4234829775,210,13,4234826891,140,89.2,4234829777,154,,4234826889,56,Center,4234826895,212,27.9,,,,ez9in0ld6mrlrab7bi1kvuhd6,Y. Mrabet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
