id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,assist,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2481034213,3,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-11-03T19:33:05.232Z,2022-11-03T20:19:48Z,3891856683,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3891898657,194,ez9in0ld6mrlrab7bi1kvuhd6,3891856687,130,11,3891856691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3891856681,30,"6d7hdegq9cbh7kr8sqvao1qt, 3rif0qvun4mmll1xf2qzykums, d5i62fwuf8ohc8fcq3lxboiga, 1sr39v8ooejvspbdo6fqpckyc, aer03dwlu8hpnejk4uufpxisq, 5yvzsnnawnxbki7rqnamwr3yt, avhw3o6tm33ptddzgwfsqod4a, ez9in0ld6mrlrab7bi1kvuhd6, ahmylmsg9wyiax33v6jwuj9qs, a6wwf7jl8eis7wvrhhwhdq3f9, antfb8hyo1sn4o68itu4oi904, 40ke7398tbing7gfto4pvv36d, 99ej60g3qy5e1i6v62scse8yx, 5niwewtgzxf25d1q2ytxrlpsl, 74fj9shiqr8hz2bzn6nln8hcl, 5sxloac78uf7i1kuscy5qwlw5, fge9gic869tnpk4tetnxuv4k, 52mkbnt2oveh76tfrlojocgyd, 7mlx17smwd387x1lq6blnm6dx, 9cogvg029tq6m0ccqah1px7qi",3891898659,197,16717,3891856689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3891856685,59,"24, 2, 15, 12, 23, 5, 11, 21, 7, 19, 8, 3, 4, 6, 9, 10, 14, 16, 22, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481035541,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2022-11-03T19:34:50.191Z,2022-11-03T21:22:12Z,3891864495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3891899523,194,5h9k65zukry196snla3xgmh91,3891864489,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3891864491,59,"1, 8, 22, 21, 27, 4, 14, 12, 20, 17, 6, 2, 7, 15, 16, 18, 23, 24, 28, 33, 34",3891864493,130,4,3891864487,30,"11so3nfejun31ajhmqjlwapqt, 5h9k65zukry196snla3xgmh91, f0cwpq45aa7b5de10j9skw44p, 8h7r4d4z2gjne58xwu3koiok5, 40jps4rajqmy3werl8t3uzcwk, 4n6mnhjzt6zpicfea3ym678id, 5ovqn6llocczhae9n1kzj5nf9, 22zrashyijuh9pnjovqpyl8lx, c1r1tmscj963olp4yo8kedqdx, 40wxai4gm0pdry6545i5c68ve, aib5wgtlgl48jaezcguoxkmp5, bgzh3zwl99bpnnpj37jn4dmtx, 9gdocwx006j6wyz4mnhzgzydx, 1dg7whnmk3nb1adw7n8a7nnbp, 1vqpa944d79cnljfbjb8yjlcl, dzhvgrdkl4nuj8z4fd9to0ag9, cvy1q6gtx1gs9ddemdpcf8ded, 2qfg4adqsjv2qmt9up7iq2t7u, 8lfuad4dzzlpr0lwp29b2hfdg, 293y2r9th3zox13comwm05vdg, edc7fwwkl9fcuu9zzxmm3s1nu",3891899525,197,12936,3891864497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481042659,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2022-11-03T19:59:51.869Z,2022-11-03T19:59:52Z,3891899839,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481042663,4,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-11-03T19:59:51.869Z,2022-11-03T19:59:53Z,3891899845,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481042669,3,1,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,50,50,2022-11-03T19:59:51.969Z,2022-11-03T19:59:56Z,3891899875,212,15.1,3891899869,56,Back,3891899879,279,S,3891899871,140,35.8,3891899877,213,3.0,3891899873,141,53.6,,,,,,,c1r1tmscj963olp4yo8kedqdx,A. Oshoala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481042679,4,1,1,0,4,bop6aslxmwvzsapdxsw3xbvfg,1,36,52.4,2022-11-03T19:59:56.402Z,2022-11-03T20:01:17Z,3891899911,140,40.7,3891899915,212,8.5,3891899909,56,Back,3891899913,141,62.6,3891899917,213,1.0,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481042683,5,1,1,0,7,bop6aslxmwvzsapdxsw3xbvfg,1,43.7,64.3,2022-11-03T19:59:59.810Z,2022-11-03T20:01:20Z,3891899939,212,20.6,3891899937,141,94.5,3891899941,213,1.6,3891899933,56,Back,3891899935,140,42.4,,,,,,,,,,22zrashyijuh9pnjovqpyl8lx,Patri Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481042695,6,1,1,0,10,bop6aslxmwvzsapdxsw3xbvfg,1,42.4,94.5,2022-11-03T20:00:01.938Z,2022-11-03T20:00:07Z,3891899981,140,29.3,3891899983,141,77.6,3891899979,56,Back,3891899987,213,3.8,3891899985,212,17.9,,,,,,,,,,f0cwpq45aa7b5de10j9skw44p,Nuria Rábano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481042701,7,1,1,0,14,bop6aslxmwvzsapdxsw3xbvfg,1,39.2,71.8,2022-11-03T20:00:06.498Z,2022-11-03T20:00:09Z,3891899999,212,24.3,3891899995,140,57.4,3891900001,213,0.7,3891899993,56,Left,3891899997,141,93.8,,,,,,,,,,4n6mnhjzt6zpicfea3ym678id,Mapi León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481042715,8,1,1,0,17,bop6aslxmwvzsapdxsw3xbvfg,1,57.4,93.8,2022-11-03T20:00:08.962Z,2022-11-03T20:00:12Z,3891900035,212,11.8,3891900033,141,77.6,3891900029,56,Center,3891900037,213,4.3,3891900031,140,53.3,,,,,,,,,,f0cwpq45aa7b5de10j9skw44p,Nuria Rábano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
