id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2551460201,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-05-20T08:54:25.859Z,2023-05-20T10:05:55Z,4292201133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292201125,30,"1bvbnq69gxx0nciovzzf6o8dm, c1ll2hqt71suy8bgwswpci9uy, 89zl8l8wouupdzgepnm1ogqhg, q3xvi1pbz5hmr6zw6np6v4yd, 8vwiezkux2gxs99ziy7x69fu2, c3plg9ommu3i24xx3nfm6wbxm, 7dlyawb4x2lr5gjcz5b1y5ivp, 3u9vtcqa5td8weoufpzirruhg, 61ho0mi13ewpotj5udjt7mz2s, 2j37sn6v53zhgz2hf1q33gzdg, du0eybpvf5vcvtuj074x74jdg, d2at1haixfnekibqj89y4nxed, beiyf464bpeeezm7jiqh2pzis, a0g0ldiol9fzw09gk5i9e15w4, epgai2aff40j82jb3gumaehka, 6lruud03b1so5uyjduuthtuj9, 5q1oexaovibgn83v5kmjfanvu, du4sd3yhhb3avedd8yzjd6dey, 4ts1xba21nxqu8shbfzcvj27d, cfmly5uuomypp4t0pibgtfazu, 1dfho5ul0u10h5m7cmtmj5x7u, 9rk08avs1361jws1ibs5frl04",4292201137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292201129,59,"1, 11, 12, 4, 2, 30, 17, 6, 19, 9, 7, 3, 5, 8, 13, 14, 16, 18, 20, 21, 22, 27",4292201127,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4292256879,197,12185,4292201135,194,du0eybpvf5vcvtuj074x74jdg,4292201131,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551460553,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-05-20T08:57:35.666Z,2023-05-20T09:55:56Z,4292203489,59,"1, 24, 2, 21, 3, 4, 19, 18, 23, 9, 12, 11, 13, 15, 27, 39, 36",4292203491,130,8,4292257133,197,17012,4292203485,30,"77qiz0pydyy47nrcuqqtcom50, d20r1ne9lrj8jivt9qv1m6zth, 9wa7byb078u86r3x5bvzgkogl, cklnfn4gt480hn4o3m3d979w, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, 1saqhw307zho8fyokoav1j6s4, 2j4zvd9upsax6m9vkodcd6vl6, 5lwte3qujkcw20jcc691itbdh, 1ezefmix2gldcaoz0cdplw3x1, bwefhg110kbph4g04in7ynu38, de1rbqfoaq2wyrd2781bxqqc5, d90k7acrynushpp6sld2e9h3p, f5c7fj7ce4uklgzn8el0c90d0, 1so2lnzah5yhn4vdh2722k2z8, buskvur4fy7ga63yv8akgr2ms, alhi9j4uesjw1ihlrjgtlsff8",4292203495,194,c4bthgzk7mykmnkyn4142i3v8,4292203497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292203487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4292203493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473427,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-05-20T10:00:14.033Z,2023-05-20T10:00:14Z,4292261289,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473431,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-05-20T10:00:14.033Z,2023-05-20T10:00:16Z,4292261297,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473439,3,1,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,50.2,50.3,2023-05-20T10:00:14.133Z,2023-05-20T10:00:16Z,4292261335,140,36.5,4292261343,213,2.5,4292261341,212,18.6,4292261345,279,S,4292261337,141,67.6,4292261333,56,Back,,,,,,,5lwte3qujkcw20jcc691itbdh,Raquel Pinel,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473455,4,1,1,0,2,eqaszp3lzhffqt4f8hmzov72j,1,36.5,67.6,2023-05-20T10:00:16.251Z,2023-05-20T10:00:19Z,4292261413,140,52.3,4292261417,212,23.3,4292261411,56,Left,4292261419,213,0.8,4292261415,141,91.7,,,,,,,,,,cklnfn4gt480hn4o3m3d979w,Lucía Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473459,5,1,1,0,5,eqaszp3lzhffqt4f8hmzov72j,1,57.9,92.6,2023-05-20T10:00:19.211Z,2023-05-20T10:00:22Z,4292261445,141,47.0,4292261453,1,,4292261441,56,Back,4292261449,213,4.4,4292261443,140,48.1,4292261447,212,32.7,,,,,,,bwefhg110kbph4g04in7ynu38,Astrid Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473467,6,1,1,0,7,eqaszp3lzhffqt4f8hmzov72j,1,48.1,47,2023-05-20T10:00:22.027Z,2023-05-20T10:00:24Z,4292261513,212,13.8,4292261507,56,Center,4292261515,213,0.1,4292261511,141,49.3,4292261509,140,61.2,,,,,,,,,,2j4zvd9upsax6m9vkodcd6vl6,A. Quintero,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473475,7,1,1,0,10,eqaszp3lzhffqt4f8hmzov72j,0,61,45.8,2023-05-20T10:00:24.155Z,2023-05-20T10:00:25Z,4292261555,1,,4292261551,212,32.0,4292261547,140,57.6,4292261553,213,4.6,4292261549,141,0.0,4292261545,56,Right,,,,,,,1ezefmix2gldcaoz0cdplw3x1,Jade Boho,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473477,8,43,1,0,11,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-05-20T10:00:25.275Z,2023-05-20T10:00:28Z,4292261557,56,Right,4292261559,347,0,4292261593,144,5,,,,,,,,,,,,,,,,1ezefmix2gldcaoz0cdplw3x1,Jade Boho,,,,,,,,,,,,,,,,,,,,,,,,,,,
