id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist
2501503965,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-01-28T16:31:55.131Z,2023-01-28T17:16:05Z,3999552027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3999552023,194,59k0w00mz9tbm2mehy6ix113p,3999552011,30,"6h41rdmhfs08723t23zgi5vjd, 59k0w00mz9tbm2mehy6ix113p, 10w88nr6r2nzxank4gv5gokbt, dlbgel5sg62n5z89ev1tkusph, 8tux0w5del0ggtozbon3x92lm, 245eszqeqx2xeair8h5n4z8b9, 4trjsb4uoasjj3jwr77rh0k16, 7l3val0z7xwpaptf5ebgimnyt, 13hy7ggmnhfalmdqlbp6lzv11, dgkmt7f5k9oqruxzsi3x9em6t, 79gb1aba3b9e3bht7frq0lqp6, d4gjsmv5dqgv9w2e115gh7kk5, 4vk1yd7zqaqapuejahqx7zi09, 5nad4qgy5hlwfsm64mhkwadw5, evfl561yy3cwa51hwnme6mifp, 4rs6pmptx7w4moy8ks2vyrff9, a5b2mmssttscc0k5rss87lhey, 9k9f6c1xb7kfaq3siophz7ca1, cp37td3qaw8oyf3mznoh45o15, 47wzwvf5ksv7kdivj9ra96l0p, 2zjmvlq2y7op9hex0l24pz9xw, sajxpypxygu608bx3j02yivo",3999552017,130,8,3999804607,197,8978,3999552013,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3999552015,59,"1, 5, 23, 21, 14, 4, 22, 6, 10, 11, 20, 2, 3, 8, 9, 13, 15, 16, 18, 24, 27, 28",3999552019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501514117,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-01-28T16:38:02.758Z,2023-01-28T17:16:20Z,3999606941,59,"1, 3, 17, 18, 6, 21, 11, 19, 9, 15, 31, 7, 10, 13, 14, 20, 22, 27, 28, 29",3999606939,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3999606953,194,8xr1zxvovvxckh586adphufvt,3999606957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3999606937,30,"6nx2fpsn1549tqew7098csqg9, 3nmk8e4y0vu8ov2whpdannnkk, f0m3ncnvrrrj3wcgzrz7ja44q, 69hzl68t1f58dxs461jizyjje, si7seewiwpo5s7yi3jbxuo2y, 85vgjvamflqyzs4ov1fnaai95, 2lh6bupkrijpm9n916446nbop, 1jepco4u9frbnmu5lyotlgu8k, 8xr1zxvovvxckh586adphufvt, eb1k3xi1oy9c5xkc30fgodg4, envd6nvea5ssa98mq2bnd7otm, ekctrwv020vt9iuv6jkpfivv9, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, er787gw0uh9wwlo98tzsc83qh, bows51pg0h4042274cvzwtmcq, ak7rstu77leltpt7c104ca4q2, ef8jptd63fi9rll1e1gx61z6y, bpk64d0puoo2xofbb5k4ffuac, 4u67uu52ej13738mz4dh9bj3e",3999808135,197,3973,3999606943,130,8,3999606947,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552155,2,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-01-28T17:15:19.537Z,2023-01-28T17:15:22Z,3999812813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552151,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-01-28T17:15:19.537Z,2023-01-28T17:15:19Z,3999812803,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552189,3,1,1,0,0,1azk57wev30h044w949j46kpu,1,49.8,49.9,2023-01-28T17:15:20.061Z,2023-01-28T17:15:23Z,3999813007,140,37.2,3999813013,213,2.6,3999813015,279,S,3999813005,56,Back,3999813009,141,61.1,3999813011,212,15.3,,,,,,,8xr1zxvovvxckh586adphufvt,Yulema Corres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552243,4,1,1,0,4,1azk57wev30h044w949j46kpu,1,36.9,61.2,2023-01-28T17:15:23.611Z,2023-01-28T17:15:27Z,3999813161,213,4.6,3999813153,56,Back,3999813155,140,34.0,3999813163,1,,3999813159,212,34.1,3999813157,141,11.3,,,,,,,69hzl68t1f58dxs461jizyjje,Itxaso Uriarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552267,5,1,1,0,7,1azk57wev30h044w949j46kpu,1,33.8,10.3,2023-01-28T17:15:27.059Z,2023-01-28T17:15:29Z,3999813301,140,21.4,3999813299,56,Back,3999813305,212,15.0,3999813303,141,21.2,3999813307,213,2.6,,,,,,,,,,3nmk8e4y0vu8ov2whpdannnkk,Naia Landaluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552301,6,1,1,0,9,1azk57wev30h044w949j46kpu,1,21.2,21.5,2023-01-28T17:15:29.386Z,2023-01-28T17:15:31Z,3999813467,213,2.2,3999813463,141,48.8,3999813465,212,22.6,3999813459,56,Back,3999813461,140,9.0,,,,,,,,,,si7seewiwpo5s7yi3jbxuo2y,Oihane Valdezate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552321,7,1,1,0,12,1azk57wev30h044w949j46kpu,1,8.1,48.7,2023-01-28T17:15:31.819Z,2023-01-28T17:15:34Z,3999813577,141,68.4,3999813581,213,0.8,3999813579,212,18.2,3999813575,140,19.8,3999813573,56,Back,,,,,,,,,,6nx2fpsn1549tqew7098csqg9,Sun Quiñones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552333,8,1,1,0,15,1azk57wev30h044w949j46kpu,1,19.6,70.2,2023-01-28T17:15:34.786Z,2023-01-28T17:15:37Z,3999813687,212,18.7,3999813683,140,30.9,3999813685,141,91.5,3999813689,213,0.9,3999813681,56,Back,,,,,,,,,,85vgjvamflqyzs4ov1fnaai95,Bibiane Schulze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
