id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value
2551462747,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-05-20T09:10:11.682Z,2023-05-20T11:10:56Z,4292211887,30,"dri6ywllr5aapmost881p4991, 67kef1hzytkax2iyeg2il5nth, 1vcx3sprpnorl4q43abs8iuei, 8fswi9ldpiuemw0y922tf7dud, aa93kg4nfvrpthvfkkofixwtm, auqzv0poi2q7tcardivb21m8l, 5wubhrq7ftqx0ryckwbrdxc5x, 470znxtt0sf52aav1o8s1hkdm, eitv6t0xve84dgqlxutee0ys4, 4l0t0twvkms04gm3w3b2xvhsl, c60g2qtl13gydk9p2pqbbnsb8, 9s5jdwjyk9klobfdt4wwt5jvt, awauajziz79qwnek1scaxcmad, 7dqs072o1rqh9l8rv9nus4qtx, 67nqgmgyb28btwrkdykjitylm, 16sc4hlsrq610rhfzi6m2squh, 6ufssidf65zo52ru9q644hq3u, 6zyach9kkb2p1fuih4dm5ow7o, 8hmntjeezmx4ch9yeti4x9y50",4292211891,59,"1, 11, 9, 23, 15, 3, 20, 16, 12, 22, 18, 5, 6, 7, 8, 13, 14, 17, 19",4292211899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4292211901,194,470znxtt0sf52aav1o8s1hkdm,4292259753,197,3971,4292211903,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292211889,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4292211895,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551463211,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-05-20T09:11:51.054Z,2023-05-20T10:03:46Z,4292213595,130,8,4292213601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292213593,59,"24, 5, 15, 20, 16, 23, 22, 12, 7, 10, 11, 13, 2, 4, 8, 14, 21, 25, 28",4292256377,197,16717,4292213589,30,"6d7hdegq9cbh7kr8sqvao1qt, 5yvzsnnawnxbki7rqnamwr3yt, d5i62fwuf8ohc8fcq3lxboiga, 4yoo22f8dgwz2n8fkqzoir8k4, 52mkbnt2oveh76tfrlojocgyd, aer03dwlu8hpnejk4uufpxisq, ccvlwuog9vngbz1ni809nc639, 1sr39v8ooejvspbdo6fqpckyc, ahmylmsg9wyiax33v6jwuj9qs, 5sxloac78uf7i1kuscy5qwlw5, avhw3o6tm33ptddzgwfsqod4a, 9806puntyqdx2m1gp55p2qbfu, 3rif0qvun4mmll1xf2qzykums, 99ej60g3qy5e1i6v62scse8yx, antfb8hyo1sn4o68itu4oi904, fge9gic869tnpk4tetnxuv4k, ez9in0ld6mrlrab7bi1kvuhd6, 9cogvg029tq6m0ccqah1px7qi, 4nkpo5caqdsdr7vbtfxwj95as",4292213597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4292213599,194,5sxloac78uf7i1kuscy5qwlw5,4292213591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473429,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-05-20T10:00:14.362Z,2023-05-20T10:00:14Z,4292261295,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473433,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-05-20T10:00:14.362Z,2023-05-20T10:00:16Z,4292261301,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473445,3,1,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,50.3,50.1,2023-05-20T10:00:14.462Z,2023-05-20T10:00:17Z,4292261365,279,S,4292261363,213,3.0,4292261359,141,52.7,4292261355,56,Back,4292261357,140,33.5,4292261361,212,17.7,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473451,4,1,1,0,3,b9ecgxh884j2ugjrxwvpym192,0,34.5,53,2023-05-20T10:00:17.743Z,2023-05-20T10:00:19Z,4292261405,1,,4292261395,56,Left,4292261393,155,,4292261403,213,0.5,4292261401,212,55.5,4292261399,141,89.3,4292261397,140,81.8,,,,eitv6t0xve84dgqlxutee0ys4,Bárbara López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473463,3,1,1,0,5,e7p3lxg97gac51s71hotzi0a5,1,30.9,7.9,2023-05-20T10:00:19.494Z,2023-05-20T10:00:22Z,4292261481,56,Back,4292261489,213,6.3,4292261479,157,,4292261487,212,9.2,4292261491,1,,4292261485,141,7.7,4292261483,140,39.7,,,,5yvzsnnawnxbki7rqnamwr3yt,Nuria Garrote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473465,4,49,1,0,8,e7p3lxg97gac51s71hotzi0a5,1,39.5,7.7,2023-05-20T10:00:22.708Z,2023-05-20T10:00:23Z,,,,,,,,,,,,,,,,,,,,,,,,,ccvlwuog9vngbz1ni809nc639,N. Okobi-Okeoghene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473473,5,1,1,0,9,e7p3lxg97gac51s71hotzi0a5,1,39.4,7.7,2023-05-20T10:00:23.380Z,2023-05-20T10:00:24Z,4292261537,141,6.2,4292261535,140,27.5,4292261533,56,Back,4292261539,212,12.5,4292261541,213,3.2,,,,,,,,,,ccvlwuog9vngbz1ni809nc639,N. Okobi-Okeoghene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473485,6,1,1,0,10,e7p3lxg97gac51s71hotzi0a5,0,27.5,6.2,2023-05-20T10:00:24.868Z,2023-05-20T10:00:29Z,4292261609,212,27.6,4292261601,155,,4292261607,141,13.7,4292261603,56,Right,4292261605,140,53.3,4292261611,213,0.2,,,,,,,5yvzsnnawnxbki7rqnamwr3yt,Nuria Garrote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473481,5,8,1,0,12,b9ecgxh884j2ugjrxwvpym192,1,60.3,78.4,2023-05-20T10:00:26.863Z,2023-05-20T10:00:26Z,4292261575,56,Center,,,,,,,,,,,,,,,,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473495,6,49,1,0,16,b9ecgxh884j2ugjrxwvpym192,1,63.7,82.2,2023-05-20T10:00:30.462Z,2023-05-20T10:00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473525,7,1,1,0,16,b9ecgxh884j2ugjrxwvpym192,1,64.5,83.3,2023-05-20T10:00:30.927Z,2023-05-20T10:00:35Z,4292261791,140,69.5,4292261789,56,Left,4292261797,213,1.0,4292261795,212,10.3,4292261793,141,96.3,,,,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473515,7,45,1,0,19,e7p3lxg97gac51s71hotzi0a5,0,35.2,5.4,2023-05-20T10:00:33.555Z,2023-05-20T10:00:36Z,4292261749,56,Back,4292261817,233,8,4292261751,285,,,,,,,,,,,,,,,,,ccvlwuog9vngbz1ni809nc639,N. Okobi-Okeoghene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473527,8,3,1,0,19,b9ecgxh884j2ugjrxwvpym192,1,64.8,94.6,2023-05-20T10:00:33.555Z,2023-05-20T10:51:25Z,4292261801,56,Left,4292261805,233,7,4292261803,286,,,,,,,,,,,,,,,,,1vcx3sprpnorl4q43abs8iuei,María Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473551,10,50,1,0,19,b9ecgxh884j2ugjrxwvpym192,1,64,94.9,2023-05-20T10:00:33.891Z,2023-05-20T10:51:23Z,4292261919,286,,4292261917,56,Left,4292261937,233,8,,,,,,,,,,,,,,,,1vcx3sprpnorl4q43abs8iuei,María Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473529,8,7,1,0,19,e7p3lxg97gac51s71hotzi0a5,1,36,5.1,2023-05-20T10:00:33.892Z,2023-05-20T10:00:39Z,4292261811,56,Back,4292261933,233,10,4292261815,285,,,,,,,,,,,,,,,,,ccvlwuog9vngbz1ni809nc639,N. Okobi-Okeoghene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
