id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/10/value,qualifier/12/value,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value
2543926737,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-05T17:08:13.120Z,2023-05-05T18:33:40Z,4252072463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4252072473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252072461,30,"91vjxbtjn9fmsatxvncmwxyhh, 9x6jbuibbl7ysh0oovghyw4id, 7vtua260sxp339ie21any0zc9, bixjzl99gkes918s5gbndtwwl, efrr99onfcuvb2gylkvvrnl9m, f24lwuatps6dy3yzdifyir6qd, 5e5sc7yzyi9kja9edk892br9x, 5hk1m1corx8iy26z88eo65fpx, d71c1o7e1t448gemysrgisj8q, 57ubfxv6ujkk5cictmez4op1x, u29d1e3mswrdqx1aqfhuj8ph, aktfohaqh9czmqesi39tstlka, 5ag0647kn7k4y21y8nigiwxqt, 791g6utcjg9779zlvf7gyavze, bruuz81usy0wu8hpg4d6af3e1, em7ia2l8t9011hu2mnihjf90q, 4nbtzqsvw5ecwsh0k19rzoiga, 5jwmy7qi01na2bmyw3zo3is8a, 8m8fk05kqcs7ver68ubl61mju, 7ffrfies3tie3rewc1cm0hz9x, a8y8rzun56tbscefigcor225m, 5bxb8ecvhvo7mt31ixelzpjis",4252072465,59,"1, 17, 7, 18, 5, 2, 23, 14, 10, 11, 8, 4, 6, 9, 13, 15, 16, 19, 20, 22, 27, 29",4252182171,197,3969,4252072469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252072467,130,2,4252072471,194,5e5sc7yzyi9kja9edk892br9x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543928841,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-05-05T17:11:57.767Z,2023-05-05T18:04:30Z,4252083061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252182245,197,16553,4252083053,130,8,4252083055,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252083051,59,"1, 2, 7, 6, 14, 5, 20, 24, 16, 11, 19, 4, 8, 9, 10, 12, 15, 18, 22, 23, 46",4252083049,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4252083047,30,"6h41rdmhfs08723t23zgi5vjd, d4gjsmv5dqgv9w2e115gh7kk5, cq38p3rul6qi2tpvr077v8n6y, 7l3val0z7xwpaptf5ebgimnyt, 8tux0w5del0ggtozbon3x92lm, 59k0w00mz9tbm2mehy6ix113p, 79gb1aba3b9e3bht7frq0lqp6, 47wzwvf5ksv7kdivj9ra96l0p, 9k9f6c1xb7kfaq3siophz7ca1, dgkmt7f5k9oqruxzsi3x9em6t, 1xs185h82mmyp8z86s1f6jucq, 245eszqeqx2xeair8h5n4z8b9, 5nad4qgy5hlwfsm64mhkwadw5, evfl561yy3cwa51hwnme6mifp, 13hy7ggmnhfalmdqlbp6lzv11, uw9iyklqljuminu89utfq295, a5b2mmssttscc0k5rss87lhey, cp37td3qaw8oyf3mznoh45o15, 4trjsb4uoasjj3jwr77rh0k16, 10w88nr6r2nzxank4gv5gokbt, 16yw7huj6njyxmxjyiqueudjo",4252083057,194,59k0w00mz9tbm2mehy6ix113p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543948857,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-05T18:02:03Z,2023-05-05T18:02:20Z,4252187779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543948867,3,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-05-05T18:02:03Z,2023-05-05T18:02:23Z,4252187817,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543948921,6,1,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,49.6,50.1,2023-05-05T18:02:03.100Z,2023-05-05T20:05:38Z,4252188071,213,3.8,4252188069,212,6.8,4252188067,141,43.7,4252188065,140,44.6,4252188073,279,S,4252685719,278,,4252188063,56,Back,,,,d71c1o7e1t448gemysrgisj8q,Inma Gabarro,,,,,,,,,,,,,,,,,,,,,,,,,,
2543948861,2,43,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-05-05T18:02:03.324Z,2023-05-05T18:02:17Z,4252187793,127,Right to Left,4252188629,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543948911,4,43,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-05T18:02:05.397Z,2023-05-05T18:02:24Z,4252188023,213,3.6,4252188015,56,Back,4252188017,140,46.0,4252188019,141,46.6,4252188995,144,1,4252188021,212,4.5,4252188025,279,S,4252188027,278,0,d71c1o7e1t448gemysrgisj8q,Inma Gabarro,,,,,,,,,,,,,,,,,,,,,,,,,,
2543949045,7,1,1,0,3,bxlqcsb8ylen7lng9qy50eoq5,1,43.7,43.3,2023-05-05T18:02:06.441Z,2023-05-05T20:06:10Z,4252188703,212,25.8,4252188705,213,3.3,4252188699,140,19.5,4252188701,141,37.0,4252188697,56,Back,,,,,,,,,,5e5sc7yzyi9kja9edk892br9x,Amanda Sampedro,,,,,,,,,,,,,,,,,,,,,,,,,,
2543949047,8,1,1,0,6,bxlqcsb8ylen7lng9qy50eoq5,1,27.9,39.5,2023-05-05T18:02:09.744Z,2023-05-05T18:02:19Z,4252188709,56,Back,4252188713,141,42.4,4252188715,212,4.5,4252188711,140,24.0,4252188717,213,2.7,,,,,,,,,,9x6jbuibbl7ysh0oovghyw4id,Débora García,,,,,,,,,,,,,,,,,,,,,,,,,,
2543948915,5,3,1,0,13,bxlqcsb8ylen7lng9qy50eoq5,0,41.8,26.6,2023-05-05T18:02:16.496Z,2023-05-05T20:06:16Z,4252687517,233,4,4252685501,286,,4252188043,56,Back,,,,,,,,,,,,,,,,5e5sc7yzyi9kja9edk892br9x,Amanda Sampedro,,,,,,,,,,,,,,,,,,,,,,,,,,
