id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,assist,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2518507811,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-03-11T16:37:22.278Z,2023-03-11T17:29:10Z,4089471923,197,17950,4089225017,130,7,4089225005,30,"11so3nfejun31ajhmqjlwapqt, 1dg7whnmk3nb1adw7n8a7nnbp, 1vqpa944d79cnljfbjb8yjlcl, 8h7r4d4z2gjne58xwu3koiok5, bgzh3zwl99bpnnpj37jn4dmtx, 4n6mnhjzt6zpicfea3ym678id, 2cl7scn4j10rfq44mweo735cl, 5ovqn6llocczhae9n1kzj5nf9, c1r1tmscj963olp4yo8kedqdx, 22zrashyijuh9pnjovqpyl8lx, 40wxai4gm0pdry6545i5c68ve, 3ruj0we4jma5m60xumyoir1ii, aib5wgtlgl48jaezcguoxkmp5, 9gdocwx006j6wyz4mnhzgzydx, 5h9k65zukry196snla3xgmh91, dzhvgrdkl4nuj8z4fd9to0ag9, 9t2pn6dp6w38b169a5qo9c60a, f0cwpq45aa7b5de10j9skw44p, cvy1q6gtx1gs9ddemdpcf8ded, 2qfg4adqsjv2qmt9up7iq2t7u",4089225013,59,"1, 15, 16, 21, 2, 4, 10, 14, 20, 12, 17, 5, 6, 7, 8, 18, 19, 22, 23, 24",4089225019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089225009,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4089225021,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089471921,194,11so3nfejun31ajhmqjlwapqt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518512019,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-03-11T16:39:34.300Z,2023-03-11T17:14:37Z,4089472283,197,3945,4089247887,30,"b21lh284pf59feun9ktzfmc8a, e7e86fnm9fyy937yep9pocbft, 3ws5zg8wy6j86cr8yrqxnsx9m, 4by0xo4xinb0m8nziofw0g3bp, zuec10u63781iv5rojm31yzu, 9jxxujnb2eoo7avj278ppnqvp, 25u358p365rnbnt0cptnyt3h1, 1z29kbiufzx7u32mh1fvy1rs9, 27oce8op8b7a6fmyp8utoz5gq, 9ld622ld2el1ql9vy2akchfit, eu6nudazhvggen5s7abc46bpx, 4duzcq6r3j9ejv5b6koygle22, 13mb0sv3j53kze8l7ehr4izmd, ybmp63ubo0wcvjut4ljomgru, 52ic0j91dhgr0vud2agr4ev2t, bu0u419xeqlkwvpsrx6a0ma51, 1ite4628zwl6kanllmr7qb1zp, 1szjchjw88hnlrwejnia4yyuh, 7n5a86810eorw5ugrdkognd62, 44j03m9xpbhjuxmqz6vge9y0a, 6uttq0cpsnicezpcqy36p7r4k",4089247893,130,4,4089247895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089247897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089247891,59,"25, 5, 20, 12, 4, 3, 11, 6, 7, 9, 10, 8, 14, 16, 17, 18, 19, 21, 22, 23, 36",4089247889,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4089472281,194,zuec10u63781iv5rojm31yzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518555215,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-03-11T17:17:20.938Z,2023-03-11T17:17:21Z,4089482267,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518555223,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-03-11T17:17:20.938Z,2023-03-11T17:17:23Z,4089482289,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518555239,3,1,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,50.2,49.9,2023-03-11T17:17:21.038Z,2023-03-11T17:17:23Z,4089482375,56,Back,4089482383,213,3.1,4089482377,140,31.9,4089482379,141,51.6,4089482385,279,S,4089482381,212,19.2,,,,,,,c1r1tmscj963olp4yo8kedqdx,A. Oshoala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518555249,4,1,1,0,2,bop6aslxmwvzsapdxsw3xbvfg,1,31.9,51.6,2023-03-11T17:17:23.133Z,2023-03-11T17:17:25Z,4089482459,140,31.6,4089482463,212,11.0,4089482457,56,Back,4089482465,213,1.6,4089482461,141,67.8,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518555261,5,1,1,0,4,bop6aslxmwvzsapdxsw3xbvfg,1,31.6,67.8,2023-03-11T17:17:25.518Z,2023-03-11T17:17:26Z,4089482535,141,48.7,4089482537,212,15.1,4089482531,56,Back,4089482539,213,4.2,4089482533,140,24.2,,,,,,,,,,5ovqn6llocczhae9n1kzj5nf9,Aitana Bonmatí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518555283,6,1,1,0,5,bop6aslxmwvzsapdxsw3xbvfg,1,24.2,48.7,2023-03-11T17:17:26.781Z,2023-03-11T17:17:30Z,4089482657,212,27.1,4089482651,56,Back,4089482659,213,5.1,4089482655,141,11.1,4089482653,140,32.8,,,,,,,,,,4n6mnhjzt6zpicfea3ym678id,Mapi León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518555295,7,1,1,0,9,bop6aslxmwvzsapdxsw3xbvfg,0,33.2,8.6,2023-03-11T17:17:30.078Z,2023-03-11T17:17:31Z,4089482733,212,44.3,4089482729,140,75.4,4089482735,213,0.0,4089482727,56,Right,4089482725,155,,4089482737,1,,4089482731,141,9.1,,,,1dg7whnmk3nb1adw7n8a7nnbp,L. Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518555321,3,1,1,0,10,9ns699xp353c84r1g6epazycl,1,30.5,93.8,2023-03-11T17:17:31.747Z,2023-03-11T17:17:34Z,4089482891,212,14.7,4089482889,141,91.5,4089482893,213,6.2,4089482885,56,Back,4089482887,140,44.4,4089482881,3,,,,,,,,3ws5zg8wy6j86cr8yrqxnsx9m,Paula Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
