id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/14/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2551057915,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-19T16:49:15.248Z,2023-05-19T17:57:05Z,4290056033,194,5e5sc7yzyi9kja9edk892br9x,4290056035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4290056027,59,"1, 17, 20, 18, 5, 2, 9, 14, 19, 23, 10, 4, 6, 7, 8, 11, 13, 15, 16, 22, 26, 27, 30",4290056031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4290056029,130,8,4290056023,30,"91vjxbtjn9fmsatxvncmwxyhh, 9x6jbuibbl7ysh0oovghyw4id, 8m8fk05kqcs7ver68ubl61mju, bixjzl99gkes918s5gbndtwwl, efrr99onfcuvb2gylkvvrnl9m, f24lwuatps6dy3yzdifyir6qd, 791g6utcjg9779zlvf7gyavze, 5hk1m1corx8iy26z88eo65fpx, 5jwmy7qi01na2bmyw3zo3is8a, 5e5sc7yzyi9kja9edk892br9x, d71c1o7e1t448gemysrgisj8q, aktfohaqh9czmqesi39tstlka, 5ag0647kn7k4y21y8nigiwxqt, 7vtua260sxp339ie21any0zc9, u29d1e3mswrdqx1aqfhuj8ph, 57ubfxv6ujkk5cictmez4op1x, bruuz81usy0wu8hpg4d6af3e1, em7ia2l8t9011hu2mnihjf90q, 4nbtzqsvw5ecwsh0k19rzoiga, 7ffrfies3tie3rewc1cm0hz9x, 2myvrf79lwv6qu0s4ie3vmg44, a8y8rzun56tbscefigcor225m, c9nwuwk8n76ulkfl460fna42c",4290270883,197,3969,4290056025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551059509,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-05-19T16:52:25.909Z,2023-05-19T18:00:16Z,4290064029,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4290064025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4290271355,197,16933,4290064021,59,"1, 33, 3, 5, 22, 2, 11, 21, 16, 10, 14, 4, 6, 8, 9, 13, 17, 39",4290064027,194,5cpnfg3x95yjy00c6h2g22tp1,4290064017,30,"3qu360b871q8wssodtkeq6oa2, dn503idumyhiea35ayzeesj6c, 5o5f6l99dzhim5k1jnnmog6hh, 5cpnfg3x95yjy00c6h2g22tp1, 5bx3a7j6m109a4jw82appuhre, 2me13zmgmf0r0wtsjmxid1zvt, 4nvfy4deuo9cmsegz492aq2g9, 5w3y2f2ydr2ecq90cdzbn6ns9, 1533xkmkmi8rpb6yoa8807xn8, bdaicql6er9antum0eaar9x0q, bu6otdhlxkznbdm7v6gq1gq21, w3vjdjxeuaauh8na84fkwhuy, 4omg3eblibhyzx7f4rhhl8el1, 4sqgqtsxd4m1vh2og6gfosw7o, er6khxd9z3wfjekigs4nxf8q, 7rm6858rwtecoxlt5ud31dmy2, b9rcv1fsqcwockfpbkl58tl, y0ubwf0c6z92dxdqij3vezh0",4290064023,130,8,4290064019,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551099943,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-19T18:00:13.077Z,2023-05-19T18:00:15Z,4290278227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551099941,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-05-19T18:00:13.077Z,2023-05-19T18:00:13Z,4290278217,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551099961,3,1,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,50,50.7,2023-05-19T18:00:13.177Z,2023-05-19T20:10:29Z,4290278297,56,Back,4290278299,140,40.7,4290278303,212,9.8,4290278307,279,S,4290278301,141,49.1,4290278305,213,3.3,,,,,,,5jwmy7qi01na2bmyw3zo3is8a,Cristina Martín-Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551100045,4,1,1,0,6,bxlqcsb8ylen7lng9qy50eoq5,1,33.7,65.5,2023-05-19T18:00:19.126Z,2023-05-19T18:00:22Z,4290278733,140,24.9,4290278737,212,25.8,4290278731,56,Back,4290278735,141,30.0,4290278739,213,4.3,,,,,,,,,,5hk1m1corx8iy26z88eo65fpx,Silvia Meseguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551100067,5,1,1,0,9,bxlqcsb8ylen7lng9qy50eoq5,1,26.1,27.9,2023-05-19T18:00:22.151Z,2023-05-19T18:00:24Z,4290278809,141,10.9,4290278805,56,Back,4290278811,212,14.6,4290278807,140,34.6,4290278813,213,5.4,,,,,,,,,,efrr99onfcuvb2gylkvvrnl9m,Eva Llamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551100081,6,1,1,0,11,bxlqcsb8ylen7lng9qy50eoq5,1,34.4,10.7,2023-05-19T18:00:24.390Z,2023-05-19T18:00:27Z,4290278881,213,2.1,4290278873,56,Back,4290278875,140,26.9,4290278879,212,14.6,4290278877,141,28.8,,,,,,,,,,8m8fk05kqcs7ver68ubl61mju,Arola Aparicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551100095,7,1,1,0,14,bxlqcsb8ylen7lng9qy50eoq5,0,29.7,25.2,2023-05-19T18:00:27.254Z,2023-05-19T18:00:28Z,4290278941,140,45.5,4290278937,155,,4290278947,213,0,4290278943,141,25.2,4290278939,56,Back,4290278945,212,16.6,,,,,,,efrr99onfcuvb2gylkvvrnl9m,Eva Llamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551100119,3,12,1,0,17,cd1ottifbgcfrn6pdrdpwt7z0,1,35.3,86,2023-05-19T18:00:30.643Z,2023-05-19T18:00:32Z,4290279149,167,,4290279107,212,12.2,4290279101,56,Back,4290279105,141,100.0,4290279109,213,1.0,4290279103,140,41.6,,,,,,,5cpnfg3x95yjy00c6h2g22tp1,Marta Carro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
