id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2506881619,1,34,16,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-02-12T10:07:18.815Z,2023-02-12T10:07:19Z,4027793165,197,3941,4027793157,59,"1, 21, 3, 7, 15, 11, 22, 6, 8, 9, 10, 2, 4, 5, 13, 14, 16, 17, 18, 19, 20, 26, 27",4027793159,130,21,4027793163,194,4bcef9sqkbml7b2jtqhbz602d,4027793161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027793155,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4027793167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027793153,30,"4bcef9sqkbml7b2jtqhbz602d, 20nehty0pfzlg8wj60l87taeh, lanj0745tf4i4hige9vm9qll, daze51b5849zsk2aqvgmkkbth, 9163edyiljpd18plos0eb2j8p, 24dpnyyhqgnve5zzget4gz1zp, 5qvgs8yefgkayj9yt1kidkcfd, 3alzawtqpfjtb3vez30mbp0mi, a7yq5hwmc27r615dak86yfoph, 3iet32cz1jg865iswu92kqd49, 31yxoo15eztnf39r45e6hy1g5, efxmnnjg8l00ns74d7nnloi22, 1duox0r8qvb3t52m9w4mp86ol, 52kdiaya57yaisoil0k9ss0oa, b24bgt8u8e1b1gb98k9sf9lw4, 921nkcoy16y0wya801bo53f85, 263vizqqfp8zwwws0exdrl3o5, 2a76iw4bpv8ppfhuc859cweeh, ayd71ahuyt8kd9c8xmbbbhg16, 1tusdkqm6v4khzekbrp2jfnqh, d0i38pk78vbxoqz7x2rzz8cx6, 4pavtall24hy4jle51p1lqkbu, auyj06nha2syoygo7prfadobu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506883825,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-02-12T10:19:49.458Z,2023-02-12T11:06:34Z,4027803643,59,"1, 3, 17, 18, 6, 29, 11, 19, 22, 15, 31, 8, 9, 10, 13, 14, 16, 20, 27, 28",4027803645,130,8,4027803641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4027803639,30,"6nx2fpsn1549tqew7098csqg9, 3nmk8e4y0vu8ov2whpdannnkk, f0m3ncnvrrrj3wcgzrz7ja44q, 69hzl68t1f58dxs461jizyjje, si7seewiwpo5s7yi3jbxuo2y, 4u67uu52ej13738mz4dh9bj3e, 2lh6bupkrijpm9n916446nbop, 1jepco4u9frbnmu5lyotlgu8k, ak7rstu77leltpt7c104ca4q2, eb1k3xi1oy9c5xkc30fgodg4, envd6nvea5ssa98mq2bnd7otm, f2wy9lcvcg47ufsat67mdf0et, 8xr1zxvovvxckh586adphufvt, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, er787gw0uh9wwlo98tzsc83qh, 88cflr7hnw1o3ej6y3wsj5p0p, bows51pg0h4042274cvzwtmcq, ef8jptd63fi9rll1e1gx61z6y, bpk64d0puoo2xofbb5k4ffuac",4027843741,197,17548,4027818059,194,2lh6bupkrijpm9n916446nbop,4027803649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027803647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892341,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-02-12T11:02:26.311Z,2023-02-12T11:02:26Z,4027846181,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892347,2,32,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-02-12T11:02:26.311Z,2023-02-12T11:02:29Z,4027846197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892359,3,1,1,0,0,1azk57wev30h044w949j46kpu,1,50,50,2023-02-12T11:02:26.411Z,2023-02-12T11:02:31Z,4027846291,141,52.8,4027846297,279,S,4027846295,213,3.0,4027846293,212,14.4,4027846287,56,Back,4027846289,140,36.4,,,,,,,ak7rstu77leltpt7c104ca4q2,Peke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892363,4,1,1,0,5,1azk57wev30h044w949j46kpu,1,36.4,52.8,2023-02-12T11:02:31.580Z,2023-02-12T11:02:32Z,4027846313,56,Back,4027846319,212,30.0,4027846315,140,34.7,4027846321,213,4.7,4027846317,141,8.8,,,,,,,,,,69hzl68t1f58dxs461jizyjje,Itxaso Uriarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892371,5,1,1,0,6,1azk57wev30h044w949j46kpu,1,34.7,8.8,2023-02-12T11:02:32.651Z,2023-02-12T11:02:34Z,4027846377,212,13.5,4027846375,141,24.0,4027846373,140,26.4,4027846379,213,2.3,4027846371,56,Back,,,,,,,,,,3nmk8e4y0vu8ov2whpdannnkk,Naia Landaluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892393,6,1,1,0,8,1azk57wev30h044w949j46kpu,1,25.2,24,2023-02-12T11:02:34.859Z,2023-02-12T11:02:39Z,4027846483,213,1.9,4027846473,56,Back,4027846477,140,17.2,4027846479,141,59.9,4027846481,212,25.8,,,,,,,,,,4u67uu52ej13738mz4dh9bj3e,Maite Zubieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892403,7,1,1,0,12,1azk57wev30h044w949j46kpu,1,17.2,59.9,2023-02-12T11:02:39.067Z,2023-02-12T11:02:41Z,4027846533,140,26.1,4027846535,141,95.1,4027846531,56,Back,4027846539,213,1.2,4027846537,212,25.7,,,,,,,,,,si7seewiwpo5s7yi3jbxuo2y,Oihane Valdezate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506892417,8,1,1,0,14,1azk57wev30h044w949j46kpu,1,26.1,95.3,2023-02-12T11:02:41.292Z,2023-02-12T11:02:45Z,4027846643,140,14.4,4027846649,213,3.7,4027846645,141,85.1,4027846647,212,14.1,4027846641,56,Back,,,,,,,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
