id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/9/value,qualifier/14/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value
2492155569,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2022-12-17T16:46:49.201Z,2022-12-17T17:14:17Z,3950414419,197,14201,3950356699,30,"77qiz0pydyy47nrcuqqtcom50, 5zfnimycb0516oj3frebpisk4, f5c7fj7ce4uklgzn8el0c90d0, cvq0jg2vh6kxwf0lcpmuf3i8k, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, 1saqhw307zho8fyokoav1j6s4, cklnfn4gt480hn4o3m3d979w, 1ezefmix2gldcaoz0cdplw3x1, eaebjxv5o929urb7nerrq9qtw, 7vvcwgog9p2a3i1qjp0exzyi2, 457je18v0j8fkdtggt2ghycr8, eqpwd1q5nx96qlatx982k37it, de1rbqfoaq2wyrd2781bxqqc5, d90k7acrynushpp6sld2e9h3p, comno008m9p6kg2cxtbc7suwa, 9xl7b5wlhj3mrgp1pnuopqn6x, 5lwte3qujkcw20jcc691itbdh, d20r1ne9lrj8jivt9qv1m6zth",3950356713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3950356709,130,8,3950356701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3950356703,59,"1, 17, 15, 8, 3, 4, 19, 21, 9, 7, 10, 5, 6, 11, 13, 14, 18, 23, 24",3950356717,194,c4bthgzk7mykmnkyn4142i3v8,3950356719,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492157127,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2022-12-17T16:48:39.274Z,2022-12-17T17:13:53Z,3950365063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3950365057,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3950365065,194,6lruud03b1so5uyjduuthtuj9,3950414067,197,17635,3950365055,30,"1bvbnq69gxx0nciovzzf6o8dm, c1ll2hqt71suy8bgwswpci9uy, cfmly5uuomypp4t0pibgtfazu, q3xvi1pbz5hmr6zw6np6v4yd, 8vwiezkux2gxs99ziy7x69fu2, d2at1haixfnekibqj89y4nxed, 3u9vtcqa5td8weoufpzirruhg, 6lruud03b1so5uyjduuthtuj9, 61ho0mi13ewpotj5udjt7mz2s, 2j37sn6v53zhgz2hf1q33gzdg, du0eybpvf5vcvtuj074x74jdg, a0g0ldiol9fzw09gk5i9e15w4, 83wqrctlm3zpp10zmx1tjc9ka, 7dlyawb4x2lr5gjcz5b1y5ivp, du4sd3yhhb3avedd8yzjd6dey, 4ts1xba21nxqu8shbfzcvj27d, epgai2aff40j82jb3gumaehka, 9rk08avs1361jws1ibs5frl04, 285jxpswzkplk2w879bi22vis",3950365059,59,"1, 11, 21, 4, 2, 3, 6, 14, 19, 9, 7, 8, 10, 17, 18, 20, 13, 27, 28",3950365067,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3950365061,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492166341,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2022-12-17T17:15:34.986Z,2022-12-17T17:15:37Z,3950415525,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492166327,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2022-12-17T17:15:34.986Z,2022-12-17T17:15:35Z,3950415471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492166347,3,1,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,50,50,2022-12-17T17:15:35.086Z,2022-12-17T17:25:54Z,3950415541,212,9.3,3950415537,140,41.9,3950415543,213,2.7,3950415535,56,Back,3950415539,141,55.4,3950415545,279,S,,,,,,,1ezefmix2gldcaoz0cdplw3x1,Jade Boho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492166351,4,1,1,0,2,eqaszp3lzhffqt4f8hmzov72j,1,40.8,55.4,2022-12-17T17:15:37.663Z,2022-12-17T17:15:41Z,3950415567,56,Back,3950415575,213,3.8,3950415569,140,22.3,3950415571,141,32.1,3950415573,212,25.1,,,,,,,,,,eaebjxv5o929urb7nerrq9qtw,Andrea Carid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492166353,5,1,1,0,5,eqaszp3lzhffqt4f8hmzov72j,1,22.3,34,2022-12-17T17:15:40.852Z,2022-12-17T17:15:43Z,3950415583,140,21.3,3950415589,213,1.6,3950415585,141,80.6,3950415581,56,Back,3950415587,212,31.7,,,,,,,,,,4jz2cnk91to6lp7cujbzhnwq2,Lena Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492166357,6,1,1,0,8,eqaszp3lzhffqt4f8hmzov72j,1,21.8,81.3,2022-12-17T17:15:43.373Z,2022-12-17T17:15:46Z,3950415621,213,0.8,3950415619,212,14.8,3950415617,141,96.7,3950415615,140,31.7,3950415613,56,Back,,,,,,,,,,c4bthgzk7mykmnkyn4142i3v8,Judith Caravaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492166365,7,1,1,0,10,eqaszp3lzhffqt4f8hmzov72j,0,33.9,97,2022-12-17T17:15:45.869Z,2022-12-17T17:15:48Z,3950415663,56,Left,3950415671,213,0.1,3950415669,212,20.5,3950415667,141,100.0,3950415665,140,53.2,,,,,,,,,,f5c7fj7ce4uklgzn8el0c90d0,Raquel Morcillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492166401,3,5,1,0,13,7mk4va7b2p6tnv2xjxcgjy8h6,1,51.2,-1.2,2022-12-17T17:15:48.322Z,2022-12-17T17:20:31Z,3950415873,347,,3950415877,233,8,3950415869,56,Right,,,,,,,,,,,,,,,,c1ll2hqt71suy8bgwswpci9uy,Carla Armengol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
