id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/9/value,qualifier/8/value,qualifier/17/id,qualifier/17/qualifierId,assist
2540528797,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-04-29T09:29:56.040Z,2023-04-29T10:05:50Z,4233973423,30,"7yjvzelaq5iir99b4631uiyg9, 982xo55a6ehu6960fxwr3bfje, 5ic26p6vixiy9kqtxniuh9zh1, 80bmdjixjy34wx3e5fb8re961, c7phsuwshglgu1nud007agqnd, 42t82kh0hqfa7h92x1ujdz97u, eno0e1nmkn4ts5yy103k7inzd, 1au0af90j09ol6827vodhg1k9, buqygjztmnvmul49w3grzuo5x, 3rob14yal0zrzxj2tdpp4sewa, yay5mq8trvoxv9mwm4mqzn8q, 9zwsu6pe48ma1xdwob50goi96, 8jok7wopda70yus7gj5qwi1nt, 9le3udqhtfsbnlr6py67cj71m, aoy956n72pya0cc6bqj5x736x, f20f6etew7qc0bgwp7j1bgyne, 64kypbsy1pllkz2r8esmoljis, c1rigjqqopq272qgx0ysylj4k",4233973435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233973433,194,42t82kh0hqfa7h92x1ujdz97u,4233973425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4233973429,130,2,4233973431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234011927,197,13820,4233973427,59,"13, 16, 23, 14, 3, 22, 8, 12, 10, 6, 24, 37, 1, 4, 17, 21, 26, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540529383,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-04-29T09:32:21.033Z,2023-04-29T10:01:27Z,4233977271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4233977275,130,23,4233977281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233977277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234014001,197,16825,4233977269,30,"6uttq0cpsnicezpcqy36p7r4k, e7e86fnm9fyy937yep9pocbft, 3ws5zg8wy6j86cr8yrqxnsx9m, 4by0xo4xinb0m8nziofw0g3bp, zuec10u63781iv5rojm31yzu, 9jxxujnb2eoo7avj278ppnqvp, 9ld622ld2el1ql9vy2akchfit, 25u358p365rnbnt0cptnyt3h1, 27oce8op8b7a6fmyp8utoz5gq, eu6nudazhvggen5s7abc46bpx, 1z29kbiufzx7u32mh1fvy1rs9, 4duzcq6r3j9ejv5b6koygle22, 13mb0sv3j53kze8l7ehr4izmd, ybmp63ubo0wcvjut4ljomgru, 52ic0j91dhgr0vud2agr4ev2t, bu0u419xeqlkwvpsrx6a0ma51, 1ite4628zwl6kanllmr7qb1zp, 7n5a86810eorw5ugrdkognd62, 44j03m9xpbhjuxmqz6vge9y0a, b21lh284pf59feun9ktzfmc8a",4233977273,59,"36, 5, 20, 12, 4, 3, 9, 11, 7, 10, 6, 8, 14, 16, 17, 18, 19, 22, 23, 25",4233977279,194,zuec10u63781iv5rojm31yzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540537149,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-04-29T10:02:25.327Z,2023-04-29T10:02:27Z,4234015415,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540537147,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-04-29T10:02:25.327Z,2023-04-29T10:02:25Z,4234015411,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540537153,3,1,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,50.1,50.3,2023-04-29T10:02:25.427Z,2023-04-29T10:36:08Z,4234015431,213,3.2,4234015427,141,50.1,4234015429,212,14.2,4234015425,140,36.6,4234015433,279,S,4234015423,56,Back,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540537181,4,1,1,0,4,9ouh98eyf6u69lbxc13mllm7f,1,31.4,40,2023-04-29T10:02:29.631Z,2023-04-29T10:02:31Z,4234015535,213,2.0,4234015527,56,Back,4234015531,141,70.9,4234015529,140,21.3,4234015533,212,23.5,,,,,,,,,,80bmdjixjy34wx3e5fb8re961,Natalia Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540537183,5,1,1,0,6,9ouh98eyf6u69lbxc13mllm7f,1,20.7,70.5,2023-04-29T10:02:31.422Z,2023-04-29T10:02:32Z,4234015545,140,30.2,4234015547,141,87.4,4234015549,212,15.2,4234015551,213,0.9,4234015543,56,Back,,,,,,,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540537189,6,1,1,0,7,9ouh98eyf6u69lbxc13mllm7f,0,33.7,92.3,2023-04-29T10:02:32.878Z,2023-04-29T10:02:35Z,4234015579,213,6.0,4234015573,140,52.5,4234015577,212,20.9,4234015575,141,82.3,4234015571,56,Left,,,,,,,,,,5ic26p6vixiy9kqtxniuh9zh1,Pisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540537199,3,49,1,0,9,9ns699xp353c84r1g6epazycl,1,56.9,19.4,2023-04-29T10:02:34.861Z,2023-04-29T10:02:35Z,,,,,,,,,,,,,,,,,,,,,,,,,e7e86fnm9fyy937yep9pocbft,Antônia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540537207,4,1,1,0,10,9ns699xp353c84r1g6epazycl,0,60.2,18.8,2023-04-29T10:02:36.235Z,2023-04-29T10:02:37Z,4234015617,157,,4234015623,141,0.0,4234015629,1,,4234015627,213,5.4,4234015619,56,Right,4234015621,140,71.7,4234015625,212,18.3,,,,e7e86fnm9fyy937yep9pocbft,Antônia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
