id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value
2506247971,1,34,16,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-02-11T14:32:46.288Z,2023-02-11T15:12:45Z,4024492437,59,"1, 16, 7, 5, 4, 6, 8, 20, 3, 18, 11, 9, 13, 22, 24, 26, 28, 32",4024492445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024492443,194,77pobry4mbh5wojka1ikgty7e,4024492441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024492439,130,10,4024618163,197,3946,4024492435,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4024492433,30,"77pobry4mbh5wojka1ikgty7e, 5z6z0sw5jlr432mdo2yu5riay, 5onfamqh0uteez2wtx463dknp, 3iangrthyltpl31m4v1qkgn2t, 51t40jr0wwgmuya85pnhjgx2i, z2pihtvpr5ei4ip9z9jtqn6x, 6msenows401fssj9jaih9g0a2, 31q50ese977zfgiwi9bc1ehre, a88r8d1jd5r928pvskginyiqy, ergobfal6ny5w6xy1hsixrdhw, cyqlcyzogla6wql5pms4i02d, bpmtdn2uqnwhllfnm59ck6rit, aietcywmok362027i2brpg4q1, e4glbrjataxggtxf953n1jsnp, ddq90t1cfklvuhk0xkbydfsut, 1zlt1xabh07byc3u8oid9gdn8, 1jvdg65bw5yns9j98jubcetqs, 24fopza4zrtm63pyjkl55beac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506251869,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-02-11T14:36:23.916Z,2023-02-11T15:34:58Z,4024511327,30,"dcbrqeq61r269wyh4k00g3t3o, cehjx04vym880gqogj4djdiad, 3qg0fby2m8ua25w931ubn8mc4, 4kqwr8xb2ydw2v32thgb5sk5w, 23cz0ftfc2rstsut0wkmntm8l, 5fula0vkdt8dg2s1po4k9no16, tfni0bbycqnutwdofnndixd6, dl0wzq2dftry5gqgalthhr1ed, 49klmhzbsmlxnkp2w60y66sph, dj7z4zsiwjd3xnrb284zt5b6x, 3uj4zixqbp5ahu9etu4fl714a, euieo81aiyv4wqldc8owokset, cgbly4uoca30z9ey5h722ej56, 4bpis8gkfy9n5pknxuw40hus4, 3mgkmvazmdqvhtnkkigc24e3u, 79zpaj24j11e9aajt7vmjf88a, 8grsiemkt03k8c1g6am7vnxlh, ah7sbrjt4lz1t4zww2l4sf1ex, 61103f3yhhms1lylloihvbrv9, 3bnl8jpyjy436d6rq46apwei2, 55dkf4evau0bcy8uyhkat9b84, 1bwsm5vcee014jmyh63q1ayhg",4024511329,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4024511335,130,2,4024511331,59,"13, 5, 30, 11, 18, 4, 10, 23, 9, 17, 12, 1, 3, 6, 7, 8, 15, 16, 20, 22, 27, 28",4024511339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024511345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024617757,197,12187,4024511343,194,23cz0ftfc2rstsut0wkmntm8l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274751,2,32,1,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-02-11T15:00:36.510Z,2023-02-11T15:00:36Z,4024618871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274771,2,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-02-11T15:00:36.510Z,2023-02-11T15:00:37Z,4024618907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274815,3,1,1,0,1,1qoqz1tyay060cj5aha7rt1lp,1,49.7,49.7,2023-02-11T15:00:38.106Z,2023-02-11T15:47:08Z,4024619069,140,34.4,4025159855,279,S,4024619081,213,2.8,4024619077,212,16.9,4024619065,56,Back,4024619073,141,57.2,,,,,,,49klmhzbsmlxnkp2w60y66sph,Sheila Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274833,4,1,1,0,5,1qoqz1tyay060cj5aha7rt1lp,0,34.4,57.2,2023-02-11T15:00:42.468Z,2023-02-11T15:49:07Z,4024619171,213,6.0,4024619173,1,,4024619169,212,50.4,4024619163,56,Center,4024619165,140,80.9,4024619161,157,,4024619167,141,38.8,,,,5fula0vkdt8dg2s1po4k9no16,Irene Miguélez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274873,3,1,1,0,6,4vvf3sulx3a61fiyaarjdndjs,1,20.9,63.7,2023-02-11T15:00:42.908Z,2023-02-11T15:53:43Z,4024619333,56,Back,4024619335,140,35.1,4024619331,3,,4024619339,141,67.9,4024619343,212,15.2,4024619345,213,0.2,,,,,,,3iangrthyltpl31m4v1qkgn2t,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274887,4,49,1,0,8,4vvf3sulx3a61fiyaarjdndjs,1,34.1,68.1,2023-02-11T15:00:45.453Z,2023-02-11T15:00:45Z,,,,,,,,,,,,,,,,,,,,,,,,,cyqlcyzogla6wql5pms4i02d,F. Bonsegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274907,5,1,1,0,9,4vvf3sulx3a61fiyaarjdndjs,1,34.1,68.1,2023-02-11T15:00:45.867Z,2023-02-11T15:00:47Z,4024619465,56,Back,4024619471,141,71.5,4024619475,212,9.9,4024619467,140,24.9,4024619479,213,2.9,,,,,,,,,,cyqlcyzogla6wql5pms4i02d,F. Bonsegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274911,6,49,1,0,10,4vvf3sulx3a61fiyaarjdndjs,1,24.5,72,2023-02-11T15:00:47.468Z,2023-02-11T15:00:47Z,,,,,,,,,,,,,,,,,,,,,,,,,z2pihtvpr5ei4ip9z9jtqn6x,A. Cometti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
