id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist
2488698349,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2022-12-03T10:19:01.762Z,2022-12-03T11:13:55Z,3932057261,197,3969,3931995913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3931995921,194,91vjxbtjn9fmsatxvncmwxyhh,3931995923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931995919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931995917,130,8,3931995911,30,"91vjxbtjn9fmsatxvncmwxyhh, 9x6jbuibbl7ysh0oovghyw4id, 7vtua260sxp339ie21any0zc9, efrr99onfcuvb2gylkvvrnl9m, aktfohaqh9czmqesi39tstlka, 7ffrfies3tie3rewc1cm0hz9x, 5jwmy7qi01na2bmyw3zo3is8a, 5hk1m1corx8iy26z88eo65fpx, d71c1o7e1t448gemysrgisj8q, u29d1e3mswrdqx1aqfhuj8ph, 57ubfxv6ujkk5cictmez4op1x, f24lwuatps6dy3yzdifyir6qd, 5ag0647kn7k4y21y8nigiwxqt, 5q1oexaovibgn83v5kmjfanvu, bruuz81usy0wu8hpg4d6af3e1, em7ia2l8t9011hu2mnihjf90q, 8m8fk05kqcs7ver68ubl61mju, 5e5sc7yzyi9kja9edk892br9x, 2myvrf79lwv6qu0s4ie3vmg44, 5bxb8ecvhvo7mt31ixelzpjis",3931995915,59,"1, 17, 7, 5, 4, 22, 19, 14, 10, 8, 11, 2, 6, 12, 13, 15, 20, 23, 26, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488698467,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-12-03T10:19:57.733Z,2022-12-03T11:11:24Z,3932057795,197,4186,3931996653,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3931996651,30,"8jok7wopda70yus7gj5qwi1nt, 982xo55a6ehu6960fxwr3bfje, 5ic26p6vixiy9kqtxniuh9zh1, 5ql8n3lw656v4i4wk74cselm1, 9le3udqhtfsbnlr6py67cj71m, 42t82kh0hqfa7h92x1ujdz97u, aoy956n72pya0cc6bqj5x736x, 1au0af90j09ol6827vodhg1k9, buqygjztmnvmul49w3grzuo5x, 80bmdjixjy34wx3e5fb8re961, eno0e1nmkn4ts5yy103k7inzd, cfjrwsqj3ktavvjte6sddgmi, 3rob14yal0zrzxj2tdpp4sewa, eurxmqgiqw2hlsu8x0of9to7p, cndbae3p3ag0t2qpt22wafo8a, dc80qat3wirccbux02od5ogyd, f20f6etew7qc0bgwp7j1bgyne, bpqjytbm9oxa367bwxcyhiolw",3931996655,59,"1, 16, 23, 31, 4, 22, 17, 12, 10, 14, 8, 2, 6, 25, 19, 20, 21, 28",3931996661,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932058841,194,5ic26p6vixiy9kqtxniuh9zh1,3931996659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931996657,130,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488710637,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2022-12-03T11:02:36.957Z,2022-12-03T11:02:40Z,3932061997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488710631,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-12-03T11:02:36.957Z,2022-12-03T11:02:37Z,3932061981,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488710659,3,1,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,50,50,2022-12-03T11:02:37.333Z,2022-12-03T11:02:41Z,3932062155,140,32.7,3932062153,56,Back,3932062157,141,51.9,3932062159,212,18.2,3932062163,279,S,3932062161,213,3.1,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488710667,4,1,1,0,4,9ouh98eyf6u69lbxc13mllm7f,1,32.6,55.1,2022-12-03T11:02:41.274Z,2022-12-03T11:02:43Z,3932062199,56,Back,3932062207,213,1.7,3932062205,212,26.9,3932062201,140,30.5,3932062203,141,94.5,,,,,,,,,,80bmdjixjy34wx3e5fb8re961,Natalia Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488710699,5,1,1,0,6,9ouh98eyf6u69lbxc13mllm7f,1,30.5,94.5,2022-12-03T11:02:43.755Z,2022-12-03T11:02:49Z,3932062385,56,Center,3932062393,213,6.0,3932062395,1,,3932062383,155,,3932062391,212,47.3,3932062387,140,73.3,3932062389,141,72.9,,,,5ic26p6vixiy9kqtxniuh9zh1,Pisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488710701,6,44,1,0,11,9ouh98eyf6u69lbxc13mllm7f,1,73.6,72.2,2022-12-03T11:02:48.954Z,2022-12-03T11:02:50Z,3932062429,233,3,3932062399,56,Center,3932062401,286,,,,,,,,,,,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488710705,3,44,1,0,11,bxlqcsb8ylen7lng9qy50eoq5,0,26.4,27.8,2022-12-03T11:02:48.955Z,2022-12-03T11:02:50Z,3932062403,56,Back,3932062437,233,6,3932062407,285,,,,,,,,,,,,,,,,,aktfohaqh9czmqesi39tstlka,Teresa Merida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488710709,7,1,1,0,12,9ouh98eyf6u69lbxc13mllm7f,0,73.1,73.2,2022-12-03T11:02:49.322Z,2022-12-03T11:02:50Z,3932062453,141,62.7,3932062455,212,15.8,3932062451,140,86.5,3932062445,3,,3932062457,213,5.8,3932062449,56,Center,3932062447,168,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
