id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/14/value,qualifier/15/value
2488884121,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2022-12-03T16:24:33.053Z,2022-12-03T17:20:28Z,3932984937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932984941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932984939,194,cq38p3rul6qi2tpvr077v8n6y,3932984929,30,"6h41rdmhfs08723t23zgi5vjd, cp37td3qaw8oyf3mznoh45o15, cq38p3rul6qi2tpvr077v8n6y, 4vk1yd7zqaqapuejahqx7zi09, 8tux0w5del0ggtozbon3x92lm, 245eszqeqx2xeair8h5n4z8b9, dlbgel5sg62n5z89ev1tkusph, dgkmt7f5k9oqruxzsi3x9em6t, 13hy7ggmnhfalmdqlbp6lzv11, 4trjsb4uoasjj3jwr77rh0k16, 79gb1aba3b9e3bht7frq0lqp6, d4gjsmv5dqgv9w2e115gh7kk5, 59k0w00mz9tbm2mehy6ix113p, 7l3val0z7xwpaptf5ebgimnyt, 5nad4qgy5hlwfsm64mhkwadw5, evfl561yy3cwa51hwnme6mifp, 4rs6pmptx7w4moy8ks2vyrff9, 9k9f6c1xb7kfaq3siophz7ca1, 10w88nr6r2nzxank4gv5gokbt, 47wzwvf5ksv7kdivj9ra96l0p",3932984933,59,"1, 18, 7, 3, 14, 4, 21, 11, 10, 22, 20, 2, 5, 6, 8, 9, 13, 16, 23, 24",3933002923,197,8978,3932984935,130,4,3932984931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488886583,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-12-03T16:28:35.208Z,2022-12-03T17:20:10Z,3932998155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932998151,130,11,3932998145,30,"6d7hdegq9cbh7kr8sqvao1qt, 3rif0qvun4mmll1xf2qzykums, antfb8hyo1sn4o68itu4oi904, fge9gic869tnpk4tetnxuv4k, 52mkbnt2oveh76tfrlojocgyd, 99ej60g3qy5e1i6v62scse8yx, avhw3o6tm33ptddzgwfsqod4a, 5niwewtgzxf25d1q2ytxrlpsl, a6wwf7jl8eis7wvrhhwhdq3f9, ez9in0ld6mrlrab7bi1kvuhd6, ahmylmsg9wyiax33v6jwuj9qs, 1sr39v8ooejvspbdo6fqpckyc, d5i62fwuf8ohc8fcq3lxboiga, 7mlx17smwd387x1lq6blnm6dx, aer03dwlu8hpnejk4uufpxisq, 9cogvg029tq6m0ccqah1px7qi, 2gbtp1lbsmi63pycn76g3u7tg, 8k3xs4havqvd53pxchucb2vbo",3933088303,197,16717,3932998149,59,"24, 2, 8, 14, 16, 4, 11, 6, 19, 21, 7, 12, 15, 22, 23, 25, 26, 27",3933088301,194,ez9in0ld6mrlrab7bi1kvuhd6,3932998147,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3932998153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488904093,2,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2022-12-03T17:14:05.362Z,2022-12-03T17:14:07Z,3933090493,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488904089,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-12-03T17:14:05.362Z,2022-12-03T17:14:05Z,3933090487,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488904103,3,1,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,49.8,50.1,2022-12-03T17:14:05.462Z,2022-12-03T17:14:08Z,3933090543,213,3.1,3933090535,56,Back,3933090539,141,51.3,3933090545,279,S,3933090537,140,34.8,3933090541,212,15.8,,,,,,,a6wwf7jl8eis7wvrhhwhdq3f9,R. Chikwelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488904105,4,1,1,0,2,e7p3lxg97gac51s71hotzi0a5,0,34.8,51.3,2022-12-03T17:14:08.104Z,2022-12-03T17:14:12Z,3933090563,140,74.0,3933090559,155,,3933090569,213,5.9,3933090567,212,44.6,3933090561,56,Center,3933090565,141,26.1,3933090571,1,,,,,ez9in0ld6mrlrab7bi1kvuhd6,Y. Mrabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488904109,3,49,1,0,6,vaikl8nl7hdr4y9jj4jyb9ey,1,17,78.2,2022-12-03T17:14:11.544Z,2022-12-03T17:15:13Z,,,,,,,,,,,,,,,,,,,,,,,,,4vk1yd7zqaqapuejahqx7zi09,Teresa Abelleira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488904115,4,1,1,0,6,vaikl8nl7hdr4y9jj4jyb9ey,1,18.3,76.3,2022-12-03T17:14:12.087Z,2022-12-03T17:15:14Z,3933090627,213,0.0,3933090625,212,23.9,3933090621,140,41.0,3933090619,56,Back,3933090623,141,77.8,,,,,,,,,,4vk1yd7zqaqapuejahqx7zi09,Teresa Abelleira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488904129,5,1,1,0,8,vaikl8nl7hdr4y9jj4jyb9ey,1,39.1,80.5,2022-12-03T17:14:14.103Z,2022-12-03T17:14:16Z,3933090683,212,11.3,3933090685,213,2.5,3933090679,140,30.2,3933090681,141,89.9,3933090677,56,Back,,,,,,,,,,dgkmt7f5k9oqruxzsi3x9em6t,C. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488904141,6,1,1,0,11,vaikl8nl7hdr4y9jj4jyb9ey,1,34.1,85.4,2022-12-03T17:14:16.503Z,2022-12-03T17:14:20Z,3933090743,212,14.0,3933090739,140,41.4,3933090737,56,Back,3933090745,213,5.3,3933090741,141,68.1,,,,,,,,,,cp37td3qaw8oyf3mznoh45o15,Lucía Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
