id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/9/value,assist
2524865323,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-03-26T15:13:57.971Z,2023-03-26T16:00:09Z,4125107109,130,3,4125107115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125107113,194,52ic0j91dhgr0vud2agr4ev2t,4125160475,197,3945,4125107107,59,"36, 17, 16, 12, 4, 19, 11, 23, 10, 7, 6, 5, 8, 9, 14, 18, 20, 21, 22, 25, 35",4125107105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4125107111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125107103,30,"6uttq0cpsnicezpcqy36p7r4k, 52ic0j91dhgr0vud2agr4ev2t, ybmp63ubo0wcvjut4ljomgru, 4by0xo4xinb0m8nziofw0g3bp, zuec10u63781iv5rojm31yzu, 1ite4628zwl6kanllmr7qb1zp, 25u358p365rnbnt0cptnyt3h1, 44j03m9xpbhjuxmqz6vge9y0a, eu6nudazhvggen5s7abc46bpx, 27oce8op8b7a6fmyp8utoz5gq, 1z29kbiufzx7u32mh1fvy1rs9, e7e86fnm9fyy937yep9pocbft, 4duzcq6r3j9ejv5b6koygle22, 9ld622ld2el1ql9vy2akchfit, 13mb0sv3j53kze8l7ehr4izmd, bu0u419xeqlkwvpsrx6a0ma51, 3ws5zg8wy6j86cr8yrqxnsx9m, 1szjchjw88hnlrwejnia4yyuh, 7n5a86810eorw5ugrdkognd62, b21lh284pf59feun9ktzfmc8a, 453st4qm4pnm6rrtzpm5jl2c4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524866291,1,34,16,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2023-03-26T15:18:27.806Z,2023-03-26T15:59:52Z,4125112147,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125112137,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4125160477,197,3933,4125112143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4125112145,194,1lvwjd2sedbk3gs9p2v34cdt5,4125112135,30,"76q3qw1j9n3og4gep5pdedisq, 5x93ra7unls3fac5gomibwel1, 3mutv27i9xvd3wmbwypdpah62, 8drs7flji0ctdoui0cfyugu3u, 2d1defd89f1nrpb0gi6cciwru, 4gv8ud8pwhynhd4ehmzw2pgmi, sro6084uxjkm140ylvc5uq51, 14c84da3uglvp8gtjpxospo4q, 5de2lhx1gnd8ks8pmge8plb6d, ent3o8sh6zn2mpe7m9p8q1sve, 1lvwjd2sedbk3gs9p2v34cdt5, ea2eq21d08asfeqh17vcxpwmi, 36vatxs5tk7alvqedu7vtn88a, bwjqs0orziydksase1flhedt6, etzoltim8ktgsaidhpebhnx79, 9bzg6jfuapjzhmurucmkiz7fu, 2t32h7nbjkouc968jbm8cax62, 5axvazbhm6wsgpbpgt1gmaj11",4125112141,130,4,4125112139,59,"13, 17, 14, 8, 6, 22, 9, 19, 20, 7, 10, 1, 2, 3, 5, 12, 18, 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524875677,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-03-26T15:57:51.673Z,2023-03-26T15:57:53Z,4125162051,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524875673,2,32,1,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2023-03-26T15:57:51.673Z,2023-03-26T15:57:52Z,4125162045,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524875703,3,1,1,0,0,9euoni3f3sh08tsplt2gh5dex,1,50,50,2023-03-26T15:57:51.773Z,2023-03-26T15:57:56Z,4125162219,279,S,4125162211,140,34.0,4125162217,213,3.0,4125162215,212,17.0,4125162209,56,Back,4125162213,141,53.7,,,,,,,5de2lhx1gnd8ks8pmge8plb6d,S. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524875715,4,1,1,0,4,9euoni3f3sh08tsplt2gh5dex,1,32.4,54,2023-03-26T15:57:55.958Z,2023-03-26T15:57:58Z,4125162267,140,21.9,4125162273,213,2.4,4125162271,212,14.7,4125162265,56,Back,4125162269,141,68.2,,,,,,,,,,8drs7flji0ctdoui0cfyugu3u,Iris Arnaiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524875721,5,1,1,0,6,9euoni3f3sh08tsplt2gh5dex,1,20.1,68.7,2023-03-26T15:57:58.534Z,2023-03-26T15:58:00Z,4125162285,56,Back,4125162289,141,88.3,4125162293,213,1.6,4125162291,212,13.3,4125162287,140,20.1,,,,,,,,,,4gv8ud8pwhynhd4ehmzw2pgmi,M. Vanegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524875733,6,1,1,0,8,9euoni3f3sh08tsplt2gh5dex,1,20,88.3,2023-03-26T15:58:00.070Z,2023-03-26T15:58:02Z,4125162359,141,70.0,4125162355,56,Back,4125162363,213,4.3,4125162361,212,13.8,4125162357,140,14.3,,,,,,,,,,2d1defd89f1nrpb0gi6cciwru,Ane Etxezarreta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524875739,7,1,1,0,10,9euoni3f3sh08tsplt2gh5dex,1,12.7,68.7,2023-03-26T15:58:02.646Z,2023-03-26T15:58:06Z,4125162407,212,12.9,4125162409,213,4.1,4125162405,141,53.0,4125162403,140,5.8,4125162401,56,Back,,,,,,,,,,4gv8ud8pwhynhd4ehmzw2pgmi,M. Vanegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524875749,8,1,1,0,14,9euoni3f3sh08tsplt2gh5dex,1,7,51.2,2023-03-26T15:58:06.286Z,2023-03-26T15:58:09Z,4125162465,140,20.5,4125162463,56,Back,4125162467,141,68.8,4125162469,212,18.6,4125162471,213,0.7,,,,,,,,,,76q3qw1j9n3og4gep5pdedisq,Elene Lete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
