id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/16/value,qualifier/17/value
2497073515,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-01-14T10:14:48.988Z,2023-01-14T11:18:50Z,3976312333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976312323,30,"11so3nfejun31ajhmqjlwapqt, 1dg7whnmk3nb1adw7n8a7nnbp, 1vqpa944d79cnljfbjb8yjlcl, 5ovqn6llocczhae9n1kzj5nf9, bgzh3zwl99bpnnpj37jn4dmtx, 4n6mnhjzt6zpicfea3ym678id, 22zrashyijuh9pnjovqpyl8lx, aib5wgtlgl48jaezcguoxkmp5, c1r1tmscj963olp4yo8kedqdx, 9gdocwx006j6wyz4mnhzgzydx, 6291bj0xqq1w2631bajrpeb4l, 3kfxvwa38a7oq0d126jm4o9ka, 5h9k65zukry196snla3xgmh91, 40wxai4gm0pdry6545i5c68ve, dzhvgrdkl4nuj8z4fd9to0ag9, 8h7r4d4z2gjne58xwu3koiok5, f0cwpq45aa7b5de10j9skw44p, 2qfg4adqsjv2qmt9up7iq2t7u, enc694gvlgycx72bhat5f7wbu",3976312327,59,"1, 15, 16, 14, 2, 4, 12, 6, 20, 7, 9, 3, 8, 17, 18, 21, 22, 24, 25",3976312331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3976367141,197,17950,3976312329,130,4,3976367139,194,11so3nfejun31ajhmqjlwapqt,3976312325,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497074247,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-01-14T10:18:34.198Z,2023-01-14T11:14:26Z,3976316733,59,"1, 18, 4, 14, 3, 15, 23, 16, 22, 7, 20, 6, 8, 10, 11, 12, 13, 17, 19, 21",3976316737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976364101,197,3971,3976316731,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976364099,194,470znxtt0sf52aav1o8s1hkdm,3976316739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976316735,130,10,3976316729,30,"dri6ywllr5aapmost881p4991, c60g2qtl13gydk9p2pqbbnsb8, 8tmzjcaglix0qj8zy7yp8w7o, 6ufssidf65zo52ru9q644hq3u, auqzv0poi2q7tcardivb21m8l, aa93kg4nfvrpthvfkkofixwtm, 8fswi9ldpiuemw0y922tf7dud, 470znxtt0sf52aav1o8s1hkdm, 4l0t0twvkms04gm3w3b2xvhsl, 7dqs072o1rqh9l8rv9nus4qtx, 5wubhrq7ftqx0ryckwbrdxc5x, awauajziz79qwnek1scaxcmad, 67nqgmgyb28btwrkdykjitylm, f6dtaackj9nd3ngnvs5nq0o9, 67kef1hzytkax2iyeg2il5nth, eitv6t0xve84dgqlxutee0ys4, 16sc4hlsrq610rhfzi6m2squh, 6zyach9kkb2p1fuih4dm5ow7o, 8hmntjeezmx4ch9yeti4x9y50, cyvjdizn0kqcocblmtvjfvzvu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497085589,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-01-14T11:02:58.513Z,2023-01-14T11:02:59Z,3976368193,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497085581,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-01-14T11:02:58.513Z,2023-01-14T11:02:58Z,3976368163,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497085611,3,1,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,50,50,2023-01-14T11:02:58.613Z,2023-01-14T11:03:31Z,3976368277,56,Back,3976368285,213,2.5,3976368287,279,S,3976368283,212,13.6,3976368279,140,39.6,3976368281,141,62.0,,,,,,,4l0t0twvkms04gm3w3b2xvhsl,B. Ágústsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497085635,4,1,1,0,3,b9ecgxh884j2ugjrxwvpym192,1,39,62,2023-01-14T11:03:01.942Z,2023-01-14T11:03:37Z,3976368371,141,33.1,3976368367,56,Back,3976368373,212,23.1,3976368375,213,4.2,3976368369,140,27.5,,,,,,,,,,8fswi9ldpiuemw0y922tf7dud,P. Balcerzak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497085653,5,1,1,0,7,b9ecgxh884j2ugjrxwvpym192,1,31.3,16.2,2023-01-14T11:03:05.894Z,2023-01-14T12:01:21Z,3976368463,213,5.5,3976368457,140,39.6,3976368461,212,12.1,3976368459,141,3.8,3976368455,56,Back,,,,,,,,,,auqzv0poi2q7tcardivb21m8l,Ana Carol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497085665,6,1,1,0,9,b9ecgxh884j2ugjrxwvpym192,0,41.5,3.2,2023-01-14T11:03:07.750Z,2023-01-14T12:01:31Z,3976368503,213,0.2,3976368497,140,65.0,3976368495,56,Right,3976368501,212,25.1,3976368499,141,10.0,,,,,,,,,,c60g2qtl13gydk9p2pqbbnsb8,A. Kühn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497085671,3,49,1,0,11,bop6aslxmwvzsapdxsw3xbvfg,1,32.1,88.6,2023-01-14T11:03:10.450Z,2023-01-14T11:03:10Z,,,,,,,,,,,,,,,,,,,,,,,,,4n6mnhjzt6zpicfea3ym678id,Mapi León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497085695,4,1,1,0,12,bop6aslxmwvzsapdxsw3xbvfg,1,32.3,88.1,2023-01-14T11:03:11.183Z,2023-01-14T11:03:14Z,3976368617,212,23.4,3976368613,140,24.7,3976368611,56,Back,3976368615,141,55.8,3976368619,213,4.4,,,,,,,,,,4n6mnhjzt6zpicfea3ym678id,Mapi León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
