id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2536662315,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-04-21T17:48:10.926Z,2023-04-21T18:40:14Z,4206390041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206390029,30,"6nx2fpsn1549tqew7098csqg9, 2lh6bupkrijpm9n916446nbop, f0m3ncnvrrrj3wcgzrz7ja44q, 4u67uu52ej13738mz4dh9bj3e, si7seewiwpo5s7yi3jbxuo2y, f2wy9lcvcg47ufsat67mdf0et, 88cflr7hnw1o3ej6y3wsj5p0p, 1jepco4u9frbnmu5lyotlgu8k, bows51pg0h4042274cvzwtmcq, eb1k3xi1oy9c5xkc30fgodg4, ak7rstu77leltpt7c104ca4q2, 3nmk8e4y0vu8ov2whpdannnkk, alcmg8hi95r5q7etrck1uyusq, ekctrwv020vt9iuv6jkpfivv9, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, er787gw0uh9wwlo98tzsc83qh, 69hzl68t1f58dxs461jizyjje, 85vgjvamflqyzs4ov1fnaai95, ef8jptd63fi9rll1e1gx61z6y, bpk64d0puoo2xofbb5k4ffuac, envd6nvea5ssa98mq2bnd7otm",4206390039,194,f2wy9lcvcg47ufsat67mdf0et,4206390031,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206390037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206390035,130,8,4206390033,59,"1, 11, 17, 29, 6, 8, 16, 19, 20, 15, 22, 3, 5, 7, 10, 13, 14, 18, 21, 27, 28, 31",4206527325,197,3973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536664411,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-04-21T17:52:20.460Z,2023-04-21T18:45:01Z,4206400907,194,c4bthgzk7mykmnkyn4142i3v8,4206400905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4206400897,30,"77qiz0pydyy47nrcuqqtcom50, 5zfnimycb0516oj3frebpisk4, f5c7fj7ce4uklgzn8el0c90d0, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, 9wa7byb078u86r3x5bvzgkogl, cvq0jg2vh6kxwf0lcpmuf3i8k, eaebjxv5o929urb7nerrq9qtw, de1rbqfoaq2wyrd2781bxqqc5, 1saqhw307zho8fyokoav1j6s4, bwefhg110kbph4g04in7ynu38, 2j4zvd9upsax6m9vkodcd6vl6, d90k7acrynushpp6sld2e9h3p, comno008m9p6kg2cxtbc7suwa, cklnfn4gt480hn4o3m3d979w, 5lwte3qujkcw20jcc691itbdh, d20r1ne9lrj8jivt9qv1m6zth, buskvur4fy7ga63yv8akgr2ms",4206400903,130,18,4206400899,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4206520167,197,14201,4206400901,59,"1, 17, 15, 3, 4, 2, 8, 7, 11, 19, 12, 18, 13, 14, 21, 23, 24, 30",4206400909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536689869,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-04-21T18:30:05.422Z,2023-04-21T18:30:07Z,4206535233,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536689857,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-04-21T18:30:05.422Z,2023-04-21T18:30:05Z,4206535185,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536689903,3,1,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,50,50,2023-04-21T18:30:05.522Z,2023-04-21T18:30:09Z,4206535383,212,22.1,4206535385,213,3.2,4206535379,140,29.1,4206535387,279,S,4206535381,141,46.7,4206535377,56,Back,,,,,,,de1rbqfoaq2wyrd2781bxqqc5,Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536689919,4,1,1,0,3,eqaszp3lzhffqt4f8hmzov72j,0,29.6,41.5,2023-04-21T18:30:09.339Z,2023-04-21T18:30:12Z,4206535493,56,Right,4206535503,1,,4206535495,140,69.4,4206535497,141,13.0,4206535501,213,5.8,4206535491,155,,4206535499,212,46.1,,,,cvq0jg2vh6kxwf0lcpmuf3i8k,Daniela Arques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536689929,3,1,1,0,6,1azk57wev30h044w949j46kpu,0,31.5,79.7,2023-04-21T18:30:11.433Z,2023-04-21T18:31:54Z,4206535557,3,,4206535567,213,6.2,4206535563,141,78.1,4206535565,212,10.8,4206535559,56,Back,4206535561,140,41.7,,,,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536689943,5,61,1,0,8,eqaszp3lzhffqt4f8hmzov72j,1,60,16.1,2023-04-21T18:30:13.563Z,2023-04-21T18:30:32Z,4206535603,56,Right,,,,,,,,,,,,,,,,,,,,,,de1rbqfoaq2wyrd2781bxqqc5,Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536689989,6,1,1,0,9,eqaszp3lzhffqt4f8hmzov72j,0,53.7,25.6,2023-04-21T18:30:15.163Z,2023-04-21T18:30:19Z,4206535917,56,Center,4206535915,3,,4206535925,213,0.2,4206535923,212,13.4,4206535921,141,30.1,4206535919,140,66.1,,,,,,,cvq0jg2vh6kxwf0lcpmuf3i8k,Daniela Arques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536689997,4,44,1,0,12,1azk57wev30h044w949j46kpu,1,31.9,68.4,2023-04-21T18:30:17.739Z,2023-04-21T18:30:32Z,4206535939,56,Back,4206535941,285,,4206535997,233,7,,,,,,,,,,,,,,,,4u67uu52ej13738mz4dh9bj3e,Maite Zubieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536690003,7,44,1,0,12,eqaszp3lzhffqt4f8hmzov72j,0,68.1,31.6,2023-04-21T18:30:17.740Z,2023-04-21T18:30:19Z,4206535951,56,Center,4206536067,233,4,4206535953,286,,,,,,,,,,,,,,,,,de1rbqfoaq2wyrd2781bxqqc5,Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536690017,5,1,1,0,12,1azk57wev30h044w949j46kpu,1,29.5,65.7,2023-04-21T18:30:18.027Z,2023-04-21T18:30:40Z,4206536031,140,32.3,4206536029,56,Back,4206536035,212,4.1,4206536033,141,69.9,4206536037,213,0.8,4206536027,3,,,,,,,,4u67uu52ej13738mz4dh9bj3e,Maite Zubieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536690023,6,1,1,0,13,1azk57wev30h044w949j46kpu,0,32.3,69.9,2023-04-21T18:30:18.920Z,2023-04-21T18:30:19Z,4206536093,213,5.2,4206536089,141,63.3,4206536087,140,34.8,4206536085,56,Back,4206536083,3,,4206536091,212,5.2,,,,,,,eb1k3xi1oy9c5xkc30fgodg4,Clara Pinedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536690029,8,61,1,0,14,eqaszp3lzhffqt4f8hmzov72j,1,64.1,31.9,2023-04-21T18:30:20.148Z,2023-04-21T18:30:20Z,4206536125,56,Center,,,,,,,,,,,,,,,,,,,,,,de1rbqfoaq2wyrd2781bxqqc5,Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536690069,9,1,1,0,16,eqaszp3lzhffqt4f8hmzov72j,1,57.6,32.9,2023-04-21T18:30:21.611Z,2023-04-21T18:30:25Z,4206536367,140,63.3,4206536369,141,7.7,4206536371,212,18.2,4206536365,56,Right,4206536373,213,5.0,,,,,,,,,,cvq0jg2vh6kxwf0lcpmuf3i8k,Daniela Arques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536690087,10,1,1,0,19,eqaszp3lzhffqt4f8hmzov72j,0,63.2,7.6,2023-04-21T18:30:25.307Z,2023-04-21T18:30:26Z,4206536437,56,Right,4206536441,141,8.0,4206536439,140,87.4,4206536445,213,0.0,4206536443,212,25.4,,,,,,,,,,5zfnimycb0516oj3frebpisk4,Carmen Fresneda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536690099,7,12,1,0,20,1azk57wev30h044w949j46kpu,1,11.8,90,2023-04-21T18:30:26.375Z,2023-04-21T18:30:28Z,4206536543,213,1.5,4206536539,141,100.0,4206536541,212,7.7,4206536535,56,Back,4206536569,167,,4206536537,140,12.5,,,,,,,f2wy9lcvcg47ufsat67mdf0et,Marta Unzué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536690103,8,5,1,0,21,1azk57wev30h044w949j46kpu,0,14.4,101.2,2023-04-21T18:30:27.228Z,2023-04-21T18:40:37Z,4206536559,347,,4206536759,233,11,4206536557,56,Back,,,,,,,,,,,,,,,,f2wy9lcvcg47ufsat67mdf0et,Marta Unzué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
