id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2487964339,1,34,16,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2022-11-27T12:20:55.557Z,2022-11-27T13:18:13Z,3928100465,30,"76q3qw1j9n3og4gep5pdedisq, 9bzg6jfuapjzhmurucmkiz7fu, 5m8q057u3ek6rjdpmlu98uesq, 5axvazbhm6wsgpbpgt1gmaj11, bwjqs0orziydksase1flhedt6, 4gv8ud8pwhynhd4ehmzw2pgmi, 7lto783h9yi1uhb9wuxzem63u, 14c84da3uglvp8gtjpxospo4q, sro6084uxjkm140ylvc5uq51, ett23u47w9fthjjrlprw0u505, ent3o8sh6zn2mpe7m9p8q1sve, 36vatxs5tk7alvqedu7vtn88a, 9nyzegdr9nu4i5jp12h8q4et, etzoltim8ktgsaidhpebhnx79, 2d1defd89f1nrpb0gi6cciwru, 8drs7flji0ctdoui0cfyugu3u, 1lvwjd2sedbk3gs9p2v34cdt5, 3mutv27i9xvd3wmbwypdpah62, 2t32h7nbjkouc968jbm8cax62, 5de2lhx1gnd8ks8pmge8plb6d, eb2nuinewhu5gjp2vadk5reac",3928100475,194,ent3o8sh6zn2mpe7m9p8q1sve,3928183637,197,3933,3928100473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3928100467,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3928100471,130,4,3928100477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3928100469,59,"13, 12, 23, 21, 3, 22, 11, 19, 9, 16, 7, 2, 4, 5, 6, 8, 10, 14, 18, 20, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487965481,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-11-27T12:24:39.836Z,2022-11-27T13:05:17Z,3928106703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3928106705,59,"25, 5, 2, 19, 4, 16, 11, 21, 8, 10, 6, 9, 12, 13, 14, 15, 23, 27",3928106711,194,5sxloac78uf7i1kuscy5qwlw5,3928171401,197,17819,3928106713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3928106707,130,8,3928106701,30,"9cogvg029tq6m0ccqah1px7qi, 5yvzsnnawnxbki7rqnamwr3yt, 3rif0qvun4mmll1xf2qzykums, a6wwf7jl8eis7wvrhhwhdq3f9, 99ej60g3qy5e1i6v62scse8yx, 52mkbnt2oveh76tfrlojocgyd, avhw3o6tm33ptddzgwfsqod4a, ez9in0ld6mrlrab7bi1kvuhd6, antfb8hyo1sn4o68itu4oi904, 5sxloac78uf7i1kuscy5qwlw5, 5niwewtgzxf25d1q2ytxrlpsl, 74fj9shiqr8hz2bzn6nln8hcl, 1sr39v8ooejvspbdo6fqpckyc, a6vtfn4s30kd7xs9hgzha4iy, fge9gic869tnpk4tetnxuv4k, d5i62fwuf8ohc8fcq3lxboiga, aer03dwlu8hpnejk4uufpxisq, 8k3xs4havqvd53pxchucb2vbo",3928106709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487976921,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-11-27T12:58:58.273Z,2022-11-27T12:58:58Z,3928168481,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487976925,2,32,1,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2022-11-27T12:58:58.273Z,2022-11-27T12:59:00Z,3928168489,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487976933,3,1,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,49.7,50,2022-11-27T12:58:58.373Z,2022-11-27T12:59:01Z,3928168525,213,3.1,3928168523,212,16.2,3928168517,56,Back,3928168521,141,51.0,3928168527,279,S,3928168519,140,34.3,,,,,,,5sxloac78uf7i1kuscy5qwlw5,Mari Paz Vilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487976937,4,1,1,0,3,e7p3lxg97gac51s71hotzi0a5,0,35.1,50,2022-11-27T12:59:01.878Z,2022-11-27T12:59:03Z,3928168555,1,,3928168553,213,6.1,3928168547,140,74.7,3928168549,141,39.4,3928168543,155,,3928168545,56,Center,3928168551,212,42.2,,,,antfb8hyo1sn4o68itu4oi904,Laura Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487976951,3,1,1,0,6,9euoni3f3sh08tsplt2gh5dex,0,23.3,71.3,2022-11-27T12:59:05.028Z,2022-11-27T12:59:07Z,3928168607,3,,3928168613,141,60.5,3928168617,213,6.0,3928168615,212,23.9,3928168611,140,45.0,3928168609,56,Back,,,,,,,4gv8ud8pwhynhd4ehmzw2pgmi,M. Vanegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487976963,5,49,1,0,9,e7p3lxg97gac51s71hotzi0a5,1,58.7,37.1,2022-11-27T12:59:07.335Z,2022-11-27T12:59:07Z,,,,,,,,,,,,,,,,,,,,,,,,,5sxloac78uf7i1kuscy5qwlw5,Mari Paz Vilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487976967,6,1,1,0,9,e7p3lxg97gac51s71hotzi0a5,1,59.1,34.8,2022-11-27T12:59:08.102Z,2022-11-27T12:59:09Z,3928168657,140,56.4,3928168665,212,18.5,3928168669,213,4.6,3928168661,141,7.9,3928168655,56,Right,,,,,,,,,,5sxloac78uf7i1kuscy5qwlw5,Mari Paz Vilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487976971,7,1,1,0,11,e7p3lxg97gac51s71hotzi0a5,1,56.4,7.9,2022-11-27T12:59:09.542Z,2022-11-27T12:59:11Z,3928168683,141,15.0,3928168685,212,24.5,3928168679,56,Right,3928168687,213,0.2,3928168681,140,79.3,,,,,,,,,,5yvzsnnawnxbki7rqnamwr3yt,Nuria Garrote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
