id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/17/value
2522536449,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-03-19T16:06:09.316Z,2023-03-19T16:57:23Z,4110548759,130,4,4110829657,197,14201,4110548757,59,"1, 17, 15, 8, 3, 4, 21, 18, 9, 19, 12, 5, 7, 11, 13, 14, 23, 24, 30",4110548761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4110548755,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4110548753,30,"77qiz0pydyy47nrcuqqtcom50, 5zfnimycb0516oj3frebpisk4, f5c7fj7ce4uklgzn8el0c90d0, cvq0jg2vh6kxwf0lcpmuf3i8k, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, cklnfn4gt480hn4o3m3d979w, 2j4zvd9upsax6m9vkodcd6vl6, 1ezefmix2gldcaoz0cdplw3x1, 1saqhw307zho8fyokoav1j6s4, bwefhg110kbph4g04in7ynu38, 457je18v0j8fkdtggt2ghycr8, eaebjxv5o929urb7nerrq9qtw, de1rbqfoaq2wyrd2781bxqqc5, d90k7acrynushpp6sld2e9h3p, comno008m9p6kg2cxtbc7suwa, 5lwte3qujkcw20jcc691itbdh, d20r1ne9lrj8jivt9qv1m6zth, buskvur4fy7ga63yv8akgr2ms",4110548765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110548763,194,c4bthgzk7mykmnkyn4142i3v8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522542231,1,34,16,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-03-19T16:11:34.792Z,2023-03-19T17:02:18Z,4110579699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110579691,30,"4bcef9sqkbml7b2jtqhbz602d, lanj0745tf4i4hige9vm9qll, d0i38pk78vbxoqz7x2rzz8cx6, daze51b5849zsk2aqvgmkkbth, 9163edyiljpd18plos0eb2j8p, 24dpnyyhqgnve5zzget4gz1zp, 3alzawtqpfjtb3vez30mbp0mi, 5qvgs8yefgkayj9yt1kidkcfd, 3iet32cz1jg865iswu92kqd49, 1tusdkqm6v4khzekbrp2jfnqh, 263vizqqfp8zwwws0exdrl3o5, efxmnnjg8l00ns74d7nnloi22, 1duox0r8qvb3t52m9w4mp86ol, 52kdiaya57yaisoil0k9ss0oa, b24bgt8u8e1b1gb98k9sf9lw4, 921nkcoy16y0wya801bo53f85, 2a76iw4bpv8ppfhuc859cweeh, 20nehty0pfzlg8wj60l87taeh, 4pavtall24hy4jle51p1lqkbu, auyj06nha2syoygo7prfadobu",4110579701,194,4bcef9sqkbml7b2jtqhbz602d,4110579697,130,4,4110579703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110579695,59,"1, 3, 20, 7, 15, 11, 6, 22, 9, 19, 16, 2, 4, 5, 13, 14, 17, 21, 26, 27",4110579693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4110848979,197,3941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522591477,2,32,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-03-19T17:01:17.983Z,2023-03-19T17:01:18Z,4110845047,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522591515,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-03-19T17:01:17.983Z,2023-03-19T17:01:20Z,4110845201,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522591545,3,1,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,50.5,49.6,2023-03-19T17:01:18.083Z,2023-03-19T17:03:44Z,4110845355,279,S,4110845349,141,52.9,4110845353,213,2.5,4110845347,140,47.9,4110845351,212,3.5,4110845345,56,Back,,,,,,,3iet32cz1jg865iswu92kqd49,A. Stašková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522591557,4,1,1,0,4,8zt8rrm6v5nccv01v6pef0r1o,1,47.9,52.9,2023-03-19T17:01:22.146Z,2023-03-19T17:01:22Z,4110845415,140,32.7,4110845421,212,16.0,4110845419,141,51.3,4110845411,56,Back,4110845423,213,3.2,,,,,,,,,,5qvgs8yefgkayj9yt1kidkcfd,E. Banini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522591571,5,1,1,0,4,8zt8rrm6v5nccv01v6pef0r1o,1,32.7,51.3,2023-03-19T17:01:22.850Z,2023-03-19T17:01:24Z,4110845537,56,Back,4110845545,213,5.3,4110845541,141,36.9,4110845539,140,38.8,4110845543,212,11.7,,,,,,,,,,daze51b5849zsk2aqvgmkkbth,Maitane López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522591597,6,1,1,0,6,8zt8rrm6v5nccv01v6pef0r1o,1,45.9,21.8,2023-03-19T17:01:24.562Z,2023-03-19T17:01:27Z,4110845655,140,57.8,4110845659,212,15.9,4110845653,56,Right,4110845657,141,7.3,4110845661,213,5.6,,,,,,,,,,3alzawtqpfjtb3vez30mbp0mi,Irene Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522591621,7,1,1,0,9,8zt8rrm6v5nccv01v6pef0r1o,1,57.5,10,2023-03-19T17:01:27.089Z,2023-03-19T17:01:29Z,4110845787,212,21.2,4110845783,140,39.1,4110845785,141,22.7,4110845789,213,2.7,4110845781,56,Back,,,,,,,,,,1tusdkqm6v4khzekbrp2jfnqh,Eva Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522591671,8,1,1,0,10,8zt8rrm6v5nccv01v6pef0r1o,1,38.3,25.6,2023-03-19T17:01:28.914Z,2023-03-19T17:01:32Z,4110846057,212,27.4,4110846061,213,2.1,4110846049,140,25.9,4110846053,141,61.1,4110846047,56,Back,,,,,,,,,,3alzawtqpfjtb3vez30mbp0mi,Irene Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
