id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2544199491,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-05-06T09:28:54.870Z,2023-05-06T10:05:31Z,4253579149,197,12185,4253522049,194,du0eybpvf5vcvtuj074x74jdg,4253522051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253522045,130,2,4253522047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4253522039,30,"1bvbnq69gxx0nciovzzf6o8dm, c3plg9ommu3i24xx3nfm6wbxm, cfmly5uuomypp4t0pibgtfazu, 3u9vtcqa5td8weoufpzirruhg, d2at1haixfnekibqj89y4nxed, 8vwiezkux2gxs99ziy7x69fu2, a0g0ldiol9fzw09gk5i9e15w4, 61ho0mi13ewpotj5udjt7mz2s, du0eybpvf5vcvtuj074x74jdg, 2j37sn6v53zhgz2hf1q33gzdg, c1ll2hqt71suy8bgwswpci9uy, beiyf464bpeeezm7jiqh2pzis, 5q1oexaovibgn83v5kmjfanvu, 89zl8l8wouupdzgepnm1ogqhg, 6lruud03b1so5uyjduuthtuj9, du4sd3yhhb3avedd8yzjd6dey, 4ts1xba21nxqu8shbfzcvj27d, epgai2aff40j82jb3gumaehka, 9rk08avs1361jws1ibs5frl04",4253522041,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4253522043,59,"1, 30, 21, 6, 3, 2, 8, 19, 7, 9, 11, 5, 16, 12, 14, 18, 20, 13, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544203257,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-05-06T09:39:04.921Z,2023-05-06T10:08:44Z,4253579789,194,42t82kh0hqfa7h92x1ujdz97u,4253540819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253540815,130,11,4253540817,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253540811,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4253540813,59,"13, 16, 39, 22, 4, 3, 8, 6, 17, 12, 10, 1, 21, 23, 26, 28, 38, 40",4253540809,30,"7yjvzelaq5iir99b4631uiyg9, 982xo55a6ehu6960fxwr3bfje, 7n8n3sdtzfjymna2os4wmb7u2, 42t82kh0hqfa7h92x1ujdz97u, 9le3udqhtfsbnlr6py67cj71m, c7phsuwshglgu1nud007agqnd, eno0e1nmkn4ts5yy103k7inzd, 3rob14yal0zrzxj2tdpp4sewa, aoy956n72pya0cc6bqj5x736x, 1au0af90j09ol6827vodhg1k9, buqygjztmnvmul49w3grzuo5x, 8jok7wopda70yus7gj5qwi1nt, f20f6etew7qc0bgwp7j1bgyne, 5ic26p6vixiy9kqtxniuh9zh1, 64kypbsy1pllkz2r8esmoljis, bpqjytbm9oxa367bwxcyhiolw, c1rigjqqopq272qgx0ysylj4k, 6qizgdmaqsqctxlnt1g8r0l5g",4253575045,197,4186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211661,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-05-06T10:03:58.433Z,2023-05-06T10:03:58Z,4253582883,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211665,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-05-06T10:03:58.433Z,2023-05-06T10:03:59Z,4253582897,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211675,3,1,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,50,50,2023-05-06T10:03:58.533Z,2023-05-06T10:04:01Z,4253582953,140,37.3,4253582951,56,Back,4253582961,279,S,4253582959,213,2.7,4253582955,141,59.3,4253582957,212,14.8,,,,,,,aoy956n72pya0cc6bqj5x736x,María José Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211699,4,1,1,0,2,9ouh98eyf6u69lbxc13mllm7f,1,37.3,59.3,2023-05-06T10:04:00.901Z,2023-05-06T10:04:05Z,4253583055,141,34.5,4253583057,212,20.3,4253583059,213,4.1,4253583053,140,26.5,4253583051,56,Back,,,,,,,,,,1au0af90j09ol6827vodhg1k9,C. Falknor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211713,5,1,1,0,6,9ouh98eyf6u69lbxc13mllm7f,1,26.5,34.5,2023-05-06T10:04:04.981Z,2023-05-06T10:04:06Z,4253583121,141,56.1,4253583119,140,23.5,4253583129,213,1.8,4253583125,212,15.0,4253583117,56,Back,,,,,,,,,,c7phsuwshglgu1nud007agqnd,Thaís Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211737,6,1,1,0,8,9ouh98eyf6u69lbxc13mllm7f,1,23.5,56.1,2023-05-06T10:04:06.870Z,2023-05-06T10:09:39Z,4253583245,141,89.0,4253583247,212,23.9,4253583249,213,1.2,4253583243,140,31.6,4253583241,56,Back,,,,,,,,,,9le3udqhtfsbnlr6py67cj71m,Andrea Marrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211757,7,1,1,0,11,9ouh98eyf6u69lbxc13mllm7f,1,31.6,89,2023-05-06T10:04:09.557Z,2023-05-06T10:09:47Z,4253583337,140,20.9,4253583335,56,Back,4253583341,212,21.5,4253583339,141,62.0,4253583343,213,4.2,,,,,,,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211781,8,1,1,0,13,9ouh98eyf6u69lbxc13mllm7f,1,20.9,62,2023-05-06T10:04:12.421Z,2023-05-06T10:09:51Z,4253583463,56,Back,4253583465,140,23.5,4253583467,141,35.5,4253583471,213,4.9,4253583469,212,18.2,,,,,,,,,,9le3udqhtfsbnlr6py67cj71m,Andrea Marrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211815,9,1,1,0,17,9ouh98eyf6u69lbxc13mllm7f,0,25,25.6,2023-05-06T10:04:16.054Z,2023-05-06T10:04:21Z,4253583623,56,Center,4253583621,155,,4253583627,141,25.3,4253583625,140,74.9,4253583631,213,6.3,4253583629,212,52.4,4253583633,1,,,,,c7phsuwshglgu1nud007agqnd,Thaís Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211817,10,44,1,0,19,9ouh98eyf6u69lbxc13mllm7f,1,77,29.2,2023-05-06T10:04:18.181Z,2023-05-06T10:10:31Z,4253583637,56,Center,4253583639,286,,4253596811,233,23,,,,,,,,,,,,,,,,aoy956n72pya0cc6bqj5x736x,María José Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544212713,23,44,1,0,19,7mk4va7b2p6tnv2xjxcgjy8h6,0,23,70.8,2023-05-06T10:04:18.182Z,2023-05-06T10:10:31Z,4253588353,56,Back,4253596843,233,10,4253588355,285,,,,,,,,,,,,,,,,,8vwiezkux2gxs99ziy7x69fu2,Elba Vergés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544214311,77,1,1,0,20,9ouh98eyf6u69lbxc13mllm7f,0,74,25.3,2023-05-06T10:04:18.501Z,2023-05-06T10:10:46Z,4253596937,140,65.0,4253596935,56,Center,4253596933,3,,4253596941,212,9.5,4253596939,141,26.2,4253596943,213,3.1,,,,,,,aoy956n72pya0cc6bqj5x736x,María José Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211821,3,1,1,0,21,7mk4va7b2p6tnv2xjxcgjy8h6,0,38,76.1,2023-05-06T10:04:20.079Z,2023-05-06T10:04:21Z,4253583649,140,57.3,4253583655,213,6.1,4253583651,141,69.7,4253583645,3,,4253583653,212,20.7,4253583647,56,Center,,,,,,,3u9vtcqa5td8weoufpzirruhg,Gema Soliveres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211861,11,1,1,0,24,9ouh98eyf6u69lbxc13mllm7f,1,38.2,29.7,2023-05-06T10:04:22.470Z,2023-05-06T10:04:27Z,4253583889,56,Left,4253583899,1,,4253583887,157,,4253583895,212,64.1,4253583897,213,0.8,4253583891,140,82.8,4253583893,141,94.1,,,,c7phsuwshglgu1nud007agqnd,Thaís Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544211865,12,50,1,0,29,9ouh98eyf6u69lbxc13mllm7f,1,81.3,92.4,2023-05-06T10:04:27.686Z,2023-05-06T10:12:01Z,4253583905,286,,4253584069,233,4,4253583903,56,Left,,,,,,,,,,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
