id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value
2524744921,1,34,16,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-03-26T09:09:03.690Z,2023-03-26T09:55:35Z,4124483817,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4124483821,130,4,4124483815,30,"4bcef9sqkbml7b2jtqhbz602d, 20nehty0pfzlg8wj60l87taeh, lanj0745tf4i4hige9vm9qll, daze51b5849zsk2aqvgmkkbth, 9163edyiljpd18plos0eb2j8p, 52kdiaya57yaisoil0k9ss0oa, 3alzawtqpfjtb3vez30mbp0mi, auyj06nha2syoygo7prfadobu, 3iet32cz1jg865iswu92kqd49, 1tusdkqm6v4khzekbrp2jfnqh, 263vizqqfp8zwwws0exdrl3o5, efxmnnjg8l00ns74d7nnloi22, 1duox0r8qvb3t52m9w4mp86ol, 24dpnyyhqgnve5zzget4gz1zp, b24bgt8u8e1b1gb98k9sf9lw4, 921nkcoy16y0wya801bo53f85, 2a76iw4bpv8ppfhuc859cweeh, d0i38pk78vbxoqz7x2rzz8cx6, 5qvgs8yefgkayj9yt1kidkcfd, 4pavtall24hy4jle51p1lqkbu",4124483823,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124483819,59,"1, 21, 3, 7, 15, 5, 6, 27, 9, 19, 16, 2, 4, 11, 13, 14, 17, 20, 22, 26",4124483825,194,4bcef9sqkbml7b2jtqhbz602d,4124528335,197,17117,4124483827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524748055,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-03-26T09:23:34.190Z,2023-03-26T10:08:13Z,4124497279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124497283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124497271,30,"epgai2aff40j82jb3gumaehka, c3plg9ommu3i24xx3nfm6wbxm, 89zl8l8wouupdzgepnm1ogqhg, 8vwiezkux2gxs99ziy7x69fu2, d2at1haixfnekibqj89y4nxed, q3xvi1pbz5hmr6zw6np6v4yd, cfmly5uuomypp4t0pibgtfazu, 3u9vtcqa5td8weoufpzirruhg, 61ho0mi13ewpotj5udjt7mz2s, du4sd3yhhb3avedd8yzjd6dey, c1ll2hqt71suy8bgwswpci9uy, beiyf464bpeeezm7jiqh2pzis, 5q1oexaovibgn83v5kmjfanvu, 1bvbnq69gxx0nciovzzf6o8dm, du0eybpvf5vcvtuj074x74jdg, a0g0ldiol9fzw09gk5i9e15w4, 2j37sn6v53zhgz2hf1q33gzdg, 83wqrctlm3zpp10zmx1tjc9ka, 6lruud03b1so5uyjduuthtuj9, 7dlyawb4x2lr5gjcz5b1y5ivp, 4ts1xba21nxqu8shbfzcvj27d, 9rk08avs1361jws1ibs5frl04",4124497281,194,du4sd3yhhb3avedd8yzjd6dey,4124497273,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4124497277,130,2,4124527337,197,12185,4124497275,59,"13, 30, 12, 2, 3, 4, 21, 6, 19, 18, 11, 5, 16, 1, 7, 8, 9, 10, 14, 17, 20, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755033,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-03-26T09:59:20.150Z,2023-03-26T09:59:20Z,4124532191,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755037,2,32,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-03-26T09:59:20.150Z,2023-03-26T09:59:22Z,4124532197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755043,3,1,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,50.1,50.1,2023-03-26T09:59:20.250Z,2023-03-26T10:23:21Z,4124532233,279,S,4124532223,56,Back,4124532225,140,38.0,4124532227,141,49.9,4124532229,212,12.7,4124532231,213,3.2,,,,,,,3iet32cz1jg865iswu92kqd49,A. Stašková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755063,4,1,1,0,2,8zt8rrm6v5nccv01v6pef0r1o,1,35.9,49.4,2023-03-26T09:59:23.124Z,2023-03-26T10:23:23Z,4124532335,212,13.5,4124532337,213,5.1,4124532331,140,41.3,4124532329,56,Back,4124532333,141,31.4,,,,,,,,,,daze51b5849zsk2aqvgmkkbth,Maitane López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755075,5,1,1,0,5,8zt8rrm6v5nccv01v6pef0r1o,1,42.8,25.3,2023-03-26T09:59:25.396Z,2023-03-26T09:59:27Z,4124532407,213,5.1,4124532399,56,Back,4124532405,212,14.7,4124532403,141,5.3,4124532401,140,48.0,,,,,,,,,,3alzawtqpfjtb3vez30mbp0mi,Irene Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755085,6,1,1,0,7,8zt8rrm6v5nccv01v6pef0r1o,1,42.8,9.8,2023-03-26T09:59:27.875Z,2023-03-26T09:59:31Z,4124532449,212,26.0,4124532451,213,2.6,4124532443,56,Back,4124532445,140,21.2,4124532447,141,28.4,,,,,,,,,,1tusdkqm6v4khzekbrp2jfnqh,Eva Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755101,7,1,1,0,11,8zt8rrm6v5nccv01v6pef0r1o,1,21.8,30.5,2023-03-26T09:59:31.203Z,2023-03-26T09:59:35Z,4124532519,141,65.3,4124532523,213,1.4,4124532515,56,Back,4124532517,140,25.1,4124532521,212,23.9,,,,,,,,,,9163edyiljpd18plos0eb2j8p,Cinta Del Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755123,8,1,1,0,15,8zt8rrm6v5nccv01v6pef0r1o,1,36.7,60.8,2023-03-26T09:59:35.684Z,2023-03-26T09:59:41Z,4124532629,56,Back,4124532631,140,35.4,4124532633,141,40.1,4124532635,212,14.1,4124532637,213,4.6,,,,,,,,,,52kdiaya57yaisoil0k9ss0oa,Sonia Majarín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
