id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/14/value
2548540157,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-05-14T09:04:21.652Z,2023-05-14T09:40:25Z,4276672461,130,4,4276672455,30,"7yjvzelaq5iir99b4631uiyg9, 9le3udqhtfsbnlr6py67cj71m, 982xo55a6ehu6960fxwr3bfje, 3rob14yal0zrzxj2tdpp4sewa, c7phsuwshglgu1nud007agqnd, 42t82kh0hqfa7h92x1ujdz97u, 80bmdjixjy34wx3e5fb8re961, 1au0af90j09ol6827vodhg1k9, aoy956n72pya0cc6bqj5x736x, eno0e1nmkn4ts5yy103k7inzd, buqygjztmnvmul49w3grzuo5x, 9zwsu6pe48ma1xdwob50goi96, yay5mq8trvoxv9mwm4mqzn8q, 8jok7wopda70yus7gj5qwi1nt, f20f6etew7qc0bgwp7j1bgyne, 5ic26p6vixiy9kqtxniuh9zh1, 64kypbsy1pllkz2r8esmoljis, c1rigjqqopq272qgx0ysylj4k",4276672457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4276672459,59,"13, 4, 16, 6, 3, 22, 14, 12, 17, 8, 10, 37, 24, 1, 21, 23, 26, 38",4276672467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276672463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276735641,197,13820,4276672465,194,42t82kh0hqfa7h92x1ujdz97u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548541031,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-14T09:06:48.282Z,2023-05-14T10:03:48Z,4276760251,197,17022,4276677363,194,5e5sc7yzyi9kja9edk892br9x,4276677365,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276677359,130,8,4276677357,59,"13, 17, 16, 18, 5, 2, 11, 14, 19, 23, 9, 1, 4, 6, 10, 15, 20, 22, 27, 30",4276677361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276677355,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4276677353,30,"bruuz81usy0wu8hpg4d6af3e1, 9x6jbuibbl7ysh0oovghyw4id, 4nbtzqsvw5ecwsh0k19rzoiga, bixjzl99gkes918s5gbndtwwl, efrr99onfcuvb2gylkvvrnl9m, f24lwuatps6dy3yzdifyir6qd, 57ubfxv6ujkk5cictmez4op1x, 5hk1m1corx8iy26z88eo65fpx, 5jwmy7qi01na2bmyw3zo3is8a, 5e5sc7yzyi9kja9edk892br9x, 791g6utcjg9779zlvf7gyavze, 91vjxbtjn9fmsatxvncmwxyhh, aktfohaqh9czmqesi39tstlka, 5ag0647kn7k4y21y8nigiwxqt, d71c1o7e1t448gemysrgisj8q, em7ia2l8t9011hu2mnihjf90q, 8m8fk05kqcs7ver68ubl61mju, 7ffrfies3tie3rewc1cm0hz9x, a8y8rzun56tbscefigcor225m, c9nwuwk8n76ulkfl460fna42c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548557847,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-14T10:00:34.606Z,2023-05-14T10:00:37Z,4276763613,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548557843,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-05-14T10:00:34.606Z,2023-05-14T10:00:34Z,4276763595,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548557865,3,1,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,50.4,49.1,2023-05-14T10:00:34.706Z,2023-05-14T10:50:02Z,4276763683,213,3.1,4276763685,279,S,4276763679,141,48.9,4276763677,140,34.3,4276763675,56,Back,4276763681,212,16.9,,,,,,,5jwmy7qi01na2bmyw3zo3is8a,Cristina Martín-Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548557907,4,1,1,0,3,bxlqcsb8ylen7lng9qy50eoq5,1,37.3,47.9,2023-05-14T10:00:38.183Z,2023-05-14T10:00:43Z,4276763871,141,67.6,4276763865,155,,4276763869,140,67.1,4276763867,56,Center,4276763877,1,,4276763873,212,34.0,4276763875,213,0.4,,,,bixjzl99gkes918s5gbndtwwl,K. Cahynová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548557923,5,1,1,0,5,bxlqcsb8ylen7lng9qy50eoq5,1,67.8,68.8,2023-05-14T10:00:40.015Z,2023-05-14T10:00:53Z,4276763931,56,Center,4276763929,3,,4276763939,213,4.7,4276763937,212,17.4,4276763933,140,67.1,4276763935,141,43.3,,,,,,,791g6utcjg9779zlvf7gyavze,Ana Franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548557933,6,1,1,0,7,bxlqcsb8ylen7lng9qy50eoq5,0,67.1,43.3,2023-05-14T10:00:42.537Z,2023-05-14T10:00:56Z,4276763985,213,0.6,4276763983,212,14.3,4276763981,141,54.3,4276763977,56,Center,4276763979,140,78.7,4276763975,155,,,,,,,,5jwmy7qi01na2bmyw3zo3is8a,Cristina Martín-Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548557937,3,1,1,0,9,9ouh98eyf6u69lbxc13mllm7f,0,24.7,45.5,2023-05-14T10:00:43.686Z,2023-05-14T10:00:45Z,4276764001,141,67.0,4276763997,56,Back,4276763999,140,39.2,4276764003,212,21.1,4276763995,3,,4276764005,213,0.8,,,,,,,9le3udqhtfsbnlr6py67cj71m,Andrea Marrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548557957,7,1,1,0,11,bxlqcsb8ylen7lng9qy50eoq5,0,60.1,43.7,2023-05-14T10:00:46.376Z,2023-05-14T10:00:49Z,4276764127,212,34.8,4276764129,213,5.6,4276764131,1,,4276764125,141,12.8,4276764123,140,86.5,4276764121,56,Right,4276764119,155,,,,,5hk1m1corx8iy26z88eo65fpx,Silvia Meseguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
