id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value
2487939077,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2022-11-27T10:33:25.255Z,2022-11-27T11:14:47Z,3927962735,59,"1, 22, 21, 4, 2, 3, 8, 14, 19, 9, 7, 6, 11, 17, 18, 20, 13, 27",3927983161,197,12185,3927962741,194,6lruud03b1so5uyjduuthtuj9,3927962743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927962737,130,18,3927962731,30,"1bvbnq69gxx0nciovzzf6o8dm, 1dfho5ul0u10h5m7cmtmj5x7u, cfmly5uuomypp4t0pibgtfazu, q3xvi1pbz5hmr6zw6np6v4yd, 8vwiezkux2gxs99ziy7x69fu2, d2at1haixfnekibqj89y4nxed, a0g0ldiol9fzw09gk5i9e15w4, 6lruud03b1so5uyjduuthtuj9, 61ho0mi13ewpotj5udjt7mz2s, 2j37sn6v53zhgz2hf1q33gzdg, du0eybpvf5vcvtuj074x74jdg, 3u9vtcqa5td8weoufpzirruhg, c1ll2hqt71suy8bgwswpci9uy, 7dlyawb4x2lr5gjcz5b1y5ivp, du4sd3yhhb3avedd8yzjd6dey, 4ts1xba21nxqu8shbfzcvj27d, epgai2aff40j82jb3gumaehka, 9rk08avs1361jws1ibs5frl04",3927962733,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3927962739,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487940235,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2022-11-27T10:40:17.140Z,2022-11-27T11:09:03Z,3927969349,59,"24, 11, 16, 20, 19, 21, 15, 7, 18, 12, 10, 1, 4, 6, 8, 9, 22, 23",3927969351,130,4,3927969353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3927983273,197,12190,3927969347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3927969355,194,5xlqh4i9zb5daj4khs1mbbxpm,3927969345,30,"hf67c0ip1chljjy1udsjpt2i, 5xlqh4i9zb5daj4khs1mbbxpm, 4ngzyppqh4iaqqy0vrynwz66s, 1nhju64j5loikn6t0j9m6au39, 2dsgmfs9crnzz3425si3m9uj9, ev8an510kk4nb6dabnsa962tx, 1cfjcoum4z07r1p3uyy2p9x49, 5kio1iodx7cq9i9p9kql1nuuh, 3z91j68ij26ar4vifyqyp34k, 9742qffzdwiz9y3y7et40863t, et6offb5y91ch6mlol3dwcd0p, 5zhcjr5kxyxd2jmq1wel3ug9h, 24bz5vlm76nrqcnblyxfkt8x6, b3dvkkzdpggax4btpycd1oe3u, 8i42x5mpk5bpm1i0gvgubx9pm, 67i9jwkech61ihpglnmpzygvd, ent5lfgq42d5ngi3ebyy7p1w5, 35uen906vvtndlnv3hrm5zo8a",3927969357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943141,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2022-11-27T11:02:30.193Z,2022-11-27T11:02:30Z,3927985415,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943143,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2022-11-27T11:02:30.193Z,2022-11-27T11:02:32Z,3927985417,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943151,3,1,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,49.7,50.1,2022-11-27T11:02:30.293Z,2022-11-27T11:02:33Z,3927985457,279,S,3927985455,213,3.2,3927985447,56,Back,3927985453,212,12.0,3927985451,141,49.1,3927985449,140,38.3,,,,,,,a0g0ldiol9fzw09gk5i9e15w4,Miku Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943159,4,1,1,0,2,7mk4va7b2p6tnv2xjxcgjy8h6,1,38.2,49.1,2022-11-27T11:02:32.287Z,2022-11-27T11:02:36Z,3927985483,56,Back,3927985491,213,2.0,3927985489,212,17.4,3927985485,140,31.9,3927985487,141,72.7,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943171,5,1,1,0,5,7mk4va7b2p6tnv2xjxcgjy8h6,0,31.9,72.1,2022-11-27T11:02:35.935Z,2022-11-27T11:02:39Z,3927985577,212,58.0,3927985581,1,,3927985575,141,27.1,3927985579,213,5.7,3927985569,157,,3927985573,140,78.8,3927985571,56,Center,,,,q3xvi1pbz5hmr6zw6np6v4yd,C. Sáez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943179,3,1,1,0,10,djz9e25b9zuiu5rmv1zha3i6f,1,18.5,71.1,2022-11-27T11:02:40.445Z,2022-11-27T11:49:33Z,3927985617,3,,3927985621,140,19.7,3927985623,141,75.4,3927985619,56,Back,3927985627,213,1.2,3927985625,212,3.2,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487955345,413,61,1,0,11,djz9e25b9zuiu5rmv1zha3i6f,1,19,74.6,2022-11-27T11:02:41.193Z,2022-11-27T11:49:38Z,3928052349,56,Back,,,,,,,,,,,,,,,,,,,,,,1nhju64j5loikn6t0j9m6au39,Leles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943201,6,1,1,0,13,7mk4va7b2p6tnv2xjxcgjy8h6,1,76.9,20.1,2022-11-27T11:02:43.935Z,2022-11-27T11:02:55Z,3927985733,56,Right,3927985739,212,10.4,3927985735,140,81.3,3927985741,213,5.2,3927985737,141,6.4,,,,,,,,,,61ho0mi13ewpotj5udjt7mz2s,Sara Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
