id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/14/value,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2551399285,1,34,16,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-05-20T05:03:26.752Z,2023-05-20T06:09:33Z,4291901203,194,a6mikq97x6ldarn4j7i16gatx,4291901199,130,13,4291901205,197,5030,4291901201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4291901207,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4291901197,59,"1, 7, 17, 3, 4, 13, 15, 6, 77, 10, 18, 2, 5, 9, 16, 33, 34, 42",4291901193,30,"jywyirljzj827gq6pkgb34k5, an0ry25y0g1r231rva3xbgs15, 8u07m36pydqgg68citu7pilii, 96c2ojt4sgo4gfxs7vt1qfxed, dnwwsdy1tfz0o7t0odssfstsl, ecdovu3igm2rwrf6mwannhwmi, a6mikq97x6ldarn4j7i16gatx, 5c3w3zdu6bojrfd8gt8u35o7p, 4o4vrnjw7c3g7j5aw5utyw1cl, 1enckn6zmewa3nupsm95mgkb9, dnvqxvpw9c21y0mb2wdxyua51, 4q09fnw7soqo8q1u50wfde76d, b9q7re294ul5aq3jxch5oomol, 3g0uy8yhevhod17kgrtho63th, iu0xfgqmdqhn8vpgbqwpbnit, cfzctw95ysbr2hdzz1q4uftre, dg1wh53t8qyb8l2dkeibtnkkp, 3a9pz8paxic5ggg7qfjmy8xlg",4291901195,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551399357,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-05-20T05:04:07.883Z,2023-05-20T06:03:11Z,4291901607,130,17,4291901601,30,"6vuryavylbdnwabe4g5yvgzxl, 3rgupzc2gcdg8nyzd78xe98no, d3aj0s7ozmpdbdtub8s5qo962, 80qq4sxv5janjrt2in0qmgd79, czkrfln85uvtb58cau4kz5m5m, 5c2ydgdh3f14lya3spj89m0gl, 1dta13hd6ajv6vw1c4sxmdzvt, 20ckxhxmd6h2jwv1yqi243h05, 2su3ef2yrvsyy64fx6oyyc9g5, 7vmiyl7acw24rtxq2ev6m4up6, bslybqpvcs3eosivpxaeksgyx, 94zthueiu6uxw1ioe47x6pld6, 33w6jl3u5nonnwk29nrhv9xhx, 4my8wr7hymw527avppuiojp5g, 9lji59sodapv92xyenwbavr3d, 7mtych33i5kan7ngc4kj17x7t, 9lsqinppc86dsw2sitt58lwph, 4g6mmxgmihcoe8t2y3q3al1t6",4291901603,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4291901605,59,"38, 32, 24, 19, 4, 33, 8, 7, 9, 14, 10, 3, 13, 15, 16, 17, 22, 23",4291901609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4291901611,194,80qq4sxv5janjrt2in0qmgd79,4291901615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4291901613,197,11401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408863,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-05-20T06:03:28.987Z,2023-05-20T06:03:29Z,4291944297,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408867,2,32,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-05-20T06:03:28.987Z,2023-05-20T06:03:31Z,4291944313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408871,3,1,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,49.9,50.3,2023-05-20T06:03:29.122Z,2023-05-20T06:03:55Z,4291944325,56,Back,4291944331,212,16.9,4291944333,213,3.2,4291944335,279,S,4291944327,140,33.8,4291944329,141,48.7,,,,,,,1enckn6zmewa3nupsm95mgkb9,Mateus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408903,4,1,1,0,3,18c8ibslzapz40lfb8y5vygcs,1,29.3,44.5,2023-05-20T06:03:32.690Z,2023-05-20T06:07:28Z,4291944517,141,65.4,4291944515,140,71.6,4291944513,56,Center,4291944511,155,,4291944519,212,46.6,4291944521,213,0.3,4291944523,1,,,,,dnwwsdy1tfz0o7t0odssfstsl,S. Nakatani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408909,3,4,1,0,7,89wr6p2dkh7wjxtbwhtsruu02,1,30.2,36,2023-05-20T06:03:36.058Z,2023-05-20T06:07:39Z,4291944563,56,Back,4291944565,152,,4291944561,294,,4291944567,285,,4291944579,233,5,4291944559,13,,,,,,,,czkrfln85uvtb58cau4kz5m5m,H. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551408905,5,4,1,0,7,18c8ibslzapz40lfb8y5vygcs,0,69.8,64,2023-05-20T06:03:36.059Z,2023-05-20T06:07:37Z,4291944543,286,,4291944701,294,,4291944539,152,,4291944585,233,3,4291944535,13,,4291944537,56,Center,,,,,,,4o4vrnjw7c3g7j5aw5utyw1cl,K. Junker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551409105,4,1,1,1,23,89wr6p2dkh7wjxtbwhtsruu02,0,25,36,2023-05-20T06:04:52.376Z,2023-05-20T06:05:00Z,4291945967,141,6.4,4291945961,152,,4291945957,5,,4291945965,140,74.0,4291945963,56,Right,4291945969,212,55.2,4291945973,1,,4291945959,155,,6vuryavylbdnwabe4g5yvgzxl,K. Osako,4291945971,213,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551409113,6,61,1,1,29,18c8ibslzapz40lfb8y5vygcs,0,28.1,95.3,2023-05-20T06:04:58.110Z,2023-05-20T06:04:58Z,4291946009,56,Back,,,,,,,,,,,,,,,,,,,,,,8u07m36pydqgg68citu7pilii,R. Morishita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
