id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2518930883,1,34,16,0,0,ydlnn8jofdkseegh42az3fpt,1,0,0,2023-03-12T04:39:28.093Z,2023-03-12T06:27:01Z,4091506523,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4091506527,130,17,4091506521,30,"bpzxb7f450i503nsl4wj1xk2x, 8ng7ivcy8k8lxjpe4hpgl0lbd, 4ls5lzyiwwab2l2ou5an46ew9, 1wqc5xmo6zuuatorteg0zz78q, 2ati8vm9atqgr7pw57olfrr2t, t3mr37pe6ebkr18v3n9373kl, 3qfugmdyrphh09ktbhqqid3p, b2g7r00e5yiswe9y2qdodktt5, 5dvxh6xzjxetb0lx04uxztb6d, 93daey7ftdnw8cpsdzkmtamdx, bc3t2v3tt6phv43c5v89u5ckp, u4whgg6ojxpsaktaikdpl785, 8ml40qwf2tnqc72oy6zo68ic5, 1xnz11whvodane2pc9dj1jphx, e7eqz8gzhxdfdkiwbd8dkrz3e, 4lu1bc2hlxs0glhnc3nlek4k4, 76l36yrzqri48jtz5idaxjyzt, emw5plh1tvy8dc86odc9xmprd",4091506529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091506535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091506525,59,"1, 2, 16, 5, 3, 33, 6, 17, 9, 7, 11, 10, 14, 18, 20, 27, 29, 31",4091506533,197,10309,4091506531,194,2ati8vm9atqgr7pw57olfrr2t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518939989,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-03-12T05:05:37.944Z,2023-03-12T07:03:06Z,4091550333,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4091550349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091550341,194,51xel26o3uzvjdbcywcunmu3t,4091550345,197,11922,4091550331,30,"8i7aw5yhze1xiw2d2g5wax91w, 7xvwcat6dce9y9obgc8e2s1k9, 12lc6edtue24savqtmbkyu7rp, 4mnxvvl5unk1t8k2lkac3yor9, cqjhp31uh46s2jfedo48h86ol, 21urhapqadraths78se3rh0ph, cs1e2ou4h94utke3qdy14fiay, 6dtp194pewnyuhwkxcn2xpf8q, 51xel26o3uzvjdbcywcunmu3t, 412cup9h8jkgivwiroq8mpfjd, aa1f06qx3epbsge6s4ayd1e22, cvobb9nkum41ldfnfszy42xka, 22ad41qtjnxsdo3piosg6mn6d, 2gwfsjoj9diiuxr1kdga93mc5, 15b53vkcltdxtbt1zt4peswd1, bqrfxy265rurcjw7c5swwjl9m, 950svxoswapg0ws25uo7jy2nd, 4c03ukpq8hq69ykgcypq5jf8p",4091550339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091550337,130,2,4091550335,59,"29, 32, 2, 21, 55, 3, 14, 25, 40, 13, 15, 5, 8, 17, 22, 27, 31, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955569,2,32,1,0,0,ydlnn8jofdkseegh42az3fpt,1,0,0,2023-03-12T06:03:08.340Z,2023-03-12T06:03:15Z,4091625303,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955587,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-03-12T06:03:08.340Z,2023-03-16T15:18:06Z,4091625349,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955623,3,1,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,50.4,49.9,2023-03-12T06:03:08.440Z,2023-03-12T06:04:23Z,4091625459,212,16.9,4091625457,141,50.0,4091625463,279,S,4091625455,140,34.3,4091625453,56,Back,4091625461,213,3.1,,,,,,,412cup9h8jkgivwiroq8mpfjd,K. Chinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955625,4,1,1,0,2,9s2g5k3dlmfii452t8edaeozh,0,34.3,50,2023-03-12T06:03:10.547Z,2023-03-12T06:04:49Z,4091625471,140,70.2,4091625479,1,,4091625477,213,0.7,4091625475,212,51.4,4091625467,157,,4091625469,56,Left,4091625473,141,100.0,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955657,3,5,1,0,6,ydlnn8jofdkseegh42az3fpt,1,32.2,-1.2,2023-03-12T06:03:14.838Z,2023-03-12T06:04:53Z,4091625569,347,,4091625567,56,Back,4091625585,233,5,,,,,,,,,,,,,,,,5dvxh6xzjxetb0lx04uxztb6d,Lukian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955629,5,5,1,0,6,9s2g5k3dlmfii452t8edaeozh,0,67.8,101.2,2023-03-12T06:03:14.838Z,2023-03-12T06:04:51Z,4091625487,347,,4091625485,56,Left,4091625595,233,3,,,,,,,,,,,,,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955671,4,1,1,0,15,ydlnn8jofdkseegh42az3fpt,0,34.5,0,2023-03-12T06:03:24.212Z,2023-03-12T06:03:25Z,4091625635,1,,4091625629,141,6.5,4091625627,140,62.6,4091625623,107,,4091625631,212,29.9,4091625633,213,0.2,4091625625,56,Right,,,,8ng7ivcy8k8lxjpe4hpgl0lbd,M. Yuzawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955661,6,49,1,0,15,9s2g5k3dlmfii452t8edaeozh,1,43,74.1,2023-03-12T06:03:24.331Z,2023-03-12T06:03:24Z,,,,,,,,,,,,,,,,,,,,,,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
