id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2518935133,1,34,16,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-03-12T04:53:09.585Z,2023-03-12T05:57:29Z,4091529121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4091529131,197,5038,4091529127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091529129,194,cm1x3wpag38ievovx1azsp9lh,4091529125,130,4,4091529123,59,"27, 2, 49, 10, 4, 44, 37, 26, 9, 39, 33, 3, 5, 15, 22, 35, 41, 48",4091529133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091529119,30,"eu0wama1jzd9er063es4p3b9x, 6zhe1uw4hag6m8sqmcy7zw8kq, dqdflrd7ox6ord50i2qwu0416, 80q72r0bt6k15fgvbfvs3llud, 406wrekzsvvqqo9jgv2lk1d5, cxmuf2ztbfbfw5p2fmr7uzbvt, 8k94yjnb64nf994hbmpaiieol, 49pimptme99yiya9m9idpa1d6, cm1x3wpag38ievovx1azsp9lh, 1zckxb4ugqeuc50tggo5cohyh, anzbyfw36kbait6hvlzornuok, 6w26g83j8eztacwrfa4ilvh05, 1vodims2kc52x1ew6acbj0wr9, 3o1ca5xdl2d20r1cwx3r548gl, elwh2hvzlbju52obpqmh39vxl, 2otou563dkse1ojis549sw1rd, cam8s80ouxcw7900f0qiwoacq, 8q4hv1r8dh6f5xyhmotbu9wd0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518936519,1,34,16,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-03-12T04:57:22.940Z,2023-03-12T05:57:09Z,4091535871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4091535877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091535879,194,9gqymee6r8xdj6jbvcc6mahg5,4091535883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091535875,130,8,4091535873,59,"1, 3, 42, 25, 2, 22, 30, 4, 18, 16, 31, 7, 10, 15, 20, 21, 26, 27",4091535869,30,"a1upg2vdzbgl4y7tr2grer3kl, br87k809f9zu9av8cwkwtkhgq, clp5l55cry7s1afopdybbedey, 9gqymee6r8xdj6jbvcc6mahg5, el9hmsmc1zz7yie7dedfaac8a, 19pcq7pd8fq57z1tgec16o79x, 4hpqusnkgyghf16g9pbclkve1, 19m4x5k36kaujvze82qp1ju8l, dgex06nxjy9fdvc12o8keg99l, d8f4eo6asksimz2kqs58x6bjd, bv59fhjhp11derlzbyro5mkgk, 9zr0kq2pw4eua1tqo3vsvd9wq, 2o6pujv6wvjonzi16w48nf8q1, 8mksoz3513wprt2hhu8c9vo45, 31xdzeykcgfe0vyel250sd0q1, a8adq7dy6i0icdu0j2b6jm2g9, 8bxd61gpgwi9cat8awx4h0n4k, 8lfgk7eqdptu5o53n656vxck5",4091535881,197,11959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955863,2,32,1,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-03-12T06:04:01.704Z,2023-03-27T06:29:38Z,4091626441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955857,2,32,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-03-12T06:04:01.704Z,2023-03-12T06:04:01Z,4091626421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955875,3,1,1,0,1,ctm9as17rs95yhuz7qf53wfke,1,50.1,49.9,2023-03-12T06:04:02.804Z,2023-03-16T15:21:06Z,4091626489,212,7.3,4091626487,141,53.0,4091626491,213,2.9,4091626485,140,43.4,4091626493,279,S,4091626483,56,Back,,,,,,,d8f4eo6asksimz2kqs58x6bjd,T. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955887,4,1,1,0,2,ctm9as17rs95yhuz7qf53wfke,1,44.3,52.1,2023-03-12T06:04:04.116Z,2023-03-12T06:04:07Z,4091626551,212,24.4,4091626545,56,Back,4091626553,213,4.8,4091626547,140,47.3,4091626549,141,16.5,,,,,,,,,,9gqymee6r8xdj6jbvcc6mahg5,H. Mita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955893,5,1,1,0,5,ctm9as17rs95yhuz7qf53wfke,0,45.6,18.6,2023-03-12T06:04:07.204Z,2023-03-12T06:04:08Z,4091626603,140,73.5,4091626611,1,,4091626605,141,52.5,4091626601,56,Center,4091626607,212,37.3,4091626599,155,,4091626609,213,0.7,,,,br87k809f9zu9av8cwkwtkhgq,T. Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955899,3,1,1,0,6,e90fnsgtnamze3yssxpg392eb,0,28.8,43.1,2023-03-12T06:04:08.442Z,2023-03-16T15:56:40Z,4091626625,56,Back,4091626623,3,,4091626633,213,6.1,4091626631,212,9.8,4091626629,141,40.4,4091626627,140,38.0,,,,,,,406wrekzsvvqqo9jgv2lk1d5,Y. Kimoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955927,6,1,1,0,7,ctm9as17rs95yhuz7qf53wfke,1,63.2,62.7,2023-03-12T06:04:08.980Z,2023-03-16T15:56:59Z,4091626759,56,Center,4091626765,141,70.6,4091626769,213,0.7,4091626767,212,8.8,4091626761,140,69.8,,,,,,,,,,9gqymee6r8xdj6jbvcc6mahg5,H. Mita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955949,7,1,1,0,9,ctm9as17rs95yhuz7qf53wfke,0,69.8,70.5,2023-03-12T06:04:11.409Z,2023-03-16T15:57:05Z,4091626857,213,5.1,4091626847,56,Center,4091626853,141,42.7,4091626845,155,,4091626851,140,77.7,4091626855,212,20.6,,,,,,,bv59fhjhp11derlzbyro5mkgk,K. Sakamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
