id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2521265901,1,34,16,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-03-18T05:04:03.361Z,2023-03-18T06:00:09Z,4103885311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4103885309,130,4,4103885315,197,5066,4103885317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103885313,194,bnejmblsp0svuw4x3ngkgwonp,4103885307,59,"1, 3, 24, 18, 5, 34, 47, 6, 9, 28, 14, 2, 8, 13, 23, 37, 48, 99",4103885303,30,"bnejmblsp0svuw4x3ngkgwonp, 4xg5pywcbv3pho0idx326s7e2, 76x9dtsoan0d48m4h6gjr8bca, ejiqb92493nx7l8wifxbw5hp1, 8d2l4zwaz145adziclzc764t1, 5426us5htztnint9qxlhfugkq, ewm5o6wx18ujlzhyai425ak15, 3erz4yrlw2m15mxxocwq31g16, cts4m629mfz3knbeyri4021n9, 8sjwzm5s22rk4wxhbpx099jx0, 3qx2f9tqr7qn9wvs5dt4b5nqi, 23n7wb0am537w2rutg074gpg5, 2kcise3j2ab8hq0n2vgf391wp, 7yt16wh1vrezxyfbvtrpn78mi, i3mv8ja69kgrfm3leprosfe1, co2jr63m3drr3y0ww8ytfexw4, crs9cbmof39x40h175yi7naol, 2mlhzuv74jc84rckx21ctofd",4103885305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521268159,1,34,16,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-03-18T05:10:28.287Z,2023-03-18T06:21:33Z,4103897141,197,12128,4103897139,194,8978k9hzej7ocv8ng09i1zcut,4103897129,30,"8978k9hzej7ocv8ng09i1zcut, 7de6u27l0rm2y8aigjr2i0ru, f06bxfhvobzkepanw3nm1vzzd, 51ny01vwhnzkkd50iy4pfyor9, a60hpbc5lfxj5cj82iadif622, 8cmqekmxeybrc8c9ml7rwdai2, 1bjh7t56w2jg6berm300782c5, 61mnri2ox1dao9jdo2ye42i8l, 9wan49fvimh705r3jjfrlhuc5, 70pwpkwjgkp07b4m4jdz1l0fe, ez4fqumbyew4fsvisf0ziml4a, 5s151hcgpbhtuuarwfchd47ze, 2jgby6e91uem5e2dd1b11psoa, 1av7m3uyhcvjn8jhsegdqypqt, 28wgdmao7y8qbj30feniqnj3e, 2xfo511b4sbt16xpwca2w3uok, dbx2uc9zyw88drq5w80smpgb9, bj3ve8inko999nctm66s76acp",4103897143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103897131,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4103897135,130,18,4103897137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4103897133,59,"25, 9, 4, 5, 50, 2, 10, 27, 99, 19, 18, 3, 6, 22, 32, 45, 48, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281493,2,32,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-03-18T06:03:58.375Z,2023-03-18T06:04:01Z,4103963453,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281491,2,32,1,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-03-18T06:03:58.375Z,2023-03-23T12:47:25Z,4103963451,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281499,3,1,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,50,49.3,2023-03-18T06:03:58.475Z,2023-03-18T06:04:52Z,4103963479,141,45.0,4103963481,212,15.5,4103963485,279,S,4103963477,140,35.5,4103963475,56,Back,4103963483,213,3.3,,,,,,,61mnri2ox1dao9jdo2ye42i8l,T. Arano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281525,4,1,1,0,4,1f3ehp8p9yi8reamghry4p76t,1,31.2,40.1,2023-03-18T06:04:02.669Z,2023-03-18T06:04:06Z,4103963571,140,71.0,4103963573,141,6.5,4103963577,213,5.8,4103963569,56,Right,4103963575,212,47.6,4103963579,1,,4103963567,155,,,,,a60hpbc5lfxj5cj82iadif622,D. Okamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281529,5,44,1,0,6,1f3ehp8p9yi8reamghry4p76t,1,70,5.6,2023-03-18T06:04:05.107Z,2023-03-18T06:04:06Z,4103963587,56,Right,4103963589,286,,4103963603,233,3,,,,,,,,,,,,,,,,7de6u27l0rm2y8aigjr2i0ru,T. Kaneko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281519,3,44,1,0,6,92br3632xgmc25jvr0jesfvl6,0,30,94.4,2023-03-18T06:04:05.108Z,2023-03-18T06:32:14Z,4103963557,285,,4103963555,56,Back,4103963625,233,5,,,,,,,,,,,,,,,,76x9dtsoan0d48m4h6gjr8bca,K. Kurokawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281557,6,1,1,0,7,1f3ehp8p9yi8reamghry4p76t,1,71.6,6.7,2023-03-18T06:04:06.092Z,2023-03-18T06:06:10Z,4103963675,141,3.7,4103963669,3,,4103963673,140,96.4,4103963677,212,26.1,4103963671,56,Right,4103963681,213,6.2,,,,,,,7de6u27l0rm2y8aigjr2i0ru,T. Kaneko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281563,7,1,1,0,10,1f3ehp8p9yi8reamghry4p76t,0,98.1,4.1,2023-03-18T06:04:09.324Z,2023-03-23T12:48:48Z,4103963705,212,1.6,4103963707,213,1.6,4103963699,56,Right,4103963703,141,6.5,4117341045,224,,4117341047,20,,4103963717,286,,4103963695,2,,70pwpkwjgkp07b4m4jdz1l0fe,T. Ogashiwa,4103963713,233,4,4103963697,155,4103963701,140,98.1,4103963711,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
