id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/17/value,assist
2533361125,1,34,16,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-04-15T05:10:16.193Z,2023-04-15T05:58:56Z,4188933201,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4188933209,194,3ihaypy0xs7cpw7ij61qislat,4188933199,30,"7lxjfpbed6rmm2qmzs6r1c2j9, 7izhszqmb1a9z5na5e0utnc6i, eo5kfco94g7az5x9dn2mtr78q, 3ihaypy0xs7cpw7ij61qislat, 5fglqrb2jo1ideuag4pjit9sl, 6gzt9s90prbrhsw4t72vb4jx1, 1pcyox1b50pxufww0v07c5boq, b5nc0tgc33wklhsekw3jklylm, da5nt2kexuabduzu4qqxf09ud, do6zvquhc4udqtp900l1cid0q, a1uzi9vgpfy7qo1eay243dsk5, cqclwglpzg5flou0r0x3lm21h, 6fzsyf26kgnfbtmuuqf5cby09, a2ggooyqi2s1berhxtm75j5qt, a1ooclhmf2jn4puw9vjvg1gb9, 2mfunwzltzdnmzlcjyvx752i, 9lofkwlhnkhsvb1em98ae52lm, 8wnmymj8du9xj1jhp90qs366s",4188933213,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188933203,59,"1, 15, 26, 19, 28, 5, 21, 3, 30, 8, 14, 4, 6, 10, 11, 12, 22, 25",4188933205,130,8,4188933211,197,4167,4188933207,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533361505,1,34,16,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-04-15T05:12:05.739Z,2023-04-15T06:00:34Z,4188935729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188935719,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4188935721,59,"25, 9, 4, 6, 50, 2, 5, 27, 13, 18, 11, 3, 10, 14, 32, 45, 48, 49",4188935717,30,"8978k9hzej7ocv8ng09i1zcut, 7de6u27l0rm2y8aigjr2i0ru, f06bxfhvobzkepanw3nm1vzzd, 2jgby6e91uem5e2dd1b11psoa, a60hpbc5lfxj5cj82iadif622, 8cmqekmxeybrc8c9ml7rwdai2, 51ny01vwhnzkkd50iy4pfyor9, 61mnri2ox1dao9jdo2ye42i8l, 6jdifjaop9haqylognzg3azf9, ez4fqumbyew4fsvisf0ziml4a, 9bvp90vtnqsbq3muka37rm40l, 5s151hcgpbhtuuarwfchd47ze, 1bjh7t56w2jg6berm300782c5, du14luqzm3al3uw51qs2bzqol, 28wgdmao7y8qbj30feniqnj3e, 2xfo511b4sbt16xpwca2w3uok, dbx2uc9zyw88drq5w80smpgb9, bj3ve8inko999nctm66s76acp",4188935727,194,61mnri2ox1dao9jdo2ye42i8l,4188935723,130,17,4188935865,197,5045,4188935725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373027,2,32,1,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-04-15T06:03:40.375Z,2023-04-15T06:03:40Z,4189001069,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373033,2,32,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-04-15T06:03:40.375Z,2023-04-15T06:03:42Z,4189001091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373035,3,1,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,50,50,2023-04-15T06:03:40.475Z,2023-04-15T06:04:02Z,4189001111,279,S,4189001107,212,18.3,4189001109,213,3.3,4189001103,140,32.8,4189001105,141,45.4,4189001101,56,Back,,,,,,,61mnri2ox1dao9jdo2ye42i8l,T. Arano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373061,4,1,1,0,4,1f3ehp8p9yi8reamghry4p76t,0,33,45.8,2023-04-15T06:03:45.088Z,2023-04-15T06:03:48Z,4189001215,1,,4189001213,213,5.6,4189001211,212,43.6,4189001207,140,65.9,4189001209,141,6.8,4189001203,155,,4189001205,56,Right,,,,a60hpbc5lfxj5cj82iadif622,D. Okamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373075,3,44,1,0,7,3vfso415vj7uitnunviuzdyg3,1,30.4,93.6,2023-04-15T06:03:48.111Z,2023-04-15T06:03:50Z,4189001255,56,Back,4189001263,233,5,4189001257,285,,,,,,,,,,,,,,,,,eo5kfco94g7az5x9dn2mtr78q,T. Ogiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373065,5,44,1,0,7,1f3ehp8p9yi8reamghry4p76t,0,69.6,6.4,2023-04-15T06:03:48.112Z,2023-04-15T06:03:50Z,4189001269,233,3,4189001233,56,Right,4189001235,286,,,,,,,,,,,,,,,,,7de6u27l0rm2y8aigjr2i0ru,T. Kaneko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373087,4,1,1,0,8,3vfso415vj7uitnunviuzdyg3,1,25.7,93.3,2023-04-15T06:03:48.428Z,2023-04-15T06:09:18Z,4189001297,213,6.2,4189001293,141,92.4,4189001295,212,18.3,4189001289,56,Back,4189001287,3,,4189001291,140,43.1,,,,,,,eo5kfco94g7az5x9dn2mtr78q,T. Ogiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373091,5,44,1,0,9,3vfso415vj7uitnunviuzdyg3,1,44.6,93,2023-04-15T06:03:50.350Z,2023-04-15T06:03:51Z,4189001315,233,6,4189001307,56,Back,4189001309,285,,,,,,,,,,,,,,,,,a1uzi9vgpfy7qo1eay243dsk5,T. Sekine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
