id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2551422225,1,34,16,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-05-20T07:02:46.816Z,2023-05-20T07:02:47Z,4292013917,130,8,4292013919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4292013915,59,"1, 2, 31, 8, 5, 35, 14, 6, 9, 13, 33, 3, 7, 15, 16, 17, 20, 21",4292013925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292013913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4292013923,197,14560,4292013921,194,9uuzy744b3q8i7sbk7hjjntn9,4292013911,30,"b67vtycwcw93v5z6zidzsej8p, go72kkg33k57tcxebbg9v7u2, 9uuzy744b3q8i7sbk7hjjntn9, 96dbf20tzfz2751lensfhchk9, 7f7rlxtcm93i5p08kci7rzjkl, a0h7bps286z0f3sgnbkvpehg5, 536qjh4gcmpo5q68ti87e60kq, a24vimk2li0nbswdipoih6gkq, 3tiriwy3k68lw0zi0fj5dx49h, 3n8lo5wm0i7sh0h92abx87hm1, 6lc4nnqxwzi39yz3cd6b7p13p, 73si74r5khd2xih6w3uc72rxl, 37fgppizaampk28232bzeqwru, 59e2dosv29zg2c146u5v9k02y, 5r0vvr8ch9wrim11994baqln8, d00ghqkaff818dnyuyhcdcve, aieev8jr470iq7ft2ob005wph, 5x1kq3909or0h3gbe2uu2cp91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422683,1,34,16,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-20T07:04:18.686Z,2023-05-20T08:03:02Z,4292016239,194,b68uhpy97bj96uyshxaqdsr9,4292016241,197,5061,4292016243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292016237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4292016235,130,8,4292016233,59,"71, 42, 23, 5, 30, 2, 44, 19, 10, 7, 29, 9, 14, 18, 20, 27, 35, 41",4292016231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4292016229,30,"9r2zywyi1254rds8d2h4ne0ru, 9b13bzxb1ihm44s5wx421v4oa, eho6q5j8oz6hw3tffv8p0erdg, egr1qg67z829bjgvwi8508yy, cvid25qdznmh1j1lyto6dp695, b2ud6d4vrv31bb5l00jzcogoa, 6ll3swg4tj5f8mw4k996adz2t, 28yslyo2m2bsim5y5s7fsr0t1, b68uhpy97bj96uyshxaqdsr9, 6a51lu3ps4xpzaa1okrpf26ll, ddf07flibb0j2s97fwmnuau3t, ei6bl9rnpy19fhgc649rz6rqh, 5ap11m53rn4jai32lx8ejjzdh, ey5f9ve8nitrasavs98v01coa, 2d2pbbx3udolyi5hie3lot0ph, 6ety665au3tex2kv0cslxxgd0, 5pgua1i009fqvqfshy4ncgnv9, 6pjif1rwpdftfj1dfee9l5xm2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551445973,2,43,1,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-05-20T08:05:26Z,2023-05-20T08:05:37Z,4292127029,144,32,4292126781,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551445971,2,43,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-20T08:05:26.112Z,2023-05-20T08:05:34Z,4292126775,127,Left to Right,4292127003,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551446093,3,32,1,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-05-20T08:05:46.250Z,2023-05-20T08:05:46Z,4292127293,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551446097,3,32,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-20T08:05:46.250Z,2023-05-20T08:05:48Z,4292127297,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551446127,4,1,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,50,50,2023-05-20T08:05:46.350Z,2023-05-20T08:06:42Z,4292127435,279,S,4292127433,213,3.2,4292127427,140,25.4,4292127431,212,25.9,4292127429,141,48.1,4292127425,56,Back,,,,,,,6a51lu3ps4xpzaa1okrpf26ll,K. Tezuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551446133,5,1,1,0,6,27o8mdqno6jslcjb709sxjwyy,1,25.4,48.1,2023-05-20T08:05:52.468Z,2023-05-20T08:05:59Z,4292127479,213,5.7,4292127481,1,,4292127477,212,54.2,4292127475,141,5.8,4292127471,56,Right,4292127473,140,69.2,4292127609,155,,,,,9r2zywyi1254rds8d2h4ne0ru,Park Il-Gyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551446135,6,1,1,0,8,27o8mdqno6jslcjb709sxjwyy,0,69.2,5.8,2023-05-20T08:05:54.508Z,2023-05-20T08:06:53Z,4292127495,212,9.2,4292127489,56,Right,4292127493,141,0.0,4292127485,3,,4292127491,140,76.8,4292127497,213,5.8,4292127487,168,,,,,b68uhpy97bj96uyshxaqdsr9,Y. Ono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551446141,4,5,1,0,8,12tyw9yomy9n5cjd5po2ajx1q,1,22.4,101.2,2023-05-20T08:05:55.093Z,2023-05-20T08:27:46Z,4292127517,347,,4292127533,233,7,4292127515,56,Back,,,,,,,,,,,,,,,,3tiriwy3k68lw0zi0fj5dx49h,K. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
