id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2542830807,1,34,16,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-05-03T05:06:35.672Z,2023-05-03T06:03:39Z,4246210543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246210533,59,"1, 17, 34, 13, 4, 2, 15, 6, 77, 10, 18, 3, 5, 7, 9, 16, 33, 42",4246210541,197,5030,4246210539,194,a6mikq97x6ldarn4j7i16gatx,4246210531,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4246210535,130,17,4246210537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4246210529,30,"jywyirljzj827gq6pkgb34k5, 8u07m36pydqgg68citu7pilii, dg1wh53t8qyb8l2dkeibtnkkp, ecdovu3igm2rwrf6mwannhwmi, dnwwsdy1tfz0o7t0odssfstsl, 4q09fnw7soqo8q1u50wfde76d, a6mikq97x6ldarn4j7i16gatx, 5c3w3zdu6bojrfd8gt8u35o7p, 4o4vrnjw7c3g7j5aw5utyw1cl, 1enckn6zmewa3nupsm95mgkb9, dnvqxvpw9c21y0mb2wdxyua51, 96c2ojt4sgo4gfxs7vt1qfxed, b9q7re294ul5aq3jxch5oomol, an0ry25y0g1r231rva3xbgs15, 3g0uy8yhevhod17kgrtho63th, iu0xfgqmdqhn8vpgbqwpbnit, cfzctw95ysbr2hdzz1q4uftre, 3a9pz8paxic5ggg7qfjmy8xlg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542831697,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-05-03T05:10:55.529Z,2023-05-03T05:56:56Z,4246215463,194,83wyz3tyibxx8t5bnvtedpjo5,4246215459,130,4,4246215457,59,"1, 24, 19, 16, 23, 3, 5, 18, 10, 11, 14, 2, 15, 22, 25, 27, 28, 29",4246215455,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4246215461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4246215453,30,"71nmf5ieohq83rj1ah9j94a21, bntvupdmnof1hzo1tfa00yfv9, 1ma8gce4os15aa6p7u24dlj3d, c1bmg5i86q1qye115yyz4qvah, f2mpyljll9npb71owp1tlzy7d, 8ms57twka5pm6och4fndo2r8q, 83wyz3tyibxx8t5bnvtedpjo5, 9z3v28ssd5e50tt745583obth, 22imd9on624739u8fym5n640l, 3bl0mhzv53z17qkbezviavg0l, 196dypy60x08uuc7cltabdcr9, 8pws7hieamm0zugu456ibssiy, 666fx7wetbxy3ri2hlfdn8ph, 2fpbnagisq2zqfordsc9fkjfu, 3eyq5jpfdsk0zp1hhmono2wgl, go7p2ijq9w10e8k9q4wz6c5w, 75oypu20gsn9naz102zs9239w, drtfhsho2kjit9gfq6u9eujmx",4246215465,197,11145,4246215467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542842809,2,32,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-05-03T06:03:25.765Z,2023-05-09T12:48:31Z,4246269595,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542842813,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-05-03T06:03:25.765Z,2023-05-03T06:03:26Z,4246269605,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542842827,3,1,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,49.7,50.1,2023-05-03T06:03:25.865Z,2023-05-03T06:03:28Z,4246269663,141,53.3,4246269659,56,Back,4246269669,279,S,4246269661,140,23.0,4246269665,212,28.1,4246269667,213,3.1,,,,,,,dnvqxvpw9c21y0mb2wdxyua51,K. Nagai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542842841,4,1,1,0,2,18c8ibslzapz40lfb8y5vygcs,0,26.4,50.9,2023-05-03T06:03:28.601Z,2023-05-03T06:03:33Z,4246269711,155,,4246269719,212,65.5,4246269717,141,0.0,4246269721,213,5.7,4246269715,140,78.9,4246269713,56,Right,4246269723,1,,,,,dnwwsdy1tfz0o7t0odssfstsl,S. Nakatani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542842845,3,5,1,0,7,bbt5nqwufsne7r0zfa6pvpmfa,1,25.6,101.2,2023-05-03T06:03:33.135Z,2023-05-03T06:15:14Z,4246269731,347,,4246269733,233,5,4246269729,56,Back,,,,,,,,,,,,,,,,71nmf5ieohq83rj1ah9j94a21,D. Maekawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542842843,5,5,1,0,7,18c8ibslzapz40lfb8y5vygcs,0,74.4,-1.2,2023-05-03T06:03:33.135Z,2023-05-03T06:03:34Z,4246269737,233,3,4246269725,56,Right,4246269727,347,,,,,,,,,,,,,,,,,dnwwsdy1tfz0o7t0odssfstsl,S. Nakatani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542842873,4,1,1,0,14,bbt5nqwufsne7r0zfa6pvpmfa,0,33.2,100,2023-05-03T06:03:40.530Z,2023-05-03T06:03:43Z,4246269843,141,88.7,4246269845,212,28.1,4246269847,213,6.0,4246269837,107,,4246269839,56,Left,4246269841,140,58.6,4246269849,1,,,,,1ma8gce4os15aa6p7u24dlj3d,R. Hatsuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542842883,6,1,1,0,16,18c8ibslzapz40lfb8y5vygcs,1,28.6,8.8,2023-05-03T06:03:42.627Z,2023-05-09T12:52:58Z,4246269905,212,12.2,4246269907,213,0.6,4246269901,140,38.5,4246269897,3,,4246269899,56,Back,4246269903,141,18.3,,,,,,,4q09fnw7soqo8q1u50wfde76d,Y. Nogami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
