id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2542833099,1,34,16,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-05-03T05:18:23.819Z,2023-05-03T06:01:09Z,4246223179,59,"1, 28, 2, 30, 4, 5, 16, 8, 11, 20, 7, 6, 10, 18, 21, 25, 33, 41",4246223187,197,15325,4246223189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246223177,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4246223175,30,"2l3mrt15ldruy0y7b5n5aiz8p, 11xe4cn95zc9a5s4gtfd6kcgk, gdz8r5nsoq3gt8ujug4cv0mh, enfnckq0atgnq0ky2xokmzizt, 4d97t25ita5v6jzni0vpnixg5, 6dg5uo3zb4fti2k3i8qe7urbp, 3v695dpbm6bdgifkyhlie6kbu, crytuzcclp9vswqsnwwkvubit, 8dxp5caa7cl7yqamst9tpxej9, 8jh2hi287wjaldwq5e5185wq1, 7q6m9kh79u477neouw0z7xt5h, acr0ml1scc6iyvg8yzk8s9rs9, b3mo6ycp38zd2ecbzxoc8en6d, 585zyri5hq2bu4j8kmjhnxi39, 1v26me41hp0pg52oflxiaf45x, 47ln2heh3o1r4gkbvhp7vnqi1, dmuwwelctq9hiy12xwwguiwdm, 64kh102i5g21rdu01h74pjjyt",4246223185,194,crytuzcclp9vswqsnwwkvubit,4246223183,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4246223181,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542833125,1,34,16,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-03T05:18:29.227Z,2023-05-03T05:18:29Z,4246223337,59,"71, 42, 23, 5, 2, 30, 24, 19, 10, 8, 29, 7, 9, 18, 34, 35, 41, 44",4246223347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246223339,130,8,4246223329,30,"9r2zywyi1254rds8d2h4ne0ru, 9b13bzxb1ihm44s5wx421v4oa, eho6q5j8oz6hw3tffv8p0erdg, egr1qg67z829bjgvwi8508yy, b2ud6d4vrv31bb5l00jzcogoa, cvid25qdznmh1j1lyto6dp695, cpr3syuxxldolgb1a5exxvug9, 28yslyo2m2bsim5y5s7fsr0t1, b68uhpy97bj96uyshxaqdsr9, 3glv4ddtgmm6ghdpqmcgr1j6y, ddf07flibb0j2s97fwmnuau3t, 6a51lu3ps4xpzaa1okrpf26ll, ei6bl9rnpy19fhgc649rz6rqh, ey5f9ve8nitrasavs98v01coa, 5wj0qbjfre960fkxxc1bo6j8, 5pgua1i009fqvqfshy4ncgnv9, 6pjif1rwpdftfj1dfee9l5xm2, 6ll3swg4tj5f8mw4k996adz2t",4246223345,197,5061,4246223343,194,b68uhpy97bj96uyshxaqdsr9,4246223341,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4246223333,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843037,2,32,1,0,0,2cwez3hk2i75ope3qyu54cqh1,1,0,0,2023-05-03T06:04:16.931Z,2023-05-03T06:04:19Z,4246270499,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843033,2,32,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-05-03T06:04:16.931Z,2023-05-09T14:58:08Z,4246270491,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843041,3,1,1,0,0,2cwez3hk2i75ope3qyu54cqh1,1,50,50.3,2023-05-03T06:04:17.304Z,2023-05-03T06:09:02Z,4246270515,213,2.9,4246270511,141,55.0,4246270513,212,15.5,4246270509,140,35.6,4246270507,56,Back,4246270517,279,S,,,,,,,3v695dpbm6bdgifkyhlie6kbu,J. Fujita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843053,4,1,1,0,1,2cwez3hk2i75ope3qyu54cqh1,1,33.4,54.6,2023-05-03T06:04:18.889Z,2023-05-03T06:04:20Z,4246270589,140,34.5,4246270597,212,7.4,4246270593,141,43.9,4246270601,213,4.9,4246270585,56,Back,,,,,,,,,,4d97t25ita5v6jzni0vpnixg5,S. Hatanaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843075,5,1,1,0,3,2cwez3hk2i75ope3qyu54cqh1,1,34.5,43.9,2023-05-03T06:04:20.824Z,2023-05-03T06:04:26Z,4246270697,155,,4246270707,213,1.0,4246270699,56,Left,4246270709,1,,4246270705,212,38.9,4246270701,140,55.2,4246270703,141,91.4,,,,6dg5uo3zb4fti2k3i8qe7urbp,Eduardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843101,6,1,1,0,9,2cwez3hk2i75ope3qyu54cqh1,1,47.7,66.6,2023-05-03T06:04:26.264Z,2023-05-09T15:12:20Z,4246270807,140,59.0,4246270809,141,19.6,4246270813,213,5.1,4246270805,56,Right,4246270811,212,34.1,4246270815,1,,,,,,,,7q6m9kh79u477neouw0z7xt5h,Élber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843107,7,1,1,0,11,2cwez3hk2i75ope3qyu54cqh1,0,60.4,12,2023-05-03T06:04:28.921Z,2023-05-03T06:04:32Z,4246270867,212,29.8,4246270865,141,0.0,4246270863,140,87.5,4246270861,56,Right,4246270869,213,6.0,,,,,,,,,,11xe4cn95zc9a5s4gtfd6kcgk,R. Yamane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843155,3,5,1,0,14,27o8mdqno6jslcjb709sxjwyy,1,13.8,101.2,2023-05-03T06:04:31.920Z,2023-05-03T06:04:42Z,4246271117,233,8,4246271091,347,,4246271089,56,Back,,,,,,,,,,,,,,,,eho6q5j8oz6hw3tffv8p0erdg,T. Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843109,8,5,1,0,14,2cwez3hk2i75ope3qyu54cqh1,0,86.2,-1.2,2023-05-03T06:04:31.920Z,2023-05-03T08:13:52Z,4246271125,233,3,4246270871,56,Right,4246270873,347,,,,,,,,,,,,,,,,,11xe4cn95zc9a5s4gtfd6kcgk,R. Yamane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843167,4,1,1,0,24,27o8mdqno6jslcjb709sxjwyy,0,15,100,2023-05-03T06:04:41.598Z,2023-05-03T06:04:44Z,4246271149,1,,4246271137,107,,4246271147,213,6.1,4246271139,56,Back,4246271141,140,36.6,4246271143,141,96.3,4246271145,212,23.0,,,,eho6q5j8oz6hw3tffv8p0erdg,T. Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843181,9,1,1,0,27,2cwez3hk2i75ope3qyu54cqh1,1,59.4,2.9,2023-05-03T06:04:44.506Z,2023-05-03T06:04:47Z,4246271195,3,,4246271205,213,0.1,4246271201,141,4.9,4246271203,212,14.0,4246271199,140,72.7,4246271197,56,Right,,,,,,,3v695dpbm6bdgifkyhlie6kbu,J. Fujita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843183,10,44,1,0,28,2cwez3hk2i75ope3qyu54cqh1,1,74.4,3.8,2023-05-03T06:04:45.587Z,2023-05-03T06:04:47Z,4246271209,56,Right,4246271221,233,5,4246271211,286,,,,,,,,,,,,,,,,,8jh2hi287wjaldwq5e5185wq1,Yan Matheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843177,5,44,1,0,28,27o8mdqno6jslcjb709sxjwyy,0,25.6,96.2,2023-05-03T06:04:45.588Z,2023-05-03T06:04:48Z,4246271225,233,10,4246271185,285,,4246271183,56,Back,,,,,,,,,,,,,,,,eho6q5j8oz6hw3tffv8p0erdg,T. Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542843189,11,1,1,0,29,2cwez3hk2i75ope3qyu54cqh1,1,72.7,4.9,2023-05-03T06:04:46.529Z,2023-05-09T15:12:58Z,4246271249,141,2.3,4246271247,140,62.3,4264846533,156,,4246271245,56,Right,4246271243,3,,4246271253,213,3.3,4246271251,212,11.1,,,,8jh2hi287wjaldwq5e5185wq1,Yan Matheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
