id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2548473351,1,34,16,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-05-14T05:26:48.354Z,2023-05-14T07:04:44Z,4276361763,197,4167,4276361757,130,2,4276361765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276361759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276361751,30,"7lxjfpbed6rmm2qmzs6r1c2j9, 7izhszqmb1a9z5na5e0utnc6i, eo5kfco94g7az5x9dn2mtr78q, 3ihaypy0xs7cpw7ij61qislat, 5fglqrb2jo1ideuag4pjit9sl, 6gzt9s90prbrhsw4t72vb4jx1, a1uzi9vgpfy7qo1eay243dsk5, 8wnmymj8du9xj1jhp90qs366s, da5nt2kexuabduzu4qqxf09ud, 4pqi5vt820333t5zsj2refc2d, do6zvquhc4udqtp900l1cid0q, b5nc0tgc33wklhsekw3jklylm, cqclwglpzg5flou0r0x3lm21h, 2mfunwzltzdnmzlcjyvx752i, dxtg6w2dmsugobe3fj4sutmfp, 1pcyox1b50pxufww0v07c5boq, 1gixtkbjxf6qum1cf0uws994a, a1ooclhmf2jn4puw9vjvg1gb9",4276361753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4276361755,59,"1, 15, 26, 19, 28, 5, 14, 25, 30, 9, 8, 3, 4, 12, 17, 21, 66, 11",4276361761,194,3ihaypy0xs7cpw7ij61qislat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548475853,1,34,16,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-05-14T05:39:49.929Z,2023-05-14T07:04:58Z,4276369901,194,2shd4ptk7rfpalkpnrfodgded,4276369897,130,4,4276369891,30,"bnejmblsp0svuw4x3ngkgwonp, 4xg5pywcbv3pho0idx326s7e2, 76x9dtsoan0d48m4h6gjr8bca, 3erz4yrlw2m15mxxocwq31g16, 23n7wb0am537w2rutg074gpg5, 8bduzkapiw865xcl3xstzior9, i3mv8ja69kgrfm3leprosfe1, 2shd4ptk7rfpalkpnrfodgded, 4g3jv6nwzqmv6tow2stbtrt1x, 2kcise3j2ab8hq0n2vgf391wp, ewm5o6wx18ujlzhyai425ak15, 8d2l4zwaz145adziclzc764t1, cts4m629mfz3knbeyri4021n9, 7vo5101vnsyz90015firvjzdh, 7yt16wh1vrezxyfbvtrpn78mi, 8sjwzm5s22rk4wxhbpx099jx0, crs9cbmof39x40h175yi7naol, 2mlhzuv74jc84rckx21ctofd",4276369899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276369895,59,"1, 3, 24, 6, 2, 20, 23, 7, 11, 8, 47, 5, 9, 10, 13, 28, 48, 99",4276369893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4276369905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276369903,197,19125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548498167,2,32,1,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-05-14T07:04:09.535Z,2023-05-18T11:02:04Z,4276466005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548498165,2,32,1,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-05-14T07:04:09.535Z,2023-05-14T07:04:09Z,4276465995,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548498187,3,1,1,0,0,92br3632xgmc25jvr0jesfvl6,1,50.1,50,2023-05-14T07:04:09.635Z,2023-05-14T07:04:13Z,4276466097,141,42.1,4276466101,213,3.4,4276466099,212,20.1,4276466093,56,Back,4276466095,140,31.7,4276466103,279,S,,,,,,,2shd4ptk7rfpalkpnrfodgded,T. Usami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548498205,4,1,1,0,4,92br3632xgmc25jvr0jesfvl6,1,31.7,40,2023-05-14T07:04:13.725Z,2023-05-14T07:04:17Z,4276466187,155,,4276466199,1,,4276466191,140,69.1,4276466197,213,0.6,4276466193,141,82.6,4276466195,212,48.8,4276466189,56,Left,,,,23n7wb0am537w2rutg074gpg5,S. Fukuoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548498209,5,1,1,0,7,92br3632xgmc25jvr0jesfvl6,1,69.1,82.6,2023-05-14T07:04:17.340Z,2023-05-14T07:04:21Z,4276466253,212,8.5,4276466247,56,Left,4276466255,213,1.1,4276466245,3,,4276466249,140,73.0,4276466251,141,93.6,,,,,,,4g3jv6nwzqmv6tow2stbtrt1x,I. Jebali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548498217,6,1,1,0,11,92br3632xgmc25jvr0jesfvl6,1,69.9,96,2023-05-14T07:04:21.115Z,2023-05-14T07:04:25Z,4276466309,56,Back,4276466313,141,74.7,4276466315,212,30.1,4276466311,140,44.8,4276466317,213,3.6,,,,,,,,,,ewm5o6wx18ujlzhyai425ak15,Juan Alano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548498237,7,1,1,0,16,92br3632xgmc25jvr0jesfvl6,1,44,66.1,2023-05-14T07:04:25.547Z,2023-05-14T07:04:30Z,4276466397,212,35.3,4276466399,213,4.5,4276466391,56,Back,4276466395,141,14.9,4276466401,1,,4276466393,140,38.3,,,,,,,8bduzkapiw865xcl3xstzior9,Kwon Kyung-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548498253,8,1,1,0,21,92br3632xgmc25jvr0jesfvl6,0,38.3,14.9,2023-05-14T07:04:30.587Z,2023-05-14T07:04:34Z,4276466475,213,0.0,4276466477,1,,4276466473,212,66.0,4276466469,140,100.0,4276466471,141,15.0,4276466467,56,Right,4276466465,157,,,,,23n7wb0am537w2rutg074gpg5,S. Fukuoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
