id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2508895315,1,34,16,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-02-18T03:58:42.281Z,2023-02-18T04:59:30Z,4038477791,130,4,4038477795,194,cm1x3wpag38ievovx1azsp9lh,4038477797,197,5038,4038477799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4038477793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4038477785,30,"eu0wama1jzd9er063es4p3b9x, 6zhe1uw4hag6m8sqmcy7zw8kq, dqdflrd7ox6ord50i2qwu0416, 80q72r0bt6k15fgvbfvs3llud, 406wrekzsvvqqo9jgv2lk1d5, cxmuf2ztbfbfw5p2fmr7uzbvt, 8k94yjnb64nf994hbmpaiieol, 63245yg2ywq2p2s85w4vdokd0, cm1x3wpag38ievovx1azsp9lh, 1zckxb4ugqeuc50tggo5cohyh, 3o1ca5xdl2d20r1cwx3r548gl, 1vodims2kc52x1ew6acbj0wr9, 1t02yvbqtxoq0xlil3o88bgx6, 5tkfqt3adzkyb7rxjdni12vh1, elwh2hvzlbju52obpqmh39vxl, anzbyfw36kbait6hvlzornuok, 2otou563dkse1ojis549sw1rd, cam8s80ouxcw7900f0qiwoacq",4038477787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4038477789,59,"27, 2, 49, 10, 4, 44, 37, 7, 9, 39, 15, 5, 8, 11, 22, 33, 35, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508895971,1,34,16,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-02-18T04:07:50.531Z,2023-02-18T05:20:03Z,4038484453,30,"7lxjfpbed6rmm2qmzs6r1c2j9, 4seh91gn4cj2l3x7kg19duqxh, 7izhszqmb1a9z5na5e0utnc6i, 3ihaypy0xs7cpw7ij61qislat, 5fglqrb2jo1ideuag4pjit9sl, 6gzt9s90prbrhsw4t72vb4jx1, a2ggooyqi2s1berhxtm75j5qt, b5nc0tgc33wklhsekw3jklylm, 4pqi5vt820333t5zsj2refc2d, do6zvquhc4udqtp900l1cid0q, 1pcyox1b50pxufww0v07c5boq, 2mfunwzltzdnmzlcjyvx752i, 1oy2j3kd1p23pmpz4xs9xhdqt, a1uzi9vgpfy7qo1eay243dsk5, 9lofkwlhnkhsvb1em98ae52lm, hhdrwctaf13rayl2llykrlnu, da5nt2kexuabduzu4qqxf09ud, 1gixtkbjxf6qum1cf0uws994a",4038484459,130,2,4038484457,59,"1, 2, 15, 19, 28, 5, 10, 3, 9, 8, 21, 12, 13, 14, 22, 27, 30, 66",4038484455,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4038484461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4038484463,194,4seh91gn4cj2l3x7kg19duqxh,4038484467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4038484465,197,18338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902623,2,32,1,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-02-18T05:03:55.967Z,2023-02-18T05:03:56Z,4038522271,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902627,2,32,1,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-02-18T05:03:55.967Z,2023-02-21T20:13:40Z,4038522289,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902641,3,1,1,0,0,3vfso415vj7uitnunviuzdyg3,1,50.2,50.1,2023-02-18T05:03:56.067Z,2023-02-18T05:03:59Z,4038522371,140,34.1,4038522369,56,Back,4038522373,141,57.5,4038522379,279,S,4038522377,213,2.9,4038522375,212,17.6,,,,,,,4pqi5vt820333t5zsj2refc2d,B. Linssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902665,4,1,1,0,3,3vfso415vj7uitnunviuzdyg3,0,33,58.5,2023-02-18T05:03:59.517Z,2023-02-18T05:04:02Z,4038522483,212,60.2,4038522487,1,,4038522485,213,5.6,4038522481,141,5.5,4038522475,155,,4038522479,140,78.9,4038522477,56,Right,,,,6gzt9s90prbrhsw4t72vb4jx1,M. Høibråten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902675,3,1,1,0,7,e90fnsgtnamze3yssxpg392eb,0,21.4,83,2023-02-18T05:04:03.081Z,2023-02-18T05:04:05Z,4038522541,3,,4038522551,213,6.0,4038522545,140,40.5,4038522549,212,20.6,4038522547,141,75.9,4038522543,56,Back,,,,,,,dqdflrd7ox6ord50i2qwu0416,K. Bangnagande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902775,5,1,1,0,9,3vfso415vj7uitnunviuzdyg3,0,62.4,16.7,2023-02-18T05:04:05.628Z,2023-02-18T05:11:15Z,4038522979,56,Right,4038522977,155,,4038522981,140,78.4,4038522985,212,16.8,4038522987,213,6.3,4038522983,141,16.4,,,,,,,3ihaypy0xs7cpw7ij61qislat,K. Iwao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902741,4,1,1,0,11,e90fnsgtnamze3yssxpg392eb,1,25.9,71.5,2023-02-18T05:04:07.311Z,2023-02-21T20:16:29Z,4038522815,141,85.6,4038522819,213,0.5,4038522813,140,42.1,4038522817,212,19.5,4038522809,3,,4038522811,56,Back,,,,,,,80q72r0bt6k15fgvbfvs3llud,K. Higashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508902743,5,49,1,0,12,e90fnsgtnamze3yssxpg392eb,1,42.8,85.7,2023-02-18T05:04:08.782Z,2023-02-18T05:04:09Z,,,,,,,,,,,,,,,,,,,,,,,,,3o1ca5xdl2d20r1cwx3r548gl,Adaílton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
