id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value
2514832615,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-03-04T04:11:56.609Z,2023-03-04T04:56:18Z,4069806579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4069806575,30,"8i7aw5yhze1xiw2d2g5wax91w, 7xvwcat6dce9y9obgc8e2s1k9, 12lc6edtue24savqtmbkyu7rp, 6dtp194pewnyuhwkxcn2xpf8q, cqjhp31uh46s2jfedo48h86ol, cvobb9nkum41ldfnfszy42xka, 4mnxvvl5unk1t8k2lkac3yor9, cs1e2ou4h94utke3qdy14fiay, 51xel26o3uzvjdbcywcunmu3t, aa1f06qx3epbsge6s4ayd1e22, 412cup9h8jkgivwiroq8mpfjd, 22ad41qtjnxsdo3piosg6mn6d, 2gwfsjoj9diiuxr1kdga93mc5, n8ap3x0e0uz57mm7vp3m94ru, 3xxifp3hpdu5bv4dk2o6d0xyh, 15b53vkcltdxtbt1zt4peswd1, 950svxoswapg0ws25uo7jy2nd, 5rilbggz566o3ixxga08zimdx",4069806585,130,4,4069806587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4069806583,59,"29, 32, 2, 25, 55, 5, 21, 14, 40, 15, 13, 8, 17, 18, 20, 22, 31, 33",4069806589,194,51xel26o3uzvjdbcywcunmu3t,4069806593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4069806591,197,5841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514833113,1,34,16,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-03-04T04:15:00.297Z,2023-03-04T04:57:32Z,4069809845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4069809855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4069809851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4069809843,30,"a1upg2vdzbgl4y7tr2grer3kl, br87k809f9zu9av8cwkwtkhgq, clp5l55cry7s1afopdybbedey, 9gqymee6r8xdj6jbvcc6mahg5, el9hmsmc1zz7yie7dedfaac8a, 19pcq7pd8fq57z1tgec16o79x, 4hpqusnkgyghf16g9pbclkve1, 19m4x5k36kaujvze82qp1ju8l, dgex06nxjy9fdvc12o8keg99l, d8f4eo6asksimz2kqs58x6bjd, bv59fhjhp11derlzbyro5mkgk, 9zr0kq2pw4eua1tqo3vsvd9wq, 2o6pujv6wvjonzi16w48nf8q1, 8mksoz3513wprt2hhu8c9vo45, 31xdzeykcgfe0vyel250sd0q1, a8adq7dy6i0icdu0j2b6jm2g9, 8bxd61gpgwi9cat8awx4h0n4k, 8lfgk7eqdptu5o53n656vxck5",4069809847,59,"1, 3, 42, 25, 2, 22, 30, 4, 18, 16, 31, 7, 10, 15, 20, 21, 26, 27",4069809849,130,8,4069809853,197,14642,4069854971,194,9gqymee6r8xdj6jbvcc6mahg5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842297,2,32,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-03-04T05:03:11.474Z,2023-03-04T05:03:11Z,4069859247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842299,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-03-04T05:03:11.474Z,2023-03-04T05:03:14Z,4069859253,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842303,3,1,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,49.9,50,2023-03-04T05:03:11.574Z,2023-03-04T05:03:14Z,4069859279,279,S,4069859273,141,56.9,4069859277,213,2.8,4069859271,140,36.9,4069859275,212,14.4,4069859269,56,Back,,,,,,,dgex06nxjy9fdvc12o8keg99l,Koki Ogawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842309,4,1,1,0,2,ctm9as17rs95yhuz7qf53wfke,0,36.9,56.9,2023-03-04T05:03:14.388Z,2023-03-04T05:03:16Z,4069859315,212,42.5,4069859319,1,,4069859317,213,5.9,4069859313,141,30.7,4069859311,140,73.6,4069859307,155,,4069859309,56,Center,,,,9gqymee6r8xdj6jbvcc6mahg5,H. Mita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842313,3,1,1,0,5,9s2g5k3dlmfii452t8edaeozh,1,27.9,75.1,2023-03-04T05:03:17.045Z,2023-03-04T05:03:19Z,4069859353,212,30.0,4069859349,140,56.2,4069859347,56,Center,4069859351,141,69.1,4069859355,213,6.1,4069859345,3,,,,,,,,cvobb9nkum41ldfnfszy42xka,I. Sekigawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842317,4,1,1,0,7,9s2g5k3dlmfii452t8edaeozh,0,56.2,68.8,2023-03-04T05:03:19.170Z,2023-03-04T05:03:19Z,4069859387,141,89.0,4069859383,56,Left,4069859389,212,13.8,4069859381,3,,4069859391,213,1.6,4069859385,140,55.5,,,,,,,51xel26o3uzvjdbcywcunmu3t,Y. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842321,5,1,1,0,9,ctm9as17rs95yhuz7qf53wfke,0,38.2,13.2,2023-03-04T05:03:20.514Z,2023-03-04T05:03:23Z,4069859445,155,,4069859407,140,67.6,4069859409,141,18.8,4069859411,212,31.1,4069859405,56,Right,4069859413,213,0.1,,,,,,,br87k809f9zu9av8cwkwtkhgq,T. Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842325,5,49,1,0,11,9s2g5k3dlmfii452t8edaeozh,1,37.5,85.7,2023-03-04T05:03:22.786Z,2023-03-04T05:03:22Z,,,,,,,,,,,,,,,,,,,,,,,,,6dtp194pewnyuhwkxcn2xpf8q,K. Sano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
