id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/9/value,qualifier/12/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2518957257,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-03-12T06:08:03.457Z,2023-03-12T07:03:34Z,4091632977,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091632975,197,11401,4091632969,130,19,4091632973,194,80qq4sxv5janjrt2in0qmgd79,4091632971,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091632967,59,"38, 11, 24, 19, 33, 4, 10, 7, 13, 20, 8, 6, 14, 15, 16, 17, 22, 23",4091632965,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4091632963,30,"6vuryavylbdnwabe4g5yvgzxl, 4ps37rz4pj6015y18vgktyynd, d3aj0s7ozmpdbdtub8s5qo962, 80qq4sxv5janjrt2in0qmgd79, 5c2ydgdh3f14lya3spj89m0gl, czkrfln85uvtb58cau4kz5m5m, bslybqpvcs3eosivpxaeksgyx, 20ckxhxmd6h2jwv1yqi243h05, 33w6jl3u5nonnwk29nrhv9xhx, cqhh4d51iamhrd8flzu1rlz9x, 1dta13hd6ajv6vw1c4sxmdzvt, 9bop4s7higfcspc38thnv7il1, 7vmiyl7acw24rtxq2ev6m4up6, 4my8wr7hymw527avppuiojp5g, 9lji59sodapv92xyenwbavr3d, 7mtych33i5kan7ngc4kj17x7t, 9lsqinppc86dsw2sitt58lwph, 4g6mmxgmihcoe8t2y3q3al1t6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518959063,1,34,16,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-03-12T06:12:35.529Z,2023-03-12T07:02:43Z,4091642155,130,4,4091642149,30,"bnejmblsp0svuw4x3ngkgwonp, 4xg5pywcbv3pho0idx326s7e2, 76x9dtsoan0d48m4h6gjr8bca, i3mv8ja69kgrfm3leprosfe1, 8d2l4zwaz145adziclzc764t1, 5426us5htztnint9qxlhfugkq, ejiqb92493nx7l8wifxbw5hp1, 2shd4ptk7rfpalkpnrfodgded, cts4m629mfz3knbeyri4021n9, ewm5o6wx18ujlzhyai425ak15, 3qx2f9tqr7qn9wvs5dt4b5nqi, 23n7wb0am537w2rutg074gpg5, 3erz4yrlw2m15mxxocwq31g16, 2kcise3j2ab8hq0n2vgf391wp, 7yt16wh1vrezxyfbvtrpn78mi, 7ot8yoc3nghpbgdkexc2g4j8q, co2jr63m3drr3y0ww8ytfexw4, 2mlhzuv74jc84rckx21ctofd",4091642157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091642163,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091642161,197,5066,4091642151,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4091642153,59,"1, 3, 24, 23, 5, 34, 18, 7, 9, 47, 14, 2, 6, 8, 13, 29, 37, 99",4091642159,194,2shd4ptk7rfpalkpnrfodgded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518976425,2,32,1,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-03-12T07:03:13.504Z,2023-03-12T07:03:13Z,4091733921,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518976427,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-03-12T07:03:13.504Z,2023-03-12T07:03:15Z,4091733933,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518976439,3,1,1,0,0,92br3632xgmc25jvr0jesfvl6,1,50.3,50,2023-03-12T07:03:13.604Z,2023-03-12T07:10:00Z,4091733973,56,Back,4091733975,140,30.2,4091733977,141,61.7,4091733979,212,22.6,4091733983,279,S,4091733981,213,2.8,,,,,,,cts4m629mfz3knbeyri4021n9,M. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518976443,4,1,1,0,3,92br3632xgmc25jvr0jesfvl6,0,29.6,67,2023-03-12T07:03:17.444Z,2023-03-12T07:10:10Z,4091734017,212,38.8,4091734021,1,,4091734015,141,100.0,4091734013,140,59.0,4091734011,56,Left,4091734009,155,,4091734019,213,0.7,,,,5426us5htztnint9qxlhfugkq,Y. Egawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518976455,3,5,1,0,5,89wr6p2dkh7wjxtbwhtsruu02,1,37.6,-1.8,2023-03-12T07:03:19.408Z,2023-03-12T07:55:47Z,4091734085,56,Back,4091734577,233,5,4091734087,347,,,,,,,,,,,,,,,,,33w6jl3u5nonnwk29nrhv9xhx,N. Ben Khalifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518976445,5,5,1,0,5,92br3632xgmc25jvr0jesfvl6,0,62.4,101.8,2023-03-12T07:03:19.408Z,2023-03-12T07:04:00Z,4091734031,347,,4091734581,233,3,4091734029,56,Left,,,,,,,,,,,,,,,,5426us5htztnint9qxlhfugkq,Y. Egawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518976481,4,1,1,0,22,89wr6p2dkh7wjxtbwhtsruu02,1,34.2,0,2023-03-12T07:03:36.503Z,2023-03-12T07:03:38Z,4091734219,212,8.1,4091734211,107,,4091734213,56,Back,4091734215,140,29.0,4091734221,213,2.3,4091734217,141,6.7,,,,,,,4ps37rz4pj6015y18vgktyynd,M. Mitsuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518976485,5,1,1,0,24,89wr6p2dkh7wjxtbwhtsruu02,0,29,6.7,2023-03-12T07:03:38.139Z,2023-03-12T07:03:38Z,4091734243,213,0.2,4091734241,212,36.1,4091734239,141,19.4,4091734245,1,,4091734237,140,62.4,4091734235,56,Right,4091734233,157,,,,,5c2ydgdh3f14lya3spj89m0gl,T. Shiotani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
