id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/12/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2537731831,1,34,16,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-04-23T04:09:15.208Z,2023-04-23T04:09:15Z,4212075819,194,6vkppmpdrvrujfp035ucpib8q,4212075823,197,14530,4212075815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212075805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4212075807,59,"1, 14, 44, 7, 4, 3, 10, 18, 11, 23, 22, 8, 15, 17, 24, 26, 39, 47",4212075811,130,4,4212075827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212075801,30,"7j7c0l6xctuoauvg1tpni3ysp, 23ejdwwhvzovvi7jmek50dyol, 3qguujjae7411ruqhztrfojys, 6vkppmpdrvrujfp035ucpib8q, 82f876uvvivzq5hspoy6vpfmy, 12ndgojwoabbe9igew1ymcnop, dsg6lclcyu8gvsyyn6jnoii95, f0yeq2v114x8is6rbrj6xxrhm, 3dcmvl6ile1c42e7zzw4e139x, 5y6uy0cw3emtxukzgl1xeb4l, darnk2r4rggf7z5dm7t48omp5, 39ix1ftjgermlkf4i12c80u7d, 493qw13cbziuyumsb1s01cufo, 5cwzgbnlpamgpiwjlgn61i8k5, a9lb9wl7lf9lxpmwril1pyfop, 8m7y7kmzgy3aqwvlt1ywp1tjp, dqvxvzeffd8u9xssgp195ydbd, c4gfngqz8qeae1xayhyiwg7l6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537732493,1,34,16,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-04-23T04:12:16.720Z,2023-04-23T05:04:53Z,4212079285,197,8019,4212079277,59,"71, 42, 23, 5, 2, 30, 24, 19, 10, 8, 29, 6, 9, 18, 34, 35, 41, 44",4212079283,194,b68uhpy97bj96uyshxaqdsr9,4212079281,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212079273,30,"9r2zywyi1254rds8d2h4ne0ru, 9b13bzxb1ihm44s5wx421v4oa, eho6q5j8oz6hw3tffv8p0erdg, egr1qg67z829bjgvwi8508yy, b2ud6d4vrv31bb5l00jzcogoa, cvid25qdznmh1j1lyto6dp695, cpr3syuxxldolgb1a5exxvug9, 28yslyo2m2bsim5y5s7fsr0t1, b68uhpy97bj96uyshxaqdsr9, 3glv4ddtgmm6ghdpqmcgr1j6y, ddf07flibb0j2s97fwmnuau3t, 60wqpvcqw404cqqw11nejmvo5, ei6bl9rnpy19fhgc649rz6rqh, ey5f9ve8nitrasavs98v01coa, 5wj0qbjfre960fkxxc1bo6j8, 5pgua1i009fqvqfshy4ncgnv9, 6pjif1rwpdftfj1dfee9l5xm2, 6ll3swg4tj5f8mw4k996adz2t",4212079287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212079275,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4212079279,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537740263,2,32,1,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-04-23T05:04:28.501Z,2023-04-23T05:04:28Z,4212128525,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537740265,2,32,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-04-23T05:04:28.501Z,2023-04-23T05:04:31Z,4212128533,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537740271,3,1,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,50,50,2023-04-23T05:04:28.601Z,2023-04-23T05:04:43Z,4212128573,279,S,4212128567,141,49.9,4212128569,212,21.7,4212128565,140,29.3,4212128563,56,Back,4212128571,213,3.1,,,,,,,3glv4ddtgmm6ghdpqmcgr1j6y,F. Honda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537740281,4,1,1,0,4,27o8mdqno6jslcjb709sxjwyy,0,28.3,48.7,2023-04-23T05:04:32.935Z,2023-04-23T06:00:34Z,4212128627,56,Right,4212128631,141,8.5,4212128635,213,5.7,4212214887,1,,4212128625,155,,4212128633,212,50.2,4212128629,140,68.4,,,,9r2zywyi1254rds8d2h4ne0ru,Park Il-Gyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537740303,3,44,1,0,8,6bus1cl4b6zdm93290r02o7cx,1,28.6,93.6,2023-04-23T05:04:36.530Z,2023-04-23T05:04:40Z,4212128751,56,Back,4212128843,233,5,4212128753,285,,,,,,,,,,,,,,,,,3qguujjae7411ruqhztrfojys,K. Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537740317,5,44,1,0,8,27o8mdqno6jslcjb709sxjwyy,0,71.4,6.4,2023-04-23T05:04:36.531Z,2023-04-23T06:00:31Z,4212128825,56,Right,4212128859,233,3,4212128827,286,,,,,,,,,,,,,,,,,cpr3syuxxldolgb1a5exxvug9,Y. Naganuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537740315,4,1,1,0,8,6bus1cl4b6zdm93290r02o7cx,0,27.6,93,2023-04-23T05:04:37.378Z,2023-04-23T05:04:39Z,4212128821,212,15.7,4212128817,140,41.5,4212128813,3,,4212128823,213,0.4,4212128819,141,100.0,4212128815,56,Back,,,,,,,3qguujjae7411ruqhztrfojys,K. Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537740319,5,5,1,0,11,6bus1cl4b6zdm93290r02o7cx,0,40.2,101.3,2023-04-23T05:04:39.668Z,2023-04-23T05:04:45Z,4212128831,347,,4212128983,233,6,4212128829,56,Back,,,,,,,,,,,,,,,,3qguujjae7411ruqhztrfojys,K. Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
