id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2518941619,1,34,16,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-03-12T05:09:14.605Z,2023-03-12T06:16:13Z,4091557335,197,5064,4091557327,59,"31, 16, 2, 50, 24, 4, 10, 6, 19, 14, 5, 11, 21, 23, 30, 34, 41, 45",4091557337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091557325,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4091557329,130,19,4091557323,30,"2a58okwh0up45xrwo9bcpallh, h84l7hezwweq4hmxnb0q7651, 4dcx2psoevoocmxjm4mrokyqx, aju96fh38fg93pp3dasz29hwp, cq5sbfpf2mphplrzyb2tmsxxx, bcqjrpgcfyzggcts863ck11bd, 1d57az0nmca33zgcta21912p5, b1yiwq0bmix3nvs4snp5gmmsp, 7zxscftntxqon7k8h7ozac3fu, 9bk61hqoeloi792bgxkq0owyd, cgv10p2fly70zfpm74nmyx8bu, 3n5ebr69aqovbxiw13g2zymeh, 5e8x9ph9g69u29zz3u7xwsm0a, em2d55puvv2hwgdegz8l67fv8, 9xyqqsptlh52thq4zfpwbpces, 1lpeuezmfcsmjnaxuts5hrx90, 3vw44ny2hu4m11p3ik9y0lk2x, cpqoist2a7fyz74b4hrqn9fkk",4091557333,194,bcqjrpgcfyzggcts863ck11bd,4091557331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518943319,1,34,16,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-03-12T05:13:36.200Z,2023-03-12T05:49:15Z,4091564693,130,17,4091564689,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4091564691,59,"1, 17, 7, 13, 4, 2, 15, 6, 77, 10, 18, 3, 5, 9, 16, 19, 92, 34",4091564699,197,5030,4091564701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091564687,30,"jywyirljzj827gq6pkgb34k5, 8u07m36pydqgg68citu7pilii, an0ry25y0g1r231rva3xbgs15, ecdovu3igm2rwrf6mwannhwmi, dnwwsdy1tfz0o7t0odssfstsl, 4q09fnw7soqo8q1u50wfde76d, a6mikq97x6ldarn4j7i16gatx, 5c3w3zdu6bojrfd8gt8u35o7p, 4o4vrnjw7c3g7j5aw5utyw1cl, 1enckn6zmewa3nupsm95mgkb9, dnvqxvpw9c21y0mb2wdxyua51, 96c2ojt4sgo4gfxs7vt1qfxed, b9q7re294ul5aq3jxch5oomol, 3g0uy8yhevhod17kgrtho63th, iu0xfgqmdqhn8vpgbqwpbnit, adw7y69svjr1263pqibbx6fsa, 365fyu3119amhqhcr0odemuad, dg1wh53t8qyb8l2dkeibtnkkp",4091564697,194,a6mikq97x6ldarn4j7i16gatx,4091564695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955631,2,32,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-03-12T06:03:18.095Z,2023-03-12T06:03:18Z,4091625489,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955639,2,32,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-03-12T06:03:18.095Z,2023-03-12T06:03:19Z,4091625505,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955653,3,1,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,49.9,49.9,2023-03-12T06:03:18.195Z,2023-03-12T06:03:22Z,4091625553,212,24.8,4091625551,141,67.6,4091625549,140,29.2,4091625547,56,Back,4091625557,279,S,4091625555,213,2.6,,,,,,,4o4vrnjw7c3g7j5aw5utyw1cl,K. Junker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955669,4,1,1,0,4,18c8ibslzapz40lfb8y5vygcs,0,27.5,63.6,2023-03-12T06:03:22.411Z,2023-03-12T06:05:17Z,4091625617,212,30.0,4091625619,213,4.8,4091625615,141,19.5,4091625611,56,Back,4091625613,140,29.1,,,,,,,,,,dnwwsdy1tfz0o7t0odssfstsl,S. Nakatani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955687,5,1,1,0,7,18c8ibslzapz40lfb8y5vygcs,1,29.7,17.6,2023-03-12T06:03:25.403Z,2023-03-12T06:03:28Z,4091625691,213,0.3,4091625689,212,37.3,4091625693,1,,4091625683,56,Center,4091625681,155,,4091625687,141,32.8,4091625685,140,63.8,,,,4q09fnw7soqo8q1u50wfde76d,Y. Nogami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955691,6,44,1,0,9,18c8ibslzapz40lfb8y5vygcs,1,68.2,31.7,2023-03-12T06:03:28.027Z,2023-03-12T06:03:29Z,4091625711,233,3,4091625705,56,Center,4091625707,286,,,,,,,,,,,,,,,,,4o4vrnjw7c3g7j5aw5utyw1cl,K. Junker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955689,3,44,1,0,9,3lyo0vqgndy4fuzlfo5l9ql30,0,31.8,68.3,2023-03-12T06:03:28.028Z,2023-03-12T06:03:29Z,4091625703,285,,4091625701,56,Back,4091625715,233,6,,,,,,,,,,,,,,,,aju96fh38fg93pp3dasz29hwp,Y. Tatsuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955699,7,1,1,0,10,18c8ibslzapz40lfb8y5vygcs,0,63.8,32.8,2023-03-12T06:03:28.859Z,2023-03-12T06:04:02Z,4091626401,156,,4091625729,140,63.7,4091625733,212,17.1,4091625731,141,57.9,4091625727,56,Center,4091625735,213,1.6,4091625725,3,,,,,4o4vrnjw7c3g7j5aw5utyw1cl,K. Junker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
