id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2530788693,1,34,16,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-04-09T04:08:16.619Z,2023-04-09T05:10:53Z,4175170637,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175170629,130,8,4175170627,59,"1, 2, 31, 20, 3, 18, 11, 8, 9, 13, 14, 6, 7, 16, 17, 21, 25, 50",4175170631,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4175170635,197,14560,4175170623,30,"b67vtycwcw93v5z6zidzsej8p, go72kkg33k57tcxebbg9v7u2, 9uuzy744b3q8i7sbk7hjjntn9, aieev8jr470iq7ft2ob005wph, 73si74r5khd2xih6w3uc72rxl, cqxevrqcel70m41ihup6kyac5, dhqt17jw4t2yis8p6medgnluy, 96dbf20tzfz2751lensfhchk9, 3tiriwy3k68lw0zi0fj5dx49h, 3n8lo5wm0i7sh0h92abx87hm1, 536qjh4gcmpo5q68ti87e60kq, a24vimk2li0nbswdipoih6gkq, 37fgppizaampk28232bzeqwru, 5r0vvr8ch9wrim11994baqln8, d00ghqkaff818dnyuyhcdcve, 5x1kq3909or0h3gbe2uu2cp91, bj5k9pm3837dxwerp0vy94hgq, 5vuhxc4dqq733xjjcnlbudn8p",4175170633,194,b67vtycwcw93v5z6zidzsej8p,4175170625,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530788807,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-09T04:08:51.128Z,2023-04-09T04:57:16Z,4175171231,59,"1, 24, 19, 16, 23, 15, 5, 18, 10, 11, 14, 3, 8, 21, 22, 26, 28, 31",4175171235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4175171233,130,4,4175171237,194,83wyz3tyibxx8t5bnvtedpjo5,4175171239,197,14622,4175171241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175171227,30,"71nmf5ieohq83rj1ah9j94a21, bntvupdmnof1hzo1tfa00yfv9, 1ma8gce4os15aa6p7u24dlj3d, c1bmg5i86q1qye115yyz4qvah, f2mpyljll9npb71owp1tlzy7d, 666fx7wetbxy3ri2hlfdn8ph, 83wyz3tyibxx8t5bnvtedpjo5, 9z3v28ssd5e50tt745583obth, 22imd9on624739u8fym5n640l, 3bl0mhzv53z17qkbezviavg0l, 196dypy60x08uuc7cltabdcr9, 8ms57twka5pm6och4fndo2r8q, 9alwmyk45xpxb6sp2nto9iod1, 4ndofth2e6db85fvqlrz9c0h6, 2fpbnagisq2zqfordsc9fkjfu, 62v83t4tsl4zt6kquo32vqay1, 75oypu20gsn9naz102zs9239w, f48vsvku9qpdc0cobsqmplf55",4175171229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798673,2,32,1,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-04-09T05:03:31.071Z,2023-04-09T05:03:31Z,4175231137,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798681,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-09T05:03:31.071Z,2023-04-09T05:03:34Z,4175231159,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798689,3,1,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,49.9,50.1,2023-04-09T05:03:31.171Z,2023-04-09T05:55:13Z,4175231203,56,Back,4175231211,213,2.5,4175231205,140,37.6,4175231213,279,S,4175231207,141,63.9,4175231209,212,16.0,,,,,,,c1bmg5i86q1qye115yyz4qvah,M. Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798735,4,1,1,0,3,bbt5nqwufsne7r0zfa6pvpmfa,0,33.5,61.7,2023-04-09T05:03:34.106Z,2023-04-09T05:55:09Z,4175231397,212,55.7,4175231389,155,,4175231399,213,5.8,4175231393,140,79.8,4175231391,56,Center,4175231395,141,21.8,4175231401,1,,,,,1ma8gce4os15aa6p7u24dlj3d,R. Hatsuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798765,3,1,1,0,7,12tyw9yomy9n5cjd5po2ajx1q,1,17.2,84.5,2023-04-09T05:03:38.166Z,2023-04-09T05:03:41Z,4175231523,212,21.1,4175231519,140,37.2,4175231525,213,6.2,4175231521,141,82.1,4175231517,56,Back,4175231515,3,,,,,,,,cqxevrqcel70m41ihup6kyac5,F. Hayakawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798769,4,49,1,0,10,12tyw9yomy9n5cjd5po2ajx1q,1,39.1,80.6,2023-04-09T05:03:41.363Z,2023-04-09T05:03:41Z,,,,,,,,,,,,,,,,,,,,,,,,,3n8lo5wm0i7sh0h92abx87hm1,R. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798813,5,1,1,0,10,12tyw9yomy9n5cjd5po2ajx1q,1,43.6,81.1,2023-04-09T05:03:41.812Z,2023-04-09T05:03:49Z,4175231649,140,38.1,4175231647,56,Back,4175231653,212,10.3,4175231655,213,2.2,4175231651,141,93.6,,,,,,,,,,3n8lo5wm0i7sh0h92abx87hm1,R. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798809,5,27,1,0,16,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-09T05:03:47.592Z,2023-04-09T05:03:50Z,4175231683,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
