id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/14/value,assist
2540438659,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-29T04:06:47.777Z,2023-04-29T05:05:59Z,4233505833,30,"71nmf5ieohq83rj1ah9j94a21, bntvupdmnof1hzo1tfa00yfv9, 1ma8gce4os15aa6p7u24dlj3d, 3eyq5jpfdsk0zp1hhmono2wgl, f2mpyljll9npb71owp1tlzy7d, 8ms57twka5pm6och4fndo2r8q, 3bl0mhzv53z17qkbezviavg0l, 83wyz3tyibxx8t5bnvtedpjo5, 22imd9on624739u8fym5n640l, 2fpbnagisq2zqfordsc9fkjfu, 196dypy60x08uuc7cltabdcr9, 8pws7hieamm0zugu456ibssiy, 9alwmyk45xpxb6sp2nto9iod1, 666fx7wetbxy3ri2hlfdn8ph, 9z3v28ssd5e50tt745583obth, go7p2ijq9w10e8k9q4wz6c5w, 75oypu20gsn9naz102zs9239w, drtfhsho2kjit9gfq6u9eujmx",4233505837,59,"1, 24, 19, 25, 23, 3, 11, 5, 10, 22, 14, 2, 8, 15, 18, 27, 28, 29",4233505835,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4233505843,194,83wyz3tyibxx8t5bnvtedpjo5,4233505841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233505847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233505839,130,8,4233505845,197,14622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540440109,1,34,16,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-29T04:18:30.752Z,2023-04-29T04:58:42Z,4233514459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233514457,130,19,4233514467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233514453,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4233514451,30,"5ai6500e7oug5v5hybnkfzh7t, 3tx6890pt4hfaz45foj1nhey1, 9w0brh9x5ez6yoiinh50g6y5m, 8alc0ohhvwzzpv25jxnicfmqd, 1acnyk8g437ayer0m4e1331pm, etsgyfejyka71co7e2xeq6r55, 2lwcix6j3nphfos61pidoxuj9, ec0zzrcibmg2r6apg8a0c81cl, 4o71xxq6qdkhug58a073fxega, c7ukr0stxvyflr3xfod5zkpp0, 3mqvpqnv1yixpclmxsvqfoxec, 978z8ejc2jneguyb6yq430g5x, c3co8yb1kyhzxhl5rs55vi3f9, 59cu40rkqkx1723dfdp50gonp, cpats5brlfpugqtw8hi4vigdm, 82jbtoimbxpaomrvm1q3wm5ex, 7kw2rg2vf2sqs486bdasi20ru, 8d1sjb0uxmgz8945khj6ovmqd",4233514461,194,8alc0ohhvwzzpv25jxnicfmqd,4233514465,197,11935,4233514455,59,"1, 3, 26, 22, 4, 2, 10, 20, 18, 29, 13, 7, 8, 14, 15, 21, 25, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448423,2,32,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-29T05:03:42.242Z,2023-04-29T05:03:42Z,4233549555,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448429,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-29T05:03:42.242Z,2023-05-03T13:30:35Z,4233549575,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448451,3,1,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,50.1,50,2023-04-29T05:03:42.342Z,2023-04-29T05:03:47Z,4233549719,213,2.4,4233549713,140,29.5,4233549711,56,Back,4233549717,212,28.2,4233549715,141,76.6,4233549721,279,S,,,,,,,4o71xxq6qdkhug58a073fxega,S. Machino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448463,4,1,1,0,5,83d6z6wvkzs3dx9oy3mftixow,0,33.8,88.1,2023-04-29T05:03:47.478Z,2023-04-29T05:07:39Z,4233549777,141,89.9,4233549773,56,Left,4233549775,140,60.6,4233549779,212,28.2,4233549781,213,0.0,,,,,,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448467,3,49,1,0,7,bbt5nqwufsne7r0zfa6pvpmfa,1,37,11.9,2023-04-29T05:03:49.575Z,2023-04-29T05:04:07Z,,,,,,,,,,,,,,,,,,,,,,,,,83wyz3tyibxx8t5bnvtedpjo5,H. Yamaguchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448487,4,1,1,0,7,bbt5nqwufsne7r0zfa6pvpmfa,1,26.4,9.9,2023-04-29T05:03:49.925Z,2023-04-29T05:07:55Z,4233549847,56,Back,4233549853,212,15.3,4233549851,141,3.1,4233549855,213,6.0,4233549849,140,40.3,,,,,,,,,,83wyz3tyibxx8t5bnvtedpjo5,H. Yamaguchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448505,5,1,1,0,10,bbt5nqwufsne7r0zfa6pvpmfa,1,54.2,3.2,2023-04-29T05:03:52.804Z,2023-04-29T05:04:13Z,4233549957,56,Right,4233549961,141,9.5,4233549963,212,6.1,4233549965,213,0.8,4233549959,140,58.3,,,,,,,,,,3bl0mhzv53z17qkbezviavg0l,Y. Muto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449717,38,3,1,0,13,bbt5nqwufsne7r0zfa6pvpmfa,1,57.5,6.4,2023-04-29T05:03:55.443Z,2023-05-03T13:40:41Z,4246951055,464,,4233556325,286,,4233556611,233,45,4233556323,56,Right,,,,,,,,,,,,,22imd9on624739u8fym5n640l,Y. Osako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
