id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2537755795,1,34,16,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-04-23T06:01:18.020Z,2023-04-23T07:00:28Z,4212215351,194,3ihaypy0xs7cpw7ij61qislat,4212215349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212215355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212215345,59,"1, 15, 26, 19, 28, 5, 21, 3, 30, 8, 14, 4, 9, 12, 22, 25, 66, 35",4212215341,30,"7lxjfpbed6rmm2qmzs6r1c2j9, 7izhszqmb1a9z5na5e0utnc6i, eo5kfco94g7az5x9dn2mtr78q, 3ihaypy0xs7cpw7ij61qislat, 5fglqrb2jo1ideuag4pjit9sl, 6gzt9s90prbrhsw4t72vb4jx1, 1pcyox1b50pxufww0v07c5boq, b5nc0tgc33wklhsekw3jklylm, da5nt2kexuabduzu4qqxf09ud, do6zvquhc4udqtp900l1cid0q, a1uzi9vgpfy7qo1eay243dsk5, cqclwglpzg5flou0r0x3lm21h, 4pqi5vt820333t5zsj2refc2d, 2mfunwzltzdnmzlcjyvx752i, 9lofkwlhnkhsvb1em98ae52lm, 8wnmymj8du9xj1jhp90qs366s, 1gixtkbjxf6qum1cf0uws994a, 41iu3oy04tb19posfppuf8v10",4212215353,197,4167,4212215343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4212215347,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537756097,1,34,16,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-04-23T06:04:29.157Z,2023-04-23T08:16:23Z,4212217343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4212217353,197,5040,4212217347,130,8,4212217341,30,"88d8c6vvmo62h0lnbbo1t9i39, 5olu4s7w7nn9wy1219grd6z8p, a2lga77euo3am1ltgxstfnpp1, edb7mugbc0u6ke0rk67po87o5, dvic19ojqq6erwene0ijta61g, 17l12ufk09zlrm2w8xbxxtl1x, 3o2up44nguwivaltm6d2hdhw5, e8vzy09iw6420p567rmrcj3vu, 3h1911weob775j3n3r77gjlrd, 1zajsokdkegr6kia745i27omi, 1m492fb1pd8amxhgextvoonsa, 8psi8rr64yq7ovzua6ekiznpx, awckr8ajqo4vstzghb59rkwkp, 55plbq48ahcbaz5maex325nv8, dmg39rv08bjlkilby5aycpsve, 520gf81j9admw2zeib75x3v11, 2ingh41ma0grign63tygcgaok, 8dfn4k224dsog8xp27o405kb8",4212217345,59,"99, 13, 2, 6, 29, 7, 41, 16, 33, 14, 17, 1, 3, 5, 8, 10, 20, 24",4212217355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212217349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212217351,194,1zajsokdkegr6kia745i27omi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773111,2,32,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-04-23T07:03:44.444Z,2023-04-23T07:03:46Z,4212321075,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773101,2,32,1,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-04-23T07:03:44.444Z,2023-04-23T07:03:44Z,4212321021,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773123,3,1,1,0,0,3vfso415vj7uitnunviuzdyg3,1,50.1,49.9,2023-04-23T07:03:44.544Z,2023-04-23T07:03:50Z,4212321147,279,S,4212321145,213,2.8,4212321141,141,59.3,4212321139,140,34.1,4212321137,56,Back,4212321143,212,18.0,,,,,,,do6zvquhc4udqtp900l1cid0q,Y. Koizumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773135,4,1,1,0,3,3vfso415vj7uitnunviuzdyg3,0,32.1,62,2023-04-23T07:03:48.041Z,2023-04-23T07:14:56Z,4212321233,213,5.6,4212321223,155,,4212321231,212,57.2,4212321225,56,Right,4212321235,1,,4212321229,141,6.8,4212321227,140,73.2,,,,6gzt9s90prbrhsw4t72vb4jx1,M. Høibråten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773139,5,44,1,0,4,3vfso415vj7uitnunviuzdyg3,1,69.3,11.8,2023-04-23T07:03:48.845Z,2023-04-23T07:14:59Z,4212321247,56,Right,4212321869,233,3,4212321249,286,,,,,,,,,,,,,,,,,1pcyox1b50pxufww0v07c5boq,T. Okubo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773127,3,44,1,0,4,5pol481515zvirmk6t00kerbc,0,30.7,88.2,2023-04-23T07:03:48.846Z,2023-04-23T07:15:01Z,4212321161,56,Back,4212321163,285,,4212321887,233,5,,,,,,,,,,,,,,,,a2lga77euo3am1ltgxstfnpp1,K. Noborizato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537776317,121,1,1,0,5,3vfso415vj7uitnunviuzdyg3,0,75.5,23.1,2023-04-23T07:03:49.595Z,2023-04-23T07:15:23Z,4212341553,141,44.3,4212341549,56,Center,4212341551,140,90.6,4212341555,212,21.4,4212341547,3,,4212341557,213,0.7,,,,,,,1pcyox1b50pxufww0v07c5boq,T. Okubo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773141,4,52,1,0,10,5pol481515zvirmk6t00kerbc,1,3.4,67.3,2023-04-23T07:03:54.603Z,2023-04-23T07:03:54Z,,,,,,,,,,,,,,,,,,,,,,,,,88d8c6vvmo62h0lnbbo1t9i39,N. Kamifukumoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
