id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/11/value,qualifier/17/value
2536861225,1,34,16,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-04-22T04:05:51.494Z,2023-04-22T04:56:39Z,4207454945,59,"27, 2, 17, 37, 4, 3, 39, 7, 9, 8, 11, 5, 10, 15, 22, 41, 44, 49",4207454951,194,6w26g83j8eztacwrfa4ilvh05,4207454943,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4207454947,130,8,4207454955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207454941,30,"eu0wama1jzd9er063es4p3b9x, 6zhe1uw4hag6m8sqmcy7zw8kq, 5rqe1mdhd56mpjkas654hby3u, 8k94yjnb64nf994hbmpaiieol, 406wrekzsvvqqo9jgv2lk1d5, 6w26g83j8eztacwrfa4ilvh05, 1zckxb4ugqeuc50tggo5cohyh, 63245yg2ywq2p2s85w4vdokd0, cm1x3wpag38ievovx1azsp9lh, 1t02yvbqtxoq0xlil3o88bgx6, 5tkfqt3adzkyb7rxjdni12vh1, 1vodims2kc52x1ew6acbj0wr9, 80q72r0bt6k15fgvbfvs3llud, 3o1ca5xdl2d20r1cwx3r548gl, elwh2hvzlbju52obpqmh39vxl, cam8s80ouxcw7900f0qiwoacq, cxmuf2ztbfbfw5p2fmr7uzbvt, dqdflrd7ox6ord50i2qwu0416",4207454953,197,5039,4207454949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536861269,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-22T04:06:31.183Z,2023-04-22T04:06:31Z,4207455165,194,80qq4sxv5janjrt2in0qmgd79,4207455163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4207455155,30,"6vuryavylbdnwabe4g5yvgzxl, 3rgupzc2gcdg8nyzd78xe98no, d3aj0s7ozmpdbdtub8s5qo962, 80qq4sxv5janjrt2in0qmgd79, czkrfln85uvtb58cau4kz5m5m, 5c2ydgdh3f14lya3spj89m0gl, 1dta13hd6ajv6vw1c4sxmdzvt, 20ckxhxmd6h2jwv1yqi243h05, 33w6jl3u5nonnwk29nrhv9xhx, 4ps37rz4pj6015y18vgktyynd, bslybqpvcs3eosivpxaeksgyx, 94zthueiu6uxw1ioe47x6pld6, 2su3ef2yrvsyy64fx6oyyc9g5, 7vmiyl7acw24rtxq2ev6m4up6, 4my8wr7hymw527avppuiojp5g, 9lji59sodapv92xyenwbavr3d, cqhh4d51iamhrd8flzu1rlz9x, 9lsqinppc86dsw2sitt58lwph",4207455159,59,"38, 32, 24, 19, 4, 33, 8, 7, 13, 11, 10, 3, 9, 14, 15, 16, 20, 22",4207455167,197,5035,4207455161,130,17,4207455157,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4207455169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863667,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-22T05:04:07.284Z,2023-04-22T05:04:07Z,4207474607,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863677,2,32,1,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-04-22T05:04:07.284Z,2023-04-22T05:04:09Z,4207474625,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863679,3,1,1,0,0,e90fnsgtnamze3yssxpg392eb,1,50,49.7,2023-04-22T05:04:07.477Z,2023-04-22T05:04:19Z,4207474633,212,15.6,4207474627,56,Back,4207474629,140,35.9,4207474635,213,2.8,4207474631,141,57.1,4207474637,279,S,,,,,,,cm1x3wpag38ievovx1azsp9lh,Diego Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863687,4,1,1,0,2,e90fnsgtnamze3yssxpg392eb,1,38,61.4,2023-04-22T05:04:09.581Z,2023-04-22T05:04:10Z,4207474707,212,19.5,4207474705,141,90.0,4207474703,140,39.2,4207474709,213,1.5,4207474701,56,Back,,,,,,,,,,63245yg2ywq2p2s85w4vdokd0,K. Matsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863695,5,1,1,0,3,e90fnsgtnamze3yssxpg392eb,1,39.2,90,2023-04-22T05:04:10.757Z,2023-04-22T05:04:12Z,4207474733,56,Back,4207474735,140,32.7,4207474741,213,3.7,4207474739,212,7.9,4207474737,141,84.2,,,,,,,,,,5rqe1mdhd56mpjkas654hby3u,S. Tokumoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863713,6,1,1,0,5,e90fnsgtnamze3yssxpg392eb,1,32.7,84.2,2023-04-22T05:04:12.773Z,2023-04-22T05:04:14Z,4207474803,212,10.7,4207474797,56,Back,4207474801,141,94.2,4207474799,140,40.6,4207474805,213,0.7,,,,,,,,,,6w26g83j8eztacwrfa4ilvh05,M. Morishige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863723,7,1,1,0,6,e90fnsgtnamze3yssxpg392eb,0,41.5,93.5,2023-04-22T05:04:14.277Z,2023-04-22T05:07:19Z,4207474845,140,64.3,4207474851,213,5.7,4207474843,56,Center,4207474847,141,68.8,4207474849,212,29.2,4207474841,155,,,,,,,,5rqe1mdhd56mpjkas654hby3u,S. Tokumoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863735,3,43,1,0,8,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-04-22T05:04:16.160Z,2023-04-22T05:04:37Z,4207474885,285,0,4207474883,56,Back,4207475199,144,44,,,,,,,,,,,,,,,,czkrfln85uvtb58cau4kz5m5m,H. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536863747,4,1,1,0,10,89wr6p2dkh7wjxtbwhtsruu02,1,31.6,37.7,2023-04-22T05:04:17.592Z,2023-04-22T05:07:24Z,4207474939,3,,4207474945,141,34.8,4207474943,140,38.0,4207474947,212,7.0,4207474941,56,Back,4207474949,213,6.0,,,,,,,czkrfln85uvtb58cau4kz5m5m,H. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
