id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2544900369,1,34,16,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-05-07T04:05:22.684Z,2023-05-07T04:55:24Z,4257245723,59,"21, 2, 6, 4, 22, 24, 25, 8, 9, 16, 19, 1, 3, 7, 11, 20, 33, 38",4257245733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257245729,194,rwrgxpcw0fbw23nmrol7w0d1,4257245725,130,4,4257245721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4257245727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257245719,30,"rwrgxpcw0fbw23nmrol7w0d1, a1c22m80hq868xo8ekebeh39x, 9lx0ga5gyyydtll2lykm496fp, 9d46sx7as05co7z0b91b1fpx, cswf4egr4vc9p1mcfdhlfj8id, d5ohcms1wnysq8ydfrbbfhrvu, c0462ainildhz7zmyosnafmc5, 77487qauk9fkzlesgze21odsl, 7wg0d34b0cdh7fxgetfgqs8np, a48j66n8bzz6ffcsyiodbfwq2, 6i35vaig8vo8uu549elm5kul1, 1wwcosp7djsj0lk59c379luxh, a5bv94qfazsluavgaoxrys0rt, 1y7418qkypc0tg1fpx0anycfe, ehnhef906i6z4e7hn7ae1p68l, 57140tg9gdrk4iqqhxbfomjmx, b8uoz55lg5vph4efl6clee4x6, cg2dpmeot9vtf40lnvg5scxsk",4257245731,197,4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544901305,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-05-07T04:09:15.524Z,2023-05-07T05:06:51Z,4257251097,194,22ad41qtjnxsdo3piosg6mn6d,4257251093,130,2,4257251095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257251091,59,"29, 22, 2, 14, 55, 5, 33, 21, 40, 37, 8, 3, 10, 13, 17, 30, 31, 32",4257251087,30,"8i7aw5yhze1xiw2d2g5wax91w, 15b53vkcltdxtbt1zt4peswd1, 12lc6edtue24savqtmbkyu7rp, cs1e2ou4h94utke3qdy14fiay, cqjhp31uh46s2jfedo48h86ol, cvobb9nkum41ldfnfszy42xka, 5rilbggz566o3ixxga08zimdx, 4mnxvvl5unk1t8k2lkac3yor9, 51xel26o3uzvjdbcywcunmu3t, 4c03ukpq8hq69ykgcypq5jf8p, 22ad41qtjnxsdo3piosg6mn6d, 21urhapqadraths78se3rh0ph, wp6f6m1vhdtygyelx9nj74oa, 412cup9h8jkgivwiroq8mpfjd, 2gwfsjoj9diiuxr1kdga93mc5, 8shr0ghxn6d8uoiiideh3rmne, 950svxoswapg0ws25uo7jy2nd, 7xvwcat6dce9y9obgc8e2s1k9",4257251089,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4257251099,197,5841,4257251101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910339,2,32,1,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-05-07T05:03:36.578Z,2023-05-11T14:10:56Z,4257301265,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910343,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-05-07T05:03:36.578Z,2023-05-07T05:03:39Z,4257301273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910351,3,1,1,0,1,9s2g5k3dlmfii452t8edaeozh,1,50,50,2023-05-07T05:03:37.678Z,2023-05-11T14:11:20Z,4257301299,56,Back,4257301307,213,3.0,4257301305,212,20.9,4257301301,140,30.2,4257301309,279,S,4257301303,141,53.1,,,,,,,4c03ukpq8hq69ykgcypq5jf8p,Y. Kakita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910383,4,1,1,0,2,9s2g5k3dlmfii452t8edaeozh,0,30.2,52.8,2023-05-07T05:03:39.358Z,2023-05-11T14:11:22Z,4257301419,141,89.4,4257301425,1,,4257301421,212,50.6,4257301415,56,Left,4257301417,140,72.2,4257301423,213,0.5,4257301413,155,,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910403,3,1,1,0,5,90cc40yau7yv6n8r4xs361ofd,0,26,9.8,2023-05-07T05:03:42.063Z,2023-05-07T05:03:45Z,4257301523,140,35.7,4257301533,213,6.0,4257301521,56,Back,4257301527,141,5.8,4257301519,3,,4257301531,212,10.5,,,,,,,a1c22m80hq868xo8ekebeh39x,R. Matsuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910409,5,44,1,0,6,9s2g5k3dlmfii452t8edaeozh,1,62.6,94.3,2023-05-07T05:03:42.990Z,2023-05-11T14:14:09Z,4257301551,286,,4257301557,233,4,4257301549,56,Left,,,,,,,,,,,,,,,,12lc6edtue24savqtmbkyu7rp,K. Anzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910407,4,44,1,0,6,90cc40yau7yv6n8r4xs361ofd,0,37.4,5.7,2023-05-07T05:03:42.991Z,2023-05-11T14:14:10Z,4257301567,233,5,4257301547,285,,4257301545,56,Back,,,,,,,,,,,,,,,,a48j66n8bzz6ffcsyiodbfwq2,S. Maikuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910417,6,1,1,0,7,9s2g5k3dlmfii452t8edaeozh,0,60.9,94.4,2023-05-07T05:03:44.021Z,2023-05-11T14:14:12Z,4257301589,140,61.7,4257301587,56,Left,4257301593,212,0.9,4257301585,3,,4257301591,141,94.1,4257301595,213,6.0,,,,,,,12lc6edtue24savqtmbkyu7rp,K. Anzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910431,6,61,1,0,8,90cc40yau7yv6n8r4xs361ofd,1,36.4,2.3,2023-05-07T05:03:45.305Z,2023-05-07T05:03:53Z,4257301639,56,Back,,,,,,,,,,,,,,,,,,,,,,a48j66n8bzz6ffcsyiodbfwq2,S. Maikuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910413,5,5,1,0,9,90cc40yau7yv6n8r4xs361ofd,0,37.1,-1.5,2023-05-07T05:03:46.048Z,2023-05-07T05:04:46Z,4257301561,56,Back,4257301563,347,,4257301637,233,7,4257302727,361,,,,,,,,,,,,,,a48j66n8bzz6ffcsyiodbfwq2,S. Maikuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910423,7,5,1,0,9,9s2g5k3dlmfii452t8edaeozh,1,62.9,101.5,2023-05-07T05:03:46.048Z,2023-05-07T05:05:57Z,4257301623,233,5,4257303093,361,,4257301603,56,Left,4257301605,347,,,,,,,,,,,,,,12lc6edtue24savqtmbkyu7rp,K. Anzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910527,8,1,1,0,29,9s2g5k3dlmfii452t8edaeozh,0,60.7,100,2023-05-07T05:04:06.570Z,2023-05-07T05:10:00Z,4257302079,140,63.0,4257302077,56,Left,4257302075,107,,4257302083,212,6.8,4257302081,141,92.6,4257302085,213,5.1,4257309883,189,,,,,12lc6edtue24savqtmbkyu7rp,K. Anzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544912011,45,1,1,0,30,9s2g5k3dlmfii452t8edaeozh,1,62.4,93.4,2023-05-07T05:04:06.703Z,2023-05-07T05:10:37Z,4257310303,141,97.3,4257310301,140,58.8,4257310483,189,,4257310305,212,4.6,4257310307,213,2.5,4257310299,56,Left,,,,,,,cs1e2ou4h94utke3qdy14fiay,Y. Higuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544912097,48,1,1,0,31,9s2g5k3dlmfii452t8edaeozh,1,63.2,96.9,2023-05-07T05:04:08.485Z,2023-05-07T05:11:26Z,4257311035,212,18.0,4257311033,141,85.9,4257311031,140,78.8,4257311037,213,5.9,4257311027,155,,4257311029,56,Left,,,,,,,12lc6edtue24savqtmbkyu7rp,K. Anzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910535,9,1,1,0,34,9s2g5k3dlmfii452t8edaeozh,1,73.1,86.3,2023-05-07T05:04:11.511Z,2023-05-07T05:11:23Z,4257302113,56,Left,4257302117,141,96.2,4257302115,140,78.7,4257302111,3,,4257302121,213,0.9,4257302119,212,8.9,,,,,,,4c03ukpq8hq69ykgcypq5jf8p,Y. Kakita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910541,10,1,1,0,36,9s2g5k3dlmfii452t8edaeozh,0,78.7,96.2,2023-05-07T05:04:12.977Z,2023-05-07T05:04:15Z,4257302153,212,17.1,4257302155,213,4.6,4257302151,141,71.4,4257302149,140,76.1,4257302147,56,Center,4257302145,155,,,,,,,,22ad41qtjnxsdo3piosg6mn6d,S. Doi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910565,7,4,1,0,41,90cc40yau7yv6n8r4xs361ofd,1,29.2,30.6,2023-05-07T05:04:17.838Z,2023-05-07T05:04:21Z,4257302259,285,,4257302265,233,11,4257302255,56,Back,4257302251,13,,4257302257,152,,4257302253,294,,,,,,,,6i35vaig8vo8uu549elm5kul1,H. Tameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544910563,11,4,1,0,41,9s2g5k3dlmfii452t8edaeozh,0,70.8,69.4,2023-05-07T05:04:17.839Z,2023-05-07T05:07:37Z,4257302249,286,,4257306921,294,,4257302245,152,,4257302243,56,Center,4257302241,13,,4257302277,233,7,,,,,,,15b53vkcltdxtbt1zt4peswd1,R. Hirose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
