id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/14/value
2521268939,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-03-18T05:12:18.936Z,2023-03-18T06:01:05Z,4103900867,130,4,4103900861,30,"71nmf5ieohq83rj1ah9j94a21, bntvupdmnof1hzo1tfa00yfv9, 1ma8gce4os15aa6p7u24dlj3d, c1bmg5i86q1qye115yyz4qvah, f2mpyljll9npb71owp1tlzy7d, 666fx7wetbxy3ri2hlfdn8ph, 83wyz3tyibxx8t5bnvtedpjo5, 9z3v28ssd5e50tt745583obth, 22imd9on624739u8fym5n640l, 3bl0mhzv53z17qkbezviavg0l, go7p2ijq9w10e8k9q4wz6c5w, 196dypy60x08uuc7cltabdcr9, 4ndofth2e6db85fvqlrz9c0h6, 2fpbnagisq2zqfordsc9fkjfu, 3eyq5jpfdsk0zp1hhmono2wgl, c2pa3htr3y0ncojh8kr83sd79, 72kqs3ac4qyb8jq5isqpketqs, 3pv358rkmu85la3dsk989fxm1",4103900863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4103900873,197,11145,4103900871,194,83wyz3tyibxx8t5bnvtedpjo5,4103900875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103900865,59,"1, 24, 19, 16, 23, 15, 5, 18, 10, 11, 27, 14, 21, 22, 25, 30, 34, 40",4103900869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521270137,1,34,16,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-03-18T05:16:08.042Z,2023-03-18T06:16:37Z,4103907097,197,5061,4103907093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4103907099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103907095,194,b68uhpy97bj96uyshxaqdsr9,4103907087,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4103907091,130,8,4103907085,30,"9r2zywyi1254rds8d2h4ne0ru, ddf07flibb0j2s97fwmnuau3t, b2p16gbvq5gqeiuv8hmbu5nxm, egr1qg67z829bjgvwi8508yy, b2ud6d4vrv31bb5l00jzcogoa, cvid25qdznmh1j1lyto6dp695, eho6q5j8oz6hw3tffv8p0erdg, 60wqpvcqw404cqqw11nejmvo5, ey5f9ve8nitrasavs98v01coa, b68uhpy97bj96uyshxaqdsr9, 3glv4ddtgmm6ghdpqmcgr1j6y, 3rq2fxtjqablx794v1nom142x, 2ho4o0ycfd79eyb7kak1kf6dw, 6ety665au3tex2kv0cslxxgd0, 5pgua1i009fqvqfshy4ncgnv9, 6pjif1rwpdftfj1dfee9l5xm2, 6ll3swg4tj5f8mw4k996adz2t, 7zri7nh5xi24s16qsyjb7q6fo",4103907089,59,"71, 29, 13, 5, 2, 30, 23, 6, 18, 10, 8, 22, 25, 27, 35, 41, 44, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281555,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-03-18T06:04:08.570Z,2023-03-18T06:04:11Z,4103963667,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281547,2,32,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,0,0,2023-03-18T06:04:08.570Z,2023-03-23T09:25:46Z,4103963649,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281581,3,1,1,0,0,27o8mdqno6jslcjb709sxjwyy,1,50.2,50.1,2023-03-18T06:04:08.670Z,2023-03-18T06:04:12Z,4103963789,212,20.1,4103963785,140,31.3,4103963783,56,Back,4103963787,141,54.8,4103963791,213,3.0,4103963793,279,S,,,,,,,b68uhpy97bj96uyshxaqdsr9,Y. Ono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281605,4,1,1,0,3,27o8mdqno6jslcjb709sxjwyy,0,28.4,49.6,2023-03-18T06:04:12.407Z,2023-03-18T06:04:17Z,4103963869,140,41.8,4103963865,155,,4103963875,213,5.2,4103963871,141,11.9,4103963873,212,29.2,4103963867,56,Back,,,,,,,cvid25qdznmh1j1lyto6dp695,M. Tashiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281621,3,44,1,0,6,bbt5nqwufsne7r0zfa6pvpmfa,1,57.9,90.6,2023-03-18T06:04:15.445Z,2023-03-23T10:38:39Z,4103963953,56,Left,4103963975,233,5,4103963955,286,,,,,,,,,,,,,,,,,go7p2ijq9w10e8k9q4wz6c5w,T. Izumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281607,5,44,1,0,6,27o8mdqno6jslcjb709sxjwyy,0,42.1,9.4,2023-03-18T06:04:15.446Z,2023-03-23T10:38:40Z,4103963879,56,Back,4103963881,285,,4103963997,233,3,,,,,,,,,,,,,,,,eho6q5j8oz6hw3tffv8p0erdg,T. Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281625,4,61,1,0,7,bbt5nqwufsne7r0zfa6pvpmfa,1,59.1,92.1,2023-03-18T06:04:16.417Z,2023-03-23T10:38:41Z,4103963969,56,Left,,,,,,,,,,,,,,,,,,,,,,go7p2ijq9w10e8k9q4wz6c5w,T. Izumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281613,6,1,1,0,8,27o8mdqno6jslcjb709sxjwyy,0,42.6,11,2023-03-18T06:04:17.545Z,2023-03-18T06:49:38Z,4103971345,212,13.5,4103971347,213,6.2,4103963919,56,Right,4103971341,140,55.4,4103971343,141,9.9,,,,,,,,,,ey5f9ve8nitrasavs98v01coa,J. Nishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
