id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value
2530897633,1,34,16,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-04-09T09:00:24.787Z,2023-04-09T10:05:04Z,4175715993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4175715999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175715995,194,bcqjrpgcfyzggcts863ck11bd,4175715991,130,2,4175715987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4175715985,30,"5ha4d9cmkfc0zdfjtmqt3mg6i, 1lpeuezmfcsmjnaxuts5hrx90, 4dcx2psoevoocmxjm4mrokyqx, exhzpkx6j2ffgblv06ummy356, aju96fh38fg93pp3dasz29hwp, bcqjrpgcfyzggcts863ck11bd, 1d57az0nmca33zgcta21912p5, b1yiwq0bmix3nvs4snp5gmmsp, 5vwzliaibdlhfm38g8v5z0r8p, 7zxscftntxqon7k8h7ozac3fu, 3vw44ny2hu4m11p3ik9y0lk2x, cgv10p2fly70zfpm74nmyx8bu, 6vedxvw1nzhkl23yi0wkxaaj9, 3n5ebr69aqovbxiw13g2zymeh, 9bk61hqoeloi792bgxkq0owyd, 95xv2vt9zeaisdth7ng5nfy8k, 5e8x9ph9g69u29zz3u7xwsm0a, em2d55puvv2hwgdegz8l67fv8",4175715997,197,5064,4175715989,59,"46, 34, 2, 28, 50, 4, 10, 6, 17, 19, 41, 5, 9, 11, 14, 20, 21, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530900163,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-04-09T09:08:33.859Z,2023-04-09T09:57:13Z,4175731503,59,"29, 32, 2, 21, 55, 3, 15, 25, 40, 8, 13, 5, 10, 14, 22, 31, 36, 37",4175731509,194,22ad41qtjnxsdo3piosg6mn6d,4175731501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4175731505,130,2,4175731513,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4175731507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4175731511,197,5841,4175731499,30,"8i7aw5yhze1xiw2d2g5wax91w, 7xvwcat6dce9y9obgc8e2s1k9, 12lc6edtue24savqtmbkyu7rp, 4mnxvvl5unk1t8k2lkac3yor9, cqjhp31uh46s2jfedo48h86ol, 21urhapqadraths78se3rh0ph, aa1f06qx3epbsge6s4ayd1e22, 6dtp194pewnyuhwkxcn2xpf8q, 51xel26o3uzvjdbcywcunmu3t, 22ad41qtjnxsdo3piosg6mn6d, 412cup9h8jkgivwiroq8mpfjd, cvobb9nkum41ldfnfszy42xka, wp6f6m1vhdtygyelx9nj74oa, cs1e2ou4h94utke3qdy14fiay, 15b53vkcltdxtbt1zt4peswd1, 950svxoswapg0ws25uo7jy2nd, 6q4gfpqgy8mcarbdwtpde9las, 4c03ukpq8hq69ykgcypq5jf8p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530921511,2,32,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-04-09T10:03:20.880Z,2023-04-13T14:45:32Z,4175846567,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530921515,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-04-09T10:03:20.880Z,2023-04-09T10:03:23Z,4175846583,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530921535,3,1,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,49.7,50.1,2023-04-09T10:03:20.980Z,2023-04-09T10:03:24Z,4175846735,212,10.7,4175846731,141,51.2,4175846741,279,S,4175846739,213,3.1,4175846725,140,39.5,4175846721,56,Back,,,,,,,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530921557,4,1,1,0,1,3lyo0vqgndy4fuzlfo5l9ql30,1,39.5,51.2,2023-04-09T10:03:22.779Z,2023-04-09T10:03:27Z,4175846869,140,30.9,4175846867,56,Back,4175846873,212,26.9,4175846871,141,14.0,4175846875,213,4.4,,,,,,,,,,b1yiwq0bmix3nvs4snp5gmmsp,K. Shiihashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530921571,5,1,1,0,6,3lyo0vqgndy4fuzlfo5l9ql30,1,25.4,10.9,2023-04-09T10:03:27.035Z,2023-04-09T10:03:29Z,4175846993,213,1.6,4175846987,140,25.0,4175846991,212,11.6,4175846985,56,Back,4175846989,141,27.9,,,,,,,,,,1lpeuezmfcsmjnaxuts5hrx90,T. Tsuchiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530921587,6,1,1,0,8,3lyo0vqgndy4fuzlfo5l9ql30,0,25.2,28.6,2023-04-09T10:03:29.325Z,2023-04-09T10:03:31Z,4175847089,1,,4175847083,141,33.0,4175847077,157,,4175847081,140,65.4,4175847085,212,42.3,4175847087,213,0.1,4175847079,56,Center,,,,aju96fh38fg93pp3dasz29hwp,Y. Tatsuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530922671,32,49,1,0,9,9s2g5k3dlmfii452t8edaeozh,1,26.4,68,2023-04-09T10:03:30.712Z,2023-04-09T10:06:29Z,,,,,,,,,,,,,,,,,,,,,,,,,21urhapqadraths78se3rh0ph,G. Shōji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530921613,3,1,1,0,10,9s2g5k3dlmfii452t8edaeozh,1,34.2,66.6,2023-04-09T10:03:31.815Z,2023-04-09T10:07:04Z,4175847221,141,31.2,4175847215,155,,4175847227,213,5.2,4175847223,212,27.9,4175847217,56,Back,4175847219,140,47.6,,,,,,,21urhapqadraths78se3rh0ph,G. Shōji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
