id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value
2551410835,1,34,16,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-05-20T06:11:56.880Z,2023-05-20T07:05:51Z,4291954883,130,17,4291954887,194,19pcq7pd8fq57z1tgec16o79x,4291954889,197,14640,4291954877,30,"70d7ep81lnb6m2flci6s8s5w5, 4hpqusnkgyghf16g9pbclkve1, 8bxd61gpgwi9cat8awx4h0n4k, f10fu0944yj2tr90vqz88yqga, 19pcq7pd8fq57z1tgec16o79x, 8lfgk7eqdptu5o53n656vxck5, 31xdzeykcgfe0vyel250sd0q1, 9uj9vy1lj10nqjncq6d2rd39x, 8mksoz3513wprt2hhu8c9vo45, 9zr0kq2pw4eua1tqo3vsvd9wq, d8f4eo6asksimz2kqs58x6bjd, a1upg2vdzbgl4y7tr2grer3kl, 6n2eg03x7w7uewltxnkugyacp, cluxma8unfkiqseiqfunk6ymt, 9gqymee6r8xdj6jbvcc6mahg5, bv59fhjhp11derlzbyro5mkgk, b3trvvbmh2k2fh7w1sjho1ysq, esfnlp56d5kfvxy9518d91gd0",4291954879,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4291954881,59,"49, 30, 26, 19, 22, 27, 20, 6, 15, 7, 16, 1, 14, 17, 25, 31, 9, 33",4291954885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4291954891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551413155,1,34,16,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-20T06:21:53.691Z,2023-05-20T07:12:21Z,4291967305,197,14937,4291967297,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4291967299,59,"99, 13, 2, 8, 31, 7, 16, 10, 33, 41, 17, 1, 5, 11, 18, 20, 30, 49",4291967301,130,4,4292005847,194,dmg39rv08bjlkilby5aycpsve,4291967295,30,"88d8c6vvmo62h0lnbbo1t9i39, 5olu4s7w7nn9wy1219grd6z8p, a2lga77euo3am1ltgxstfnpp1, dmg39rv08bjlkilby5aycpsve, 3l6ixflqq5g8ivhj7x9emh8t1, 17l12ufk09zlrm2w8xbxxtl1x, e8vzy09iw6420p567rmrcj3vu, 520gf81j9admw2zeib75x3v11, 3h1911weob775j3n3r77gjlrd, 3o2up44nguwivaltm6d2hdhw5, 1m492fb1pd8amxhgextvoonsa, 8psi8rr64yq7ovzua6ekiznpx, 55plbq48ahcbaz5maex325nv8, 1cfomybhr42ofsatnkgo9w3x1, 5u3kbu3dqrij1mnzy6ismu6z9, 2ingh41ma0grign63tygcgaok, asr6wzzjgymajee0mth8rbvt, bp9o855yj8bdkyictup27h2ad",4291967307,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4291967303,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422403,2,32,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-20T07:03:22.022Z,2023-05-20T07:03:24Z,4292014763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422397,2,32,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-05-20T07:03:22.022Z,2023-05-20T07:03:22Z,4292014755,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422407,3,1,1,0,0,5pol481515zvirmk6t00kerbc,1,50.3,50.1,2023-05-20T07:03:22.122Z,2023-05-20T07:04:44Z,4292014789,279,S,4292014787,213,3.6,4292014783,141,38.0,4292014785,212,19.5,4292014781,140,33.5,4292014779,56,Back,,,,,,,dmg39rv08bjlkilby5aycpsve,K. Tachibanada,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422433,4,1,1,0,3,5pol481515zvirmk6t00kerbc,0,36.9,40.7,2023-05-20T07:03:25.333Z,2023-05-20T07:03:28Z,4292014921,212,52.5,4292014913,155,,4292014917,140,84.0,4292014919,141,66.7,4292014925,1,,4292014923,213,0.3,4292014915,56,Center,,,,3l6ixflqq5g8ivhj7x9emh8t1,K. Yamamura,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422451,3,1,1,0,9,ctm9as17rs95yhuz7qf53wfke,1,20.7,34.2,2023-05-20T07:03:31.380Z,2023-05-20T07:03:33Z,4292015011,3,,4292015015,140,3.4,4292015017,141,42.1,4292015019,212,18.9,4292015021,213,2.9,4292015013,56,Back,,,,,,,8lfgk7eqdptu5o53n656vxck5,K. Yoshino,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422453,4,49,1,0,11,ctm9as17rs95yhuz7qf53wfke,1,3.4,42.1,2023-05-20T07:03:33.745Z,2023-05-20T07:03:34Z,,,,,,,,,,,,,,,,,,,,,,,,,70d7ep81lnb6m2flci6s8s5w5,S. Brodersen,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422465,5,1,1,0,11,ctm9as17rs95yhuz7qf53wfke,1,3.4,42.1,2023-05-20T07:03:33.858Z,2023-05-20T07:03:36Z,4292015095,141,72.4,4292015093,140,6.2,4292015099,213,1.4,4292015091,56,Back,4292015097,212,20.8,,,,,,,,,,70d7ep81lnb6m2flci6s8s5w5,S. Brodersen,,,,,,,,,,,,,,,,,,,,,,,,,,
2551422481,6,1,1,0,13,ctm9as17rs95yhuz7qf53wfke,1,6.2,72.4,2023-05-20T07:03:36.001Z,2023-05-20T07:03:38Z,4292015171,141,50.7,4292015175,213,4.5,4292015173,212,15.2,4292015169,140,2.9,4292015167,56,Back,,,,,,,,,,f10fu0944yj2tr90vqz88yqga,Mateus Moraes,,,,,,,,,,,,,,,,,,,,,,,,,,
