id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2522167065,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-03-19T04:08:47.245Z,2023-03-19T04:44:35Z,4108655945,194,80qq4sxv5janjrt2in0qmgd79,4108655941,130,17,4108655937,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4108655939,59,"38, 11, 16, 19, 4, 33, 24, 7, 13, 10, 8, 6, 9, 14, 15, 17, 22, 23",4108655943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4108655935,30,"6vuryavylbdnwabe4g5yvgzxl, 4ps37rz4pj6015y18vgktyynd, 9lji59sodapv92xyenwbavr3d, 80qq4sxv5janjrt2in0qmgd79, czkrfln85uvtb58cau4kz5m5m, 5c2ydgdh3f14lya3spj89m0gl, d3aj0s7ozmpdbdtub8s5qo962, 20ckxhxmd6h2jwv1yqi243h05, 33w6jl3u5nonnwk29nrhv9xhx, bslybqpvcs3eosivpxaeksgyx, 1dta13hd6ajv6vw1c4sxmdzvt, 9bop4s7higfcspc38thnv7il1, 2su3ef2yrvsyy64fx6oyyc9g5, 7vmiyl7acw24rtxq2ev6m4up6, 4my8wr7hymw527avppuiojp5g, 7mtych33i5kan7ngc4kj17x7t, 9lsqinppc86dsw2sitt58lwph, 4g6mmxgmihcoe8t2y3q3al1t6",4108655949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4108655947,197,5035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522167075,1,34,16,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-03-19T04:08:48.716Z,2023-03-19T05:13:17Z,4108655991,59,"31, 16, 2, 20, 34, 4, 6, 5, 17, 19, 11, 9, 10, 21, 24, 30, 41, 43",4108655999,197,14537,4108656001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4108655997,194,bcqjrpgcfyzggcts863ck11bd,4108655993,130,13,4108655995,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4108655989,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4108655987,30,"2a58okwh0up45xrwo9bcpallh, h84l7hezwweq4hmxnb0q7651, 4dcx2psoevoocmxjm4mrokyqx, 95xv2vt9zeaisdth7ng5nfy8k, 1lpeuezmfcsmjnaxuts5hrx90, bcqjrpgcfyzggcts863ck11bd, b1yiwq0bmix3nvs4snp5gmmsp, cgv10p2fly70zfpm74nmyx8bu, 5vwzliaibdlhfm38g8v5z0r8p, 7zxscftntxqon7k8h7ozac3fu, 3n5ebr69aqovbxiw13g2zymeh, 6vedxvw1nzhkl23yi0wkxaaj9, 1d57az0nmca33zgcta21912p5, 5e8x9ph9g69u29zz3u7xwsm0a, cq5sbfpf2mphplrzyb2tmsxxx, 9xyqqsptlh52thq4zfpwbpces, 3vw44ny2hu4m11p3ik9y0lk2x, exyx48j2vy8pe6e2t126f0650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522176095,2,32,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-03-19T05:03:40.989Z,2023-03-19T05:03:42Z,4108709545,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522176085,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-03-19T05:03:40.989Z,2023-03-23T09:37:48Z,4108709503,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522176113,3,1,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,49.9,50,2023-03-19T05:03:41.089Z,2023-03-19T05:10:10Z,4108709641,279,S,4108709635,141,53.9,4108709633,140,28.7,4108709637,212,22.4,4108709639,213,3.0,4108709631,56,Back,,,,,,,cgv10p2fly70zfpm74nmyx8bu,T. Takamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522176119,4,1,1,0,4,3lyo0vqgndy4fuzlfo5l9ql30,0,28.8,61.1,2023-03-19T05:03:45.918Z,2023-03-19T05:03:47Z,4108709665,140,69.1,4108709671,213,0.1,4108709663,56,Center,4108709673,1,,4108709661,155,,4108709667,141,68.1,4108709669,212,42.6,,,,1lpeuezmfcsmjnaxuts5hrx90,T. Tsuchiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522176129,3,1,1,0,6,89wr6p2dkh7wjxtbwhtsruu02,1,26.1,27.2,2023-03-19T05:03:47.033Z,2023-03-23T09:40:34Z,4108709747,212,13.3,4108709749,213,5.9,4108709739,3,,4108709743,140,37.9,4108709741,56,Back,4108709745,141,20.2,,,,,,,czkrfln85uvtb58cau4kz5m5m,H. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522176141,4,1,1,0,7,89wr6p2dkh7wjxtbwhtsruu02,1,43.6,25.6,2023-03-19T05:03:48.165Z,2023-03-23T09:41:39Z,4108709821,141,8.9,4116938463,3,,4108709823,212,17.6,4108709825,213,3.8,4108709819,140,30.8,4108709817,56,Back,,,,,,,bslybqpvcs3eosivpxaeksgyx,T. Morishima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523738685,1043,49,1,0,8,89wr6p2dkh7wjxtbwhtsruu02,1,33.7,9.5,2023-03-19T05:03:49.801Z,2023-03-23T09:42:19Z,,,,,,,,,,,,,,,,,,,,,,,,,4ps37rz4pj6015y18vgktyynd,M. Mitsuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522176145,5,1,1,0,9,89wr6p2dkh7wjxtbwhtsruu02,0,31.5,5.4,2023-03-19T05:03:50.199Z,2023-03-23T09:42:24Z,4108709831,157,,4108709851,1,,4108709837,140,54.1,4108709839,141,6.9,4108709843,212,23.8,4108709833,56,Right,4108709847,213,0.0,,,,4ps37rz4pj6015y18vgktyynd,M. Mitsuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
