id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2512591955,1,34,16,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-02-26T05:08:38.518Z,2023-02-26T05:58:10Z,4057953585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4057953587,197,5064,4057953579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4058019841,194,bcqjrpgcfyzggcts863ck11bd,4057953589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4057953577,30,"5e8x9ph9g69u29zz3u7xwsm0a, h84l7hezwweq4hmxnb0q7651, 4dcx2psoevoocmxjm4mrokyqx, cgv10p2fly70zfpm74nmyx8bu, aju96fh38fg93pp3dasz29hwp, bcqjrpgcfyzggcts863ck11bd, 3n5ebr69aqovbxiw13g2zymeh, 3vw44ny2hu4m11p3ik9y0lk2x, 7zxscftntxqon7k8h7ozac3fu, 1d57az0nmca33zgcta21912p5, 9bk61hqoeloi792bgxkq0owyd, b1yiwq0bmix3nvs4snp5gmmsp, 2i2kt4o38cmstyltb99x1vc9h, 6vedxvw1nzhkl23yi0wkxaaj9, cq5sbfpf2mphplrzyb2tmsxxx, 2a58okwh0up45xrwo9bcpallh, 1lpeuezmfcsmjnaxuts5hrx90, cpqoist2a7fyz74b4hrqn9fkk",4057953581,59,"21, 16, 2, 5, 50, 4, 11, 41, 19, 10, 14, 6, 8, 9, 24, 31, 34, 45",4057953583,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512593167,1,34,16,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-02-26T05:12:03.712Z,2023-02-26T06:01:07Z,4057959453,59,"27, 2, 49, 10, 4, 44, 37, 35, 9, 11, 15, 3, 5, 22, 26, 33, 41, 48",4057959451,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4057959449,30,"eu0wama1jzd9er063es4p3b9x, 6zhe1uw4hag6m8sqmcy7zw8kq, dqdflrd7ox6ord50i2qwu0416, 80q72r0bt6k15fgvbfvs3llud, 406wrekzsvvqqo9jgv2lk1d5, cxmuf2ztbfbfw5p2fmr7uzbvt, 8k94yjnb64nf994hbmpaiieol, 2otou563dkse1ojis549sw1rd, cm1x3wpag38ievovx1azsp9lh, 5tkfqt3adzkyb7rxjdni12vh1, 3o1ca5xdl2d20r1cwx3r548gl, 6w26g83j8eztacwrfa4ilvh05, 1vodims2kc52x1ew6acbj0wr9, elwh2hvzlbju52obpqmh39vxl, 49pimptme99yiya9m9idpa1d6, anzbyfw36kbait6hvlzornuok, cam8s80ouxcw7900f0qiwoacq, 8q4hv1r8dh6f5xyhmotbu9wd0",4057959459,194,cm1x3wpag38ievovx1azsp9lh,4057959461,197,5038,4057959463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4057959457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4057959455,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602453,2,32,1,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-02-26T06:03:06.250Z,2023-02-26T06:03:09Z,4058025703,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602451,2,32,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-02-26T06:03:06.250Z,2023-02-28T15:41:10Z,4058025685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602463,3,1,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,50.1,49.7,2023-02-26T06:03:06.350Z,2023-02-26T06:03:10Z,4058025773,140,31.0,4058025771,56,Back,4058025779,213,3.3,4058025781,279,S,4058025775,141,45.8,4058025777,212,20.2,,,,,,,7zxscftntxqon7k8h7ozac3fu,M. Hosoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602481,4,1,1,0,4,3lyo0vqgndy4fuzlfo5l9ql30,0,29.3,49.6,2023-02-26T06:03:10.775Z,2023-02-26T06:03:15Z,4058025917,212,69.6,4058025915,141,57.5,4058025921,1,,4058025919,213,0.1,4058025909,157,,4058025913,140,95.4,4058025911,56,Center,,,,aju96fh38fg93pp3dasz29hwp,Y. Tatsuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602483,3,52,1,0,9,e90fnsgtnamze3yssxpg392eb,1,5.2,41.3,2023-02-26T06:03:15.575Z,2023-02-28T15:42:00Z,4063652131,376,,,,,,,,,,,,,,,,,,,,,,,eu0wama1jzd9er063es4p3b9x,J. Słowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602505,4,1,1,0,12,e90fnsgtnamze3yssxpg392eb,1,10.5,48.4,2023-02-26T06:03:18.580Z,2023-02-26T06:03:23Z,4058026119,141,65.8,4058026109,123,,4058026123,213,1.5,4058026121,212,11.9,4058026117,140,11.4,4058026115,56,Back,,,,,,,eu0wama1jzd9er063es4p3b9x,J. Słowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602511,5,1,1,0,17,e90fnsgtnamze3yssxpg392eb,1,11.4,59.7,2023-02-26T06:03:23.284Z,2023-02-26T06:03:27Z,4058026181,56,Back,4058026183,140,28.0,4058026189,213,5.2,4058026191,1,,4058026185,141,10.3,4058026187,212,37.8,,,,,,,cxmuf2ztbfbfw5p2fmr7uzbvt,Henrique Trevisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602517,6,1,1,0,20,e90fnsgtnamze3yssxpg392eb,0,29.6,11.6,2023-02-26T06:03:26.900Z,2023-02-26T06:03:43Z,4058026231,56,Back,4058026233,140,33.3,4058026235,141,8.5,4058026237,212,4.4,4058026241,213,5.8,,,,,,,,,,6zhe1uw4hag6m8sqmcy7zw8kq,H. Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
