id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,assist,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId
2514842479,7,1,1,0,11,1f3ehp8p9yi8reamghry4p76t,1,61.6,57.6,2023-03-04T05:03:44.529Z,2023-03-04T05:10:50Z,4069860151,140,65.6,4069860153,141,66.9,4069860155,212,7.6,4069860157,213,1.0,4069860147,3,,4069860149,56,Center,,,,,,,1bjh7t56w2jg6berm300782c5,H. Miyazawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514844769,84,43,1,0,12,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-03-04T05:03:45.346Z,2023-03-06T18:40:18Z,4069873405,286,0,4078929513,144,44,4069873403,56,Center,4069874545,233,62,,,,,,,,,,,,,9bvp90vtnqsbq3muka37rm40l,R. Aoki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514844893,62,43,1,0,12,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-03-04T05:03:45.347Z,2023-03-06T18:40:18Z,4069874457,56,Back,4078929531,144,44,4069874459,285,0,,,,,,,,,,,,,,,,96dbf20tzfz2751lensfhchk9,T. Ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842501,8,1,1,0,13,1f3ehp8p9yi8reamghry4p76t,0,65.4,67.2,2023-03-04T05:03:45.777Z,2023-03-04T07:08:21Z,4069860215,3,,4069860221,141,60.2,4069872401,168,,4069860223,212,5.8,4069860225,213,5.3,4069860219,140,68.5,4069860217,56,Center,,,,9bvp90vtnqsbq3muka37rm40l,R. Aoki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842487,5,44,1,0,14,12tyw9yomy9n5cjd5po2ajx1q,1,35.7,35.6,2023-03-04T05:03:47.444Z,2023-03-04T05:15:02Z,4069860235,233,9,4069860181,56,Back,4069860183,285,,,,,,,,,,,,,,,,,7f7rlxtcm93i5p08kci7rzjkl,M. Fitzgerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842503,9,44,1,0,14,1f3ehp8p9yi8reamghry4p76t,0,64.3,64.4,2023-03-04T05:03:47.445Z,2023-03-04T05:10:52Z,4069860229,56,Center,4069860231,286,,4069860269,233,5,,,,,,,,,,,,,,,,6jdifjaop9haqylognzg3azf9,Kim Gun-Hee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842507,6,1,1,0,15,12tyw9yomy9n5cjd5po2ajx1q,1,27.9,41.2,2023-03-04T05:03:48.059Z,2023-03-04T05:11:10Z,4069860239,3,,4069860243,140,30.3,4069860241,56,Back,4069860245,141,59.4,4069860247,212,12.6,4069860249,213,1.4,,,,,,,7f7rlxtcm93i5p08kci7rzjkl,M. Fitzgerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842513,7,49,1,0,16,12tyw9yomy9n5cjd5po2ajx1q,1,34.1,54.6,2023-03-04T05:03:48.955Z,2023-03-06T18:41:31Z,,,,,,,,,,,,,,,,,,,,,,,,,536qjh4gcmpo5q68ti87e60kq,S. Mito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842519,8,1,1,0,17,12tyw9yomy9n5cjd5po2ajx1q,1,34.1,54.6,2023-03-04T05:03:50.018Z,2023-03-06T18:41:55Z,4069860295,140,42.5,4069860293,56,Back,4069860301,213,5.3,4069860299,212,15.4,4069860297,141,36.0,,,,,,,,,,536qjh4gcmpo5q68ti87e60kq,S. Mito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516560733,871,61,1,0,18,12tyw9yomy9n5cjd5po2ajx1q,1,40.6,33.4,2023-03-04T05:03:51.243Z,2023-03-06T18:42:02Z,4078932135,56,Back,,,,,,,,,,,,,,,,,,,,,,3n8lo5wm0i7sh0h92abx87hm1,R. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842523,10,49,1,0,19,1f3ehp8p9yi8reamghry4p76t,1,53.1,66.4,2023-03-04T05:03:52.696Z,2023-03-04T05:03:52Z,,,,,,,,,,,,,,,,,,,,,,,,,51ny01vwhnzkkd50iy4pfyor9,A. Fukumori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842531,11,1,1,0,20,1f3ehp8p9yi8reamghry4p76t,0,54,67.2,2023-03-04T05:03:53.192Z,2023-03-04T05:03:54Z,4069860359,140,75.1,4069860357,56,Left,4069860363,212,24.3,4069860355,155,,4069860361,141,82.0,4069860365,213,0.4,,,,,,,51ny01vwhnzkkd50iy4pfyor9,A. Fukumori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842535,9,49,1,0,21,12tyw9yomy9n5cjd5po2ajx1q,1,23.2,12,2023-03-04T05:03:53.778Z,2023-03-06T18:42:17Z,,,,,,,,,,,,,,,,,,,,,,,,,bj5k9pm3837dxwerp0vy94hgq,S. Fujiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842561,10,1,1,0,22,12tyw9yomy9n5cjd5po2ajx1q,0,24.4,12,2023-03-04T05:03:55.547Z,2023-03-04T05:12:21Z,4069860517,212,51.5,4069860525,1,,4069860511,140,73.4,4069860509,56,Right,4069860507,155,,4069860521,213,0.0,4069860513,141,15.6,,,,bj5k9pm3837dxwerp0vy94hgq,S. Fujiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842583,12,1,1,0,27,1f3ehp8p9yi8reamghry4p76t,0,23.9,82.9,2023-03-04T05:04:00.376Z,2023-03-04T05:12:32Z,4069860651,213,1.3,4069860641,56,Back,4069860643,140,26.7,4069860639,3,,4069860649,212,12.7,4069860647,141,100.0,,,,,,,a60hpbc5lfxj5cj82iadif622,D. Okamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842589,11,5,1,0,28,12tyw9yomy9n5cjd5po2ajx1q,1,73.6,-1.4,2023-03-04T05:04:01.062Z,2023-03-04T05:11:51Z,4069860683,233,13,4069860673,347,,4069860671,56,Right,,,,,,,,,,,,,,,,bj5k9pm3837dxwerp0vy94hgq,S. Fujiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842587,13,5,1,0,28,1f3ehp8p9yi8reamghry4p76t,0,26.4,101.4,2023-03-04T05:04:01.062Z,2023-03-04T05:04:02Z,4069860701,233,11,4069860669,347,,4069860667,56,Back,,,,,,,,,,,,,,,,a60hpbc5lfxj5cj82iadif622,D. Okamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842635,12,1,1,0,34,12tyw9yomy9n5cjd5po2ajx1q,1,73.9,0,2023-03-04T05:04:07.146Z,2023-03-04T05:04:10Z,4069860923,56,Right,4069860925,140,55.4,4069860919,107,,4069860927,141,5.8,4069860929,212,20.1,4069860931,213,2.9,,,,,,,dhqt17jw4t2yis8p6medgnluy,S. Ota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842647,13,1,1,0,37,12tyw9yomy9n5cjd5po2ajx1q,1,55.9,7.6,2023-03-04T05:04:10.154Z,2023-03-04T05:04:13Z,4069861019,140,38.7,4069861017,56,Back,4069861021,141,24.4,4069861023,212,21.4,4069861025,213,2.6,,,,,,,,,,bj5k9pm3837dxwerp0vy94hgq,S. Fujiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842671,14,1,1,0,40,12tyw9yomy9n5cjd5po2ajx1q,1,34.3,27,2023-03-04T05:04:12.890Z,2023-03-04T05:04:18Z,4069861157,213,2.1,4069861149,56,Back,4069861151,140,25.6,4069861153,141,48.7,4069861155,212,17.4,,,,,,,,,,7f7rlxtcm93i5p08kci7rzjkl,M. Fitzgerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842675,15,1,1,0,45,12tyw9yomy9n5cjd5po2ajx1q,0,24.9,55,2023-03-04T05:04:18.299Z,2023-03-04T05:13:09Z,4069861191,213,0.3,4069861185,140,69.1,4069861183,56,Center,4069861189,212,48.2,4069861187,141,73.9,4069861193,1,,4069861181,155,,,,,b67vtycwcw93v5z6zidzsej8p,R. Kojima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842685,14,1,1,0,49,1f3ehp8p9yi8reamghry4p76t,0,34.4,22.8,2023-03-04T05:04:21.929Z,2023-03-04T05:13:26Z,4069861263,213,0.7,4069861243,3,,4069861251,140,51.4,4069861259,212,23.8,4069861255,141,46.0,4069861247,56,Center,,,,,,,8cmqekmxeybrc8c9ml7rwdai2,S. Tanaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842695,16,1,1,0,51,12tyw9yomy9n5cjd5po2ajx1q,0,46.8,48.7,2023-03-04T05:04:24.283Z,2023-03-04T05:13:32Z,4069861321,213,1.2,4069861315,140,50.2,4069861313,56,Center,4069861311,3,,4069861317,141,61.8,4069861319,212,9.6,,,,,,,96dbf20tzfz2751lensfhchk9,T. Ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842701,15,49,1,0,53,1f3ehp8p9yi8reamghry4p76t,1,55.9,30.1,2023-03-04T05:04:26.376Z,2023-03-04T05:04:26Z,,,,,,,,,,,,,,,,,,,,,,,,,1bjh7t56w2jg6berm300782c5,H. Miyazawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842717,16,1,1,0,54,1f3ehp8p9yi8reamghry4p76t,1,59.8,24.7,2023-03-04T05:04:27.272Z,2023-03-04T05:13:38Z,4069861453,213,4.3,4069861441,140,55.1,4069861447,212,13.8,4069861445,141,5.8,4069861439,56,Right,,,,,,,,,,1bjh7t56w2jg6berm300782c5,H. Miyazawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842723,17,1,1,0,57,1f3ehp8p9yi8reamghry4p76t,1,59,3.8,2023-03-04T05:04:30.584Z,2023-03-04T05:04:32Z,4069861477,141,0.8,4069861479,212,7.5,4069861481,213,6.0,4069861475,140,65.9,4069861473,56,Right,,,,,,,,,,7de6u27l0rm2y8aigjr2i0ru,T. Kaneko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
