id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2547607317,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-05-13T04:06:19.049Z,2023-05-13T04:06:18Z,4271735327,194,80qq4sxv5janjrt2in0qmgd79,4271735317,30,"6vuryavylbdnwabe4g5yvgzxl, 3rgupzc2gcdg8nyzd78xe98no, 9lji59sodapv92xyenwbavr3d, 80qq4sxv5janjrt2in0qmgd79, czkrfln85uvtb58cau4kz5m5m, 5c2ydgdh3f14lya3spj89m0gl, d3aj0s7ozmpdbdtub8s5qo962, 20ckxhxmd6h2jwv1yqi243h05, 33w6jl3u5nonnwk29nrhv9xhx, bslybqpvcs3eosivpxaeksgyx, 1dta13hd6ajv6vw1c4sxmdzvt, 94zthueiu6uxw1ioe47x6pld6, 2su3ef2yrvsyy64fx6oyyc9g5, 7vmiyl7acw24rtxq2ev6m4up6, 4my8wr7hymw527avppuiojp5g, 7mtych33i5kan7ngc4kj17x7t, 9lsqinppc86dsw2sitt58lwph, 4g6mmxgmihcoe8t2y3q3al1t6",4271735329,197,11401,4271735321,59,"38, 32, 16, 19, 4, 33, 24, 7, 13, 10, 8, 3, 9, 14, 15, 17, 22, 23",4271735323,130,17,4271735319,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4271735331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4271735325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547607405,1,34,16,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-05-13T04:10:08.316Z,2023-05-13T05:05:40Z,4271736123,130,4,4271736119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4271736121,59,"1, 19, 15, 16, 23, 3, 5, 22, 10, 11, 14, 8, 18, 25, 26, 27, 28, 33",4271736129,197,14622,4271736117,30,"71nmf5ieohq83rj1ah9j94a21, 1ma8gce4os15aa6p7u24dlj3d, 666fx7wetbxy3ri2hlfdn8ph, c1bmg5i86q1qye115yyz4qvah, f2mpyljll9npb71owp1tlzy7d, 8ms57twka5pm6och4fndo2r8q, 83wyz3tyibxx8t5bnvtedpjo5, 2fpbnagisq2zqfordsc9fkjfu, 22imd9on624739u8fym5n640l, 3bl0mhzv53z17qkbezviavg0l, 196dypy60x08uuc7cltabdcr9, 9alwmyk45xpxb6sp2nto9iod1, 9z3v28ssd5e50tt745583obth, 3eyq5jpfdsk0zp1hhmono2wgl, 62v83t4tsl4zt6kquo32vqay1, go7p2ijq9w10e8k9q4wz6c5w, 75oypu20gsn9naz102zs9239w, 9whpm2j0zai890ysmcre6lpzp",4271736127,194,83wyz3tyibxx8t5bnvtedpjo5,4271736125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4271736131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547610765,2,32,1,0,0,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-05-13T05:03:34.514Z,2023-05-16T16:14:18Z,4271751321,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547610763,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-05-13T05:03:34.514Z,2023-05-13T05:03:34Z,4271751319,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547610769,3,1,1,0,1,89wr6p2dkh7wjxtbwhtsruu02,1,50.1,50,2023-05-13T05:03:35.614Z,2023-05-16T16:24:24Z,4271751335,140,28.9,4271751341,213,3.1,4271751343,279,S,4271751339,212,22.3,4271751337,141,50.9,4271751333,56,Back,,,,,,,bslybqpvcs3eosivpxaeksgyx,T. Morishima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547610773,4,1,1,0,4,89wr6p2dkh7wjxtbwhtsruu02,1,30.5,47.8,2023-05-13T05:03:38.983Z,2023-05-13T05:03:44Z,4271751359,56,Center,4271751357,155,,4271751365,212,49.3,4271751367,213,0.4,4271751361,140,73.1,4271751363,141,78.2,4271751369,1,,,,,czkrfln85uvtb58cau4kz5m5m,H. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547610777,5,1,1,0,10,89wr6p2dkh7wjxtbwhtsruu02,1,72.3,71.7,2023-05-13T05:03:44.710Z,2023-05-16T16:26:10Z,4271751395,213,5.7,4271751385,3,,4271751387,56,Center,4271751597,210,15,4271751393,212,8.4,4271751391,141,65.4,4271751389,140,79.2,,,,33w6jl3u5nonnwk29nrhv9xhx,N. Ben Khalifa,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547610779,6,15,1,0,12,89wr6p2dkh7wjxtbwhtsruu02,1,91.5,64.2,2023-05-13T05:03:47.511Z,2023-05-16T16:26:10Z,4271751617,147,56.7,4271751561,72,,4271751615,146,96.5,4271751601,78,,4271751603,29,,4271751401,22,,4271751403,64,,4271751607,55,5,1dta13hd6ajv6vw1c4sxmdzvt,T. Kawamura,,4271751405,56,Center,4271751667,233,3,4271751611,102,50.6,4271751613,103,5.7,,,,,,,,,,,,,,,,,,,,,,
2547610781,3,10,1,0,13,bbt5nqwufsne7r0zfa6pvpmfa,1,2.4,47.2,2023-05-13T05:03:47.611Z,2023-05-16T16:26:21Z,4271751415,173,,4271751421,56,Back,4283725537,178,,4271751545,183,,4283725539,376,,4271751569,233,6,,,,,,,71nmf5ieohq83rj1ah9j94a21,D. Maekawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549878171,915,3,1,0,16,89wr6p2dkh7wjxtbwhtsruu02,0,77.7,96.5,2023-05-13T05:03:50.762Z,2023-05-16T16:26:48Z,4283727147,56,Left,4283727149,286,,4283727151,465,,4283727153,467,83wyz3tyibxx8t5bnvtedpjo5,,,,,,,,,,,,,9lji59sodapv92xyenwbavr3d,T. Shichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
