id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/12/value,qualifier/17/value
2547184675,1,34,16,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-05-12T09:14:43.597Z,2023-05-12T09:14:43Z,4269438209,59,"27, 5, 17, 37, 4, 3, 39, 10, 9, 8, 11, 15, 22, 33, 35, 41, 44, 49",4269438207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4269438211,130,8,4269438215,194,6w26g83j8eztacwrfa4ilvh05,4269438213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4269438219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4269438217,197,5038,4269438205,30,"eu0wama1jzd9er063es4p3b9x, 1vodims2kc52x1ew6acbj0wr9, 5rqe1mdhd56mpjkas654hby3u, 8k94yjnb64nf994hbmpaiieol, 406wrekzsvvqqo9jgv2lk1d5, 6w26g83j8eztacwrfa4ilvh05, 1zckxb4ugqeuc50tggo5cohyh, 80q72r0bt6k15fgvbfvs3llud, cm1x3wpag38ievovx1azsp9lh, 1t02yvbqtxoq0xlil3o88bgx6, 5tkfqt3adzkyb7rxjdni12vh1, 3o1ca5xdl2d20r1cwx3r548gl, elwh2hvzlbju52obpqmh39vxl, anzbyfw36kbait6hvlzornuok, 2otou563dkse1ojis549sw1rd, cam8s80ouxcw7900f0qiwoacq, cxmuf2ztbfbfw5p2fmr7uzbvt, dqdflrd7ox6ord50i2qwu0416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547194735,1,34,16,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-12T09:39:25.421Z,2023-05-12T09:39:25Z,4269491427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4269491429,194,1zajsokdkegr6kia745i27omi,4269491431,197,14937,4269491423,59,"99, 13, 2, 6, 3, 7, 14, 16, 33, 41, 23, 1, 8, 10, 11, 17, 20, 31",4269491425,130,4,4269491421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4269491433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4269491419,30,"88d8c6vvmo62h0lnbbo1t9i39, 5olu4s7w7nn9wy1219grd6z8p, a2lga77euo3am1ltgxstfnpp1, edb7mugbc0u6ke0rk67po87o5, awckr8ajqo4vstzghb59rkwkp, 17l12ufk09zlrm2w8xbxxtl1x, 1zajsokdkegr6kia745i27omi, e8vzy09iw6420p567rmrcj3vu, 3h1911weob775j3n3r77gjlrd, 3o2up44nguwivaltm6d2hdhw5, gseaoyujse4xe4xwhlsq6sq1, 8psi8rr64yq7ovzua6ekiznpx, dmg39rv08bjlkilby5aycpsve, 520gf81j9admw2zeib75x3v11, 1cfomybhr42ofsatnkgo9w3x1, 1m492fb1pd8amxhgextvoonsa, 2ingh41ma0grign63tygcgaok, 3l6ixflqq5g8ivhj7x9emh8t1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547208505,2,32,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-12T10:34:07.941Z,2023-05-12T10:34:08Z,4269562663,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547208511,2,32,1,0,0,e90fnsgtnamze3yssxpg392eb,1,0,0,2023-05-12T10:34:07.941Z,2023-05-12T10:34:10Z,4269562687,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547208533,3,1,1,0,0,5pol481515zvirmk6t00kerbc,1,50.1,50,2023-05-12T10:34:08.520Z,2023-05-12T10:34:12Z,4269562775,213,3.2,4269562771,141,49.1,4269562769,140,28.5,4269562767,56,Back,4269562773,212,22.7,4269562777,279,S,,,,,,,1zajsokdkegr6kia745i27omi,Y. Wakizaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547208553,4,1,1,0,4,5pol481515zvirmk6t00kerbc,1,28.5,49.1,2023-05-12T10:34:12.314Z,2023-05-12T10:34:15Z,4269562853,141,2.6,4269562857,213,5.5,4269562859,1,,4269562855,212,43.1,4269562847,155,,4269562849,56,Right,4269562851,140,56.4,,,,17l12ufk09zlrm2w8xbxxtl1x,S. Kurumaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547208559,5,1,1,0,7,5pol481515zvirmk6t00kerbc,0,56.4,2.6,2023-05-12T10:34:15.162Z,2023-05-12T10:34:16Z,4269562895,213,1.4,4269562891,141,23.4,4269562885,155,,4269562887,56,Center,4269562889,140,58.9,4269562893,212,14.4,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547208565,3,49,1,0,8,e90fnsgtnamze3yssxpg392eb,1,38.6,69.6,2023-05-12T10:34:16.240Z,2023-05-12T10:34:16Z,,,,,,,,,,,,,,,,,,,,,,,,,80q72r0bt6k15fgvbfvs3llud,K. Higashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547208583,4,1,1,0,8,e90fnsgtnamze3yssxpg392eb,0,38.6,69.6,2023-05-12T10:34:16.552Z,2023-05-12T10:34:21Z,4269563023,141,95.4,4269563029,1,,4269563027,213,0.4,4269563017,157,,4269563019,56,Left,4269563021,140,77.2,4269563025,212,44.2,,,,80q72r0bt6k15fgvbfvs3llud,K. Higashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547208597,6,43,1,0,14,5pol481515zvirmk6t00kerbc,1,0,0,2023-05-12T10:34:21.994Z,2023-05-12T10:37:47Z,4269569149,144,59,4269563089,56,Back,,,,,,,,,,,,,,,,,,,88d8c6vvmo62h0lnbbo1t9i39,N. Kamifukumoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
