id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value
2544880399,1,34,16,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-05-07T02:48:38.812Z,2023-05-07T03:07:35Z,4257137933,130,19,4257137931,59,"38, 11, 24, 4, 33, 19, 10, 7, 20, 13, 8, 3, 14, 16, 17, 22, 23, 32",4257167519,194,80qq4sxv5janjrt2in0qmgd79,4257137927,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4257137943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257137937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257137941,197,5035,4257137925,30,"6vuryavylbdnwabe4g5yvgzxl, 4ps37rz4pj6015y18vgktyynd, d3aj0s7ozmpdbdtub8s5qo962, czkrfln85uvtb58cau4kz5m5m, 5c2ydgdh3f14lya3spj89m0gl, 80qq4sxv5janjrt2in0qmgd79, bslybqpvcs3eosivpxaeksgyx, 20ckxhxmd6h2jwv1yqi243h05, cqhh4d51iamhrd8flzu1rlz9x, 33w6jl3u5nonnwk29nrhv9xhx, 1dta13hd6ajv6vw1c4sxmdzvt, 94zthueiu6uxw1ioe47x6pld6, 7vmiyl7acw24rtxq2ev6m4up6, 9lji59sodapv92xyenwbavr3d, 7mtych33i5kan7ngc4kj17x7t, 9lsqinppc86dsw2sitt58lwph, 4g6mmxgmihcoe8t2y3q3al1t6, 3rgupzc2gcdg8nyzd78xe98no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544881269,1,34,16,0,0,ydlnn8jofdkseegh42az3fpt,1,0,0,2023-05-07T02:51:23.178Z,2023-05-09T17:19:12Z,4257142517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257142509,59,"1, 29, 16, 30, 20, 3, 8, 6, 27, 11, 9, 7, 14, 18, 19, 26, 28, 31",4257142505,30,"bpzxb7f450i503nsl4wj1xk2x, 76l36yrzqri48jtz5idaxjyzt, 4ls5lzyiwwab2l2ou5an46ew9, 6q6m86e4vt46tk3bzgfvaq904, e7eqz8gzhxdfdkiwbd8dkrz3e, 2ati8vm9atqgr7pw57olfrr2t, 74nsqkyskico0dzgtxjheka5m, 3qfugmdyrphh09ktbhqqid3p, 4lu1bc2hlxs0glhnc3nlek4k4, bc3t2v3tt6phv43c5v89u5ckp, 5dvxh6xzjxetb0lx04uxztb6d, 93daey7ftdnw8cpsdzkmtamdx, 8ml40qwf2tnqc72oy6zo68ic5, 1xnz11whvodane2pc9dj1jphx, 16x840yb71ztygvti3yz69l1x, 19j5ltb9sbtcplm5q05xt2xas, 6vsv85w7h0972blejy2yl0844, emw5plh1tvy8dc86odc9xmprd",4257142515,197,10309,4257142513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257142511,130,2,4257163603,194,2ati8vm9atqgr7pw57olfrr2t,4257142507,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544899409,2,32,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-05-07T04:02:01.262Z,2023-05-09T17:10:02Z,4257240361,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544899419,2,32,1,0,0,ydlnn8jofdkseegh42az3fpt,1,0,0,2023-05-07T04:02:01.262Z,2023-05-07T04:02:02Z,4257240391,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544899423,3,1,1,0,0,89wr6p2dkh7wjxtbwhtsruu02,1,49.9,50.3,2023-05-07T04:02:01.362Z,2023-05-07T04:02:05Z,4257240441,140,29.4,4257240449,279,S,4257240445,212,21.6,4257240443,141,53.3,4257240439,56,Back,4257240447,213,3.0,,,,,,,bslybqpvcs3eosivpxaeksgyx,T. Morishima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544899449,4,1,1,0,4,89wr6p2dkh7wjxtbwhtsruu02,0,29.1,45.1,2023-05-07T04:02:05.339Z,2023-05-07T04:07:09Z,4257240531,56,Center,4257240539,213,0.5,4257240535,141,76.3,4257240533,140,70.5,4257240529,155,,4257240541,1,,4257240537,212,48.4,,,,czkrfln85uvtb58cau4kz5m5m,H. Araki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544899443,3,44,1,0,8,ydlnn8jofdkseegh42az3fpt,1,34.2,31.9,2023-05-07T04:02:09.999Z,2023-05-09T17:12:36Z,4257240519,285,,4257240517,56,Back,4257240581,233,5,,,,,,,,,,,,,,,,6q6m86e4vt46tk3bzgfvaq904,M. Shigemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544899455,5,44,1,0,8,89wr6p2dkh7wjxtbwhtsruu02,0,65.8,68.1,2023-05-07T04:02:10Z,2023-05-07T04:07:11Z,4257240555,286,,4257240553,56,Center,4257240567,233,3,,,,,,,,,,,,,,,,cqhh4d51iamhrd8flzu1rlz9x,P. Sotiriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544900841,53,61,1,0,8,ydlnn8jofdkseegh42az3fpt,1,33.2,33.4,2023-05-07T04:02:10.258Z,2023-05-09T17:12:40Z,4257248679,56,Back,,,,,,,,,,,,,,,,,,,,,,6q6m86e4vt46tk3bzgfvaq904,M. Shigemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544899463,6,43,1,0,9,89wr6p2dkh7wjxtbwhtsruu02,1,0,0,2023-05-07T04:02:10.970Z,2023-05-07T04:07:06Z,4257240599,213,5.8,4257240591,56,Center,4257240593,140,78.2,4257240595,141,70.5,4257240589,168,0,4257240597,212,8.9,4257240587,3,0,4257248049,144,1,cqhh4d51iamhrd8flzu1rlz9x,P. Sotiriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
