id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2548435861,1,34,16,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-05-14T03:28:01.035Z,2023-05-14T04:36:58Z,4276162601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276162595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276162597,194,a6mikq97x6ldarn4j7i16gatx,4276162587,30,"jywyirljzj827gq6pkgb34k5, dg1wh53t8qyb8l2dkeibtnkkp, 8u07m36pydqgg68citu7pilii, ecdovu3igm2rwrf6mwannhwmi, dnwwsdy1tfz0o7t0odssfstsl, 4q09fnw7soqo8q1u50wfde76d, a6mikq97x6ldarn4j7i16gatx, 5c3w3zdu6bojrfd8gt8u35o7p, 4o4vrnjw7c3g7j5aw5utyw1cl, 1enckn6zmewa3nupsm95mgkb9, dnvqxvpw9c21y0mb2wdxyua51, 96c2ojt4sgo4gfxs7vt1qfxed, b9q7re294ul5aq3jxch5oomol, an0ry25y0g1r231rva3xbgs15, 3g0uy8yhevhod17kgrtho63th, iu0xfgqmdqhn8vpgbqwpbnit, 4wafzcrbcql65swyc2rsiilt5, 3a9pz8paxic5ggg7qfjmy8xlg",4276162591,59,"1, 34, 17, 13, 4, 2, 15, 6, 77, 10, 18, 3, 5, 7, 9, 16, 24, 42",4276162589,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4276162599,197,11924,4276162593,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548437957,1,34,16,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-05-14T03:33:46.024Z,2023-05-14T04:27:26Z,4276176317,194,51xel26o3uzvjdbcywcunmu3t,4276176311,59,"29, 22, 2, 14, 55, 5, 30, 21, 37, 40, 33, 3, 8, 13, 17, 25, 31, 32",4276176321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4276176307,30,"8i7aw5yhze1xiw2d2g5wax91w, 15b53vkcltdxtbt1zt4peswd1, 12lc6edtue24savqtmbkyu7rp, cs1e2ou4h94utke3qdy14fiay, cqjhp31uh46s2jfedo48h86ol, cvobb9nkum41ldfnfszy42xka, 8shr0ghxn6d8uoiiideh3rmne, 4mnxvvl5unk1t8k2lkac3yor9, 4c03ukpq8hq69ykgcypq5jf8p, 51xel26o3uzvjdbcywcunmu3t, 5rilbggz566o3ixxga08zimdx, 21urhapqadraths78se3rh0ph, 22ad41qtjnxsdo3piosg6mn6d, 412cup9h8jkgivwiroq8mpfjd, 2gwfsjoj9diiuxr1kdga93mc5, 6dtp194pewnyuhwkxcn2xpf8q, 950svxoswapg0ws25uo7jy2nd, 7xvwcat6dce9y9obgc8e2s1k9",4276176315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4276176309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4276176313,130,2,4276176319,197,11922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455905,2,32,1,0,0,9s2g5k3dlmfii452t8edaeozh,1,0,0,2023-05-14T04:35:23.947Z,2023-05-18T17:42:57Z,4276279563,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455903,2,32,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-05-14T04:35:23.947Z,2023-05-14T04:35:24Z,4276279559,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455919,3,1,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,50,50,2023-05-14T04:35:24.047Z,2023-05-14T04:35:28Z,4276279677,56,Back,4276279681,141,76.6,4276279683,212,25.9,4276279687,279,S,4276279685,213,2.4,4276279679,140,32.4,,,,,,,1enckn6zmewa3nupsm95mgkb9,Mateus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455933,4,1,1,0,4,18c8ibslzapz40lfb8y5vygcs,0,35.1,82.3,2023-05-14T04:35:28.327Z,2023-05-14T04:35:31Z,4276279767,155,,4276279779,1,,4276279773,141,85.4,4276279775,212,36.7,4276279769,56,Left,4276279777,213,0.1,4276279771,140,70.0,,,,ecdovu3igm2rwrf6mwannhwmi,H. Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455965,4,61,1,0,9,9s2g5k3dlmfii452t8edaeozh,0,23.7,15.9,2023-05-14T04:35:33.366Z,2023-05-14T04:35:41Z,4276279927,56,Back,,,,,,,,,,,,,,,,,,,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455967,5,5,1,0,10,18c8ibslzapz40lfb8y5vygcs,1,72.6,101.3,2023-05-14T04:35:34.842Z,2023-05-14T04:35:36Z,4276279957,347,,4276279953,56,Left,4276279989,233,5,,,,,,,,,,,,,,,,ecdovu3igm2rwrf6mwannhwmi,H. Fujii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548455971,5,5,1,0,10,9s2g5k3dlmfii452t8edaeozh,0,27.4,-1.3,2023-05-14T04:35:34.842Z,2023-05-14T04:57:39Z,4276279965,56,Back,4276280013,233,5,4276279967,347,,,,,,,,,,,,,,,,,cqjhp31uh46s2jfedo48h86ol,N. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548456035,6,1,1,0,21,18c8ibslzapz40lfb8y5vygcs,1,78.4,100,2023-05-14T04:35:45.240Z,2023-05-14T04:35:46Z,4276280359,56,Left,4276280365,212,9.6,4276280361,140,79.2,4276280367,213,4.8,4276280357,107,,4276280363,141,87.4,,,,,,,8u07m36pydqgg68citu7pilii,R. Morishita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
