id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2511417233,1,34,16,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-02-24T08:42:40.421Z,2023-02-24T09:55:41Z,4051751527,197,12765,4051751517,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4051751521,130,19,4051751525,194,8alc0ohhvwzzpv25jxnicfmqd,4051751523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4051751529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4051751519,59,"1, 3, 26, 22, 4, 2, 88, 20, 18, 17, 13, 6, 7, 8, 9, 10, 11, 23",4051751515,30,"5ai6500e7oug5v5hybnkfzh7t, 3tx6890pt4hfaz45foj1nhey1, 9w0brh9x5ez6yoiinh50g6y5m, 8alc0ohhvwzzpv25jxnicfmqd, 1acnyk8g437ayer0m4e1331pm, etsgyfejyka71co7e2xeq6r55, docsi872whx44eedrczqua385, ec0zzrcibmg2r6apg8a0c81cl, 4o71xxq6qdkhug58a073fxega, 7skv5ydauf4i86hywekivt7je, 3mqvpqnv1yixpclmxsvqfoxec, 63x2f9goh9q2g6ql4r0ll4w5x, 978z8ejc2jneguyb6yq430g5x, c3co8yb1kyhzxhl5rs55vi3f9, dsf12u0bjuxj3n0s4cvt8b9t6, 2lwcix6j3nphfos61pidoxuj9, 2rdx221tb304urcypk3y5nkk5, aua94lt20qwged96rn4hzz3rp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417511,1,34,16,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-02-24T08:46:32.049Z,2023-02-24T09:58:44Z,4051753187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4051753185,130,8,4051753191,197,14642,4051753181,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4051753193,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4051753183,59,"1, 3, 6, 25, 2, 5, 33, 4, 18, 20, 31, 7, 10, 15, 21, 22, 27, 42",4051753179,30,"a1upg2vdzbgl4y7tr2grer3kl, br87k809f9zu9av8cwkwtkhgq, 9uj9vy1lj10nqjncq6d2rd39x, 9gqymee6r8xdj6jbvcc6mahg5, el9hmsmc1zz7yie7dedfaac8a, 3bhzupjskx9ytfgwhfiqg1tqt, esfnlp56d5kfvxy9518d91gd0, 19m4x5k36kaujvze82qp1ju8l, dgex06nxjy9fdvc12o8keg99l, 31xdzeykcgfe0vyel250sd0q1, bv59fhjhp11derlzbyro5mkgk, 9zr0kq2pw4eua1tqo3vsvd9wq, 2o6pujv6wvjonzi16w48nf8q1, 8mksoz3513wprt2hhu8c9vo45, a8adq7dy6i0icdu0j2b6jm2g9, 19pcq7pd8fq57z1tgec16o79x, 8lfgk7eqdptu5o53n656vxck5, clp5l55cry7s1afopdybbedey",4051753189,194,3bhzupjskx9ytfgwhfiqg1tqt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511428349,2,32,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-02-24T10:03:26.783Z,2023-02-24T10:03:26Z,4051808797,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511428363,2,32,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-02-24T10:03:26.783Z,2023-02-28T07:02:01Z,4051808827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511428401,3,1,1,0,1,ctm9as17rs95yhuz7qf53wfke,1,50.1,49.9,2023-02-24T10:03:27.883Z,2023-02-28T07:01:53Z,4051808971,141,59.0,4051808975,213,2.8,4051808973,212,19.2,4051808967,56,Back,4051808977,279,S,4051808969,140,32.8,,,,,,,dgex06nxjy9fdvc12o8keg99l,Koki Ogawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511428435,4,1,1,0,3,ctm9as17rs95yhuz7qf53wfke,1,31.4,56.6,2023-02-24T10:03:30.427Z,2023-02-28T07:07:52Z,4051809155,56,Center,4051809153,155,,4051809159,141,27.4,4051809163,213,5.8,4051809161,212,42.3,4051809165,1,,4051809157,140,67.0,,,,3bhzupjskx9ytfgwhfiqg1tqt,Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511428439,5,44,1,0,4,ctm9as17rs95yhuz7qf53wfke,1,73.4,20.1,2023-02-24T10:03:30.802Z,2023-02-24T12:39:56Z,4051809181,56,Right,4051809183,286,,4051809231,233,3,,,,,,,,,,,,,,,,esfnlp56d5kfvxy9518d91gd0,T. Kondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511428427,3,44,1,0,4,83d6z6wvkzs3dx9oy3mftixow,0,26.6,79.9,2023-02-24T10:03:30.803Z,2023-02-24T10:14:15Z,4051809213,233,5,4051809123,56,Back,4051809125,285,,,,,,,,,,,,,,,,,9w0brh9x5ez6yoiinh50g6y5m,T. Hata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511431917,87,1,1,0,4,ctm9as17rs95yhuz7qf53wfke,0,75.8,20.2,2023-02-24T10:03:30.883Z,2023-02-24T12:31:56Z,4051828199,3,,4051828209,213,0.6,4051828207,212,1.7,4051828205,141,21.7,4051828201,56,Center,4051828203,140,77.1,,,,,,,esfnlp56d5kfvxy9518d91gd0,T. Kondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511428437,4,61,1,0,5,83d6z6wvkzs3dx9oy3mftixow,1,20.3,88,2023-02-24T10:03:32.040Z,2023-02-24T10:14:58Z,4051809171,56,Back,,,,,,,,,,,,,,,,,,,,,,9w0brh9x5ez6yoiinh50g6y5m,T. Hata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
