id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2537755039,1,34,16,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-04-23T05:53:26.891Z,2023-04-23T05:53:27Z,4212209877,30,"2mlhzuv74jc84rckx21ctofd, 4xg5pywcbv3pho0idx326s7e2, 76x9dtsoan0d48m4h6gjr8bca, ejiqb92493nx7l8wifxbw5hp1, 8d2l4zwaz145adziclzc764t1, 23n7wb0am537w2rutg074gpg5, i3mv8ja69kgrfm3leprosfe1, 2shd4ptk7rfpalkpnrfodgded, 4g3jv6nwzqmv6tow2stbtrt1x, 8sjwzm5s22rk4wxhbpx099jx0, ewm5o6wx18ujlzhyai425ak15, bnejmblsp0svuw4x3ngkgwonp, 3erz4yrlw2m15mxxocwq31g16, cts4m629mfz3knbeyri4021n9, 7vo5101vnsyz90015firvjzdh, 7yt16wh1vrezxyfbvtrpn78mi, 5426us5htztnint9qxlhfugkq, co2jr63m3drr3y0ww8ytfexw4",4212209879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4212209891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212209885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212209883,130,4,4212209889,197,5066,4212209887,194,2shd4ptk7rfpalkpnrfodgded,4212209881,59,"99, 3, 24, 18, 5, 2, 23, 7, 11, 28, 47, 1, 6, 9, 10, 13, 34, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537755507,1,34,16,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-04-23T05:57:38.350Z,2023-04-23T06:58:07Z,4212213067,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4212213069,59,"49, 26, 6, 25, 2, 27, 33, 20, 18, 10, 7, 4, 13, 17, 19, 21, 41, 50",4212213083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212213075,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212213081,197,7606,4212213079,194,9gqymee6r8xdj6jbvcc6mahg5,4212213071,130,8,4212213065,30,"70d7ep81lnb6m2flci6s8s5w5, 8bxd61gpgwi9cat8awx4h0n4k, 9uj9vy1lj10nqjncq6d2rd39x, 9gqymee6r8xdj6jbvcc6mahg5, el9hmsmc1zz7yie7dedfaac8a, 8lfgk7eqdptu5o53n656vxck5, esfnlp56d5kfvxy9518d91gd0, 31xdzeykcgfe0vyel250sd0q1, dgex06nxjy9fdvc12o8keg99l, 2o6pujv6wvjonzi16w48nf8q1, 9zr0kq2pw4eua1tqo3vsvd9wq, 19m4x5k36kaujvze82qp1ju8l, 201ujggt4gi1swlx1c79byig9, cluxma8unfkiqseiqfunk6ymt, f10fu0944yj2tr90vqz88yqga, a8adq7dy6i0icdu0j2b6jm2g9, ljr2286geelctnfxzkxukmi1, 6m636zjfcq36y7r9hx4c4bi6t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537772991,2,32,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-04-23T07:03:13.470Z,2023-04-23T07:03:13Z,4212320407,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537772993,2,32,1,0,0,92br3632xgmc25jvr0jesfvl6,1,0,0,2023-04-23T07:03:13.470Z,2023-04-26T14:51:35Z,4212320415,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773001,3,1,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,50.1,49.7,2023-04-23T07:03:13.570Z,2023-04-23T07:03:23Z,4212320453,279,S,4212320447,141,47.5,4212320449,212,8.7,4212320443,56,Back,4212320451,213,3.3,4212320445,140,41.9,,,,,,,dgex06nxjy9fdvc12o8keg99l,Koki Ogawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773011,4,1,1,0,2,ctm9as17rs95yhuz7qf53wfke,0,43.4,47.9,2023-04-23T07:03:16.277Z,2023-04-23T07:03:19Z,4212320517,212,41.1,4212320519,213,5.7,4212320513,140,75.9,4212320509,155,,4212320511,56,Right,4212320521,1,,4212320515,141,14.3,,,,9gqymee6r8xdj6jbvcc6mahg5,H. Mita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773019,3,1,1,0,5,92br3632xgmc25jvr0jesfvl6,0,23,92.7,2023-04-23T07:03:18.767Z,2023-04-23T07:03:20Z,4212320561,212,12.1,4212320555,56,Back,4212320559,141,100.0,4212320553,3,,4212320557,140,33.0,4212320563,213,0.5,,,,,,,76x9dtsoan0d48m4h6gjr8bca,K. Kurokawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773025,4,5,1,0,6,92br3632xgmc25jvr0jesfvl6,0,29.4,101.6,2023-04-23T07:03:20.307Z,2023-04-23T07:03:23Z,4212320587,347,,4212320585,56,Back,4212320639,233,5,,,,,,,,,,,,,,,,76x9dtsoan0d48m4h6gjr8bca,K. Kurokawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773033,5,5,1,0,6,ctm9as17rs95yhuz7qf53wfke,1,70.6,-1.6,2023-04-23T07:03:20.307Z,2023-04-23T07:50:34Z,4212320619,347,,4212320617,56,Right,4212320635,233,4,,,,,,,,,,,,,,,,9gqymee6r8xdj6jbvcc6mahg5,H. Mita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537773075,6,1,1,0,16,ctm9as17rs95yhuz7qf53wfke,1,69.2,0,2023-04-23T07:03:30.004Z,2023-04-23T07:03:33Z,4212320835,141,16.7,4212320829,107,,4212320831,56,Right,4212320833,140,86.6,4212320841,1,,4212320839,213,0.6,4212320837,212,22.0,,,,8bxd61gpgwi9cat8awx4h0n4k,K. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
