id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2514845175,1,34,16,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-03-04T05:11:09.929Z,2023-03-04T06:24:33Z,4069875423,194,4seh91gn4cj2l3x7kg19duqxh,4069875419,130,8,4069875413,30,"7lxjfpbed6rmm2qmzs6r1c2j9, 4seh91gn4cj2l3x7kg19duqxh, 7izhszqmb1a9z5na5e0utnc6i, 3ihaypy0xs7cpw7ij61qislat, 5fglqrb2jo1ideuag4pjit9sl, 6gzt9s90prbrhsw4t72vb4jx1, a2ggooyqi2s1berhxtm75j5qt, b5nc0tgc33wklhsekw3jklylm, da5nt2kexuabduzu4qqxf09ud, do6zvquhc4udqtp900l1cid0q, 1pcyox1b50pxufww0v07c5boq, cqclwglpzg5flou0r0x3lm21h, 4pqi5vt820333t5zsj2refc2d, 2mfunwzltzdnmzlcjyvx752i, a1uzi9vgpfy7qo1eay243dsk5, 8wnmymj8du9xj1jhp90qs366s, eo5kfco94g7az5x9dn2mtr78q, 2pp6fnkqy9gi525viea5c9ene",4069875425,197,4167,4069875415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4069875427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4069875421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4069875417,59,"1, 2, 15, 19, 28, 5, 10, 3, 30, 8, 21, 4, 9, 12, 14, 25, 26, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514845211,1,34,16,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-03-04T05:11:18.151Z,2023-03-04T06:01:22Z,4069875587,59,"21, 16, 6, 25, 22, 24, 11, 17, 7, 9, 19, 3, 5, 8, 20, 29, 31, 41",4069875591,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4069875597,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4069875583,30,"rwrgxpcw0fbw23nmrol7w0d1, a48j66n8bzz6ffcsyiodbfwq2, 9lx0ga5gyyydtll2lykm496fp, c0462ainildhz7zmyosnafmc5, cswf4egr4vc9p1mcfdhlfj8id, d5ohcms1wnysq8ydfrbbfhrvu, ehnhef906i6z4e7hn7ae1p68l, 5rojh6x1n0mshbzfhcjramn6d, 1y7418qkypc0tg1fpx0anycfe, 7wg0d34b0cdh7fxgetfgqs8np, 6i35vaig8vo8uu549elm5kul1, a5bv94qfazsluavgaoxrys0rt, 9qugefy6toogpl37zi90s9uy1, 77487qauk9fkzlesgze21odsl, 57140tg9gdrk4iqqhxbfomjmx, 14h0iqf7xj9ra1vqiq0o9zc2x, bg6f1chwq529zvdu7zcsz68r9, 79pu8sflam8hqbmlckw8o0huy",4069875595,197,5046,4069875589,130,2,4069875593,194,5rojh6x1n0mshbzfhcjramn6d,4069875585,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514863473,2,32,1,0,0,3vfso415vj7uitnunviuzdyg3,1,0,0,2023-03-04T06:05:11.016Z,2023-03-08T20:49:52Z,4069969723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514863459,2,32,1,0,0,90cc40yau7yv6n8r4xs361ofd,1,0,0,2023-03-04T06:05:11.016Z,2023-03-04T06:05:11Z,4069969649,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514863499,3,1,1,0,0,90cc40yau7yv6n8r4xs361ofd,1,50.1,50,2023-03-04T06:05:11.116Z,2023-03-04T06:05:15Z,4069969841,212,24.2,4069969837,140,27.1,4069969835,56,Back,4069969845,279,S,4069969839,141,48.2,4069969843,213,3.2,,,,,,,1y7418qkypc0tg1fpx0anycfe,S. Uejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514863505,4,1,1,0,3,90cc40yau7yv6n8r4xs361ofd,0,26.5,48.2,2023-03-04T06:05:14.909Z,2023-03-04T06:06:50Z,4069969871,212,45.2,4069969867,140,67.1,4069969869,141,70.3,4069969863,155,,4069969873,213,0.3,4069969865,56,Center,4069969875,1,,,,,cswf4egr4vc9p1mcfdhlfj8id,M. Jonjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514863515,3,1,1,0,6,3vfso415vj7uitnunviuzdyg3,0,27.1,14.1,2023-03-04T06:05:17.112Z,2023-03-04T06:05:17Z,4069969935,213,5.4,4069969929,140,36.0,4069969927,56,Back,4069969933,212,14.4,4069969925,3,,4069969931,141,0.0,,,,,,,4seh91gn4cj2l3x7kg19duqxh,H. Sakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514863517,4,5,1,0,6,3vfso415vj7uitnunviuzdyg3,0,39.2,-2,2023-03-04T06:05:17.882Z,2023-03-04T06:05:19Z,4069969981,233,5,4069969939,56,Back,4069969941,347,,,,,,,,,,,,,,,,,4seh91gn4cj2l3x7kg19duqxh,H. Sakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514863521,5,5,1,0,6,90cc40yau7yv6n8r4xs361ofd,1,60.8,102,2023-03-04T06:05:17.882Z,2023-03-04T06:16:28Z,4069969965,233,4,4069969957,56,Left,4069969959,347,,,,,,,,,,,,,,,,,cswf4egr4vc9p1mcfdhlfj8id,M. Jonjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514863593,6,1,1,0,19,90cc40yau7yv6n8r4xs361ofd,0,57.5,100,2023-03-04T06:05:30.221Z,2023-03-04T06:05:33Z,4069970353,141,91.4,4069970347,107,,4069970355,212,19.5,4069970351,140,74.8,4069970357,213,5.9,4069970349,56,Left,,,,,,,9lx0ga5gyyydtll2lykm496fp,R. Yamanaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
