id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,assist,qualifier/16/value
2518941449,1,34,16,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-03-12T05:08:52.554Z,2023-03-12T05:56:12Z,4091556611,130,4,4091556617,197,15337,4091556607,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4091556609,59,"1, 14, 44, 7, 4, 3, 10, 16, 9, 27, 17, 8, 11, 15, 19, 21, 24, 25",4091556619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091556613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091556615,194,6vkppmpdrvrujfp035ucpib8q,4091556605,30,"7j7c0l6xctuoauvg1tpni3ysp, 23ejdwwhvzovvi7jmek50dyol, 3qguujjae7411ruqhztrfojys, 6vkppmpdrvrujfp035ucpib8q, 82f876uvvivzq5hspoy6vpfmy, 12ndgojwoabbe9igew1ymcnop, dsg6lclcyu8gvsyyn6jnoii95, 1zoe7llh5n846ipo1i4oqse7d, 7csua09fwbprxmixvu567yvv9, 74ebuvw74k1iwcq5nafqijvxm, 5cwzgbnlpamgpiwjlgn61i8k5, 39ix1ftjgermlkf4i12c80u7d, 3dcmvl6ile1c42e7zzw4e139x, 493qw13cbziuyumsb1s01cufo, ez252u15v75qpotw00x7n3rhl, ch1ehgr9guufs2wmz5dbvmvo5, a9lb9wl7lf9lxpmwril1pyfop, ca4hme0jyql3gf06hmsi89ht6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518942609,1,34,16,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-03-12T05:11:30.755Z,2023-03-12T06:02:26Z,4091561587,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4091561591,130,19,4091561597,197,12765,4091561589,59,"1, 6, 3, 22, 16, 2, 88, 20, 11, 18, 13, 7, 9, 10, 23, 26, 29, 33",4091561595,194,8alc0ohhvwzzpv25jxnicfmqd,4091561599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091561593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091561585,30,"5ai6500e7oug5v5hybnkfzh7t, 63x2f9goh9q2g6ql4r0ll4w5x, 3tx6890pt4hfaz45foj1nhey1, 8alc0ohhvwzzpv25jxnicfmqd, dc5xn6dglh6hkc8bfvx2r9kut, etsgyfejyka71co7e2xeq6r55, docsi872whx44eedrczqua385, ec0zzrcibmg2r6apg8a0c81cl, 2rdx221tb304urcypk3y5nkk5, 4o71xxq6qdkhug58a073fxega, 3mqvpqnv1yixpclmxsvqfoxec, 978z8ejc2jneguyb6yq430g5x, dsf12u0bjuxj3n0s4cvt8b9t6, 2lwcix6j3nphfos61pidoxuj9, aua94lt20qwged96rn4hzz3rp, 9w0brh9x5ez6yoiinh50g6y5m, c7ukr0stxvyflr3xfod5zkpp0, cryy5r7qbbvl9mc6jr2u6c86i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955707,2,32,1,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-03-12T06:03:29.516Z,2023-03-12T06:03:30Z,4091625743,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955697,2,32,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-03-12T06:03:29.516Z,2023-03-31T17:21:44Z,4091625723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955725,3,1,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,50,50,2023-03-12T06:03:29.616Z,2023-03-12T13:47:21Z,4091625821,140,24.2,4091625827,213,2.6,4091625829,279,S,4091625823,141,73.2,4091625819,56,Back,4091625825,212,31.3,,,,,,,2rdx221tb304urcypk3y5nkk5,T. Elyounoussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955741,4,1,1,0,4,83d6z6wvkzs3dx9oy3mftixow,1,24.5,74.1,2023-03-12T06:03:34.232Z,2023-03-16T16:02:24Z,4091625895,141,96.2,4091625893,140,52.7,4091625897,212,33.2,4091625899,213,0.5,4091625891,56,Left,4091625901,1,,,,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955767,5,1,1,0,8,83d6z6wvkzs3dx9oy3mftixow,0,53,89,2023-03-12T06:03:37.812Z,2023-03-12T06:03:41Z,4091626009,212,48.2,4091626003,56,Center,4091626013,1,,4091626005,140,96.9,4091626011,213,6.0,4091626007,141,68.5,4091626001,155,,,,,3tx6890pt4hfaz45foj1nhey1,H. Ishihara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955769,3,52,1,0,13,6bus1cl4b6zdm93290r02o7cx,1,4.8,34,2023-03-12T06:03:42.765Z,2023-03-16T15:47:33Z,4100820551,377,,,,,,,,,,,,,,,,,,,,,,,7j7c0l6xctuoauvg1tpni3ysp,T. Wakahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955837,4,1,1,0,24,6bus1cl4b6zdm93290r02o7cx,0,15.1,28.5,2023-03-12T06:03:54.067Z,2023-03-12T06:03:56Z,4091626311,140,72.2,4091626307,199,,4091626317,213,6.3,4091626315,212,60.0,4091626313,141,26.7,4091626319,1,,4091626309,56,Center,,,,7j7c0l6xctuoauvg1tpni3ysp,T. Wakahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955845,6,1,1,0,26,83d6z6wvkzs3dx9oy3mftixow,0,24.2,72.3,2023-03-12T06:03:55.597Z,2023-03-16T15:48:10Z,4091626367,213,6.1,4091626361,140,42.9,4091626357,3,,4091626363,141,67.9,4091626359,56,Back,4091626365,212,19.9,,,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955859,5,1,1,0,30,6bus1cl4b6zdm93290r02o7cx,1,60.9,29.5,2023-03-12T06:04:00.201Z,2023-03-12T06:04:02Z,4091626423,3,,4091626435,213,5.9,4091626429,141,22.8,4091626425,56,Center,4091626427,140,71.3,4091626431,212,11.8,,,,,,,6vkppmpdrvrujfp035ucpib8q,S. Kawasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955873,6,1,1,0,33,6bus1cl4b6zdm93290r02o7cx,1,70.5,24,2023-03-12T06:04:03.058Z,2023-03-12T06:04:04Z,4091626475,212,18.8,4091626473,141,5.2,4091626469,56,Right,4091626471,140,57.4,4091626481,156,,4091626467,3,,4091626477,213,3.9,,,,7csua09fwbprxmixvu567yvv9,Patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955889,7,1,1,0,35,6bus1cl4b6zdm93290r02o7cx,1,56.1,3.8,2023-03-12T06:04:04.593Z,2023-03-12T06:07:39Z,4091626563,212,16.4,4091626559,140,40.9,4091626565,213,2.9,4091626561,141,9.2,4091626557,56,Back,,,,,,,,,,23ejdwwhvzovvi7jmek50dyol,K. Shirai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955891,8,1,1,0,36,6bus1cl4b6zdm93290r02o7cx,0,40.9,9.2,2023-03-12T06:04:06.482Z,2023-03-12T06:07:42Z,4091626587,155,,4091626597,213,0.1,4091626591,140,58.8,4091626589,56,Right,4091626595,212,18.9,4091626593,141,11.6,,,,,,,82f876uvvivzq5hspoy6vpfmy,R. Inoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518957201,39,49,1,0,37,83d6z6wvkzs3dx9oy3mftixow,1,24.8,74,2023-03-12T06:04:07.499Z,2023-03-12T06:08:15Z,,,,,,,,,,,,,,,,,,,,,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955901,7,1,1,0,38,83d6z6wvkzs3dx9oy3mftixow,0,25.5,80.8,2023-03-12T06:04:08.411Z,2023-03-12T06:04:09Z,4091626641,140,53.6,4091626647,213,0.3,4091626637,157,,4091626645,212,31.2,4091626643,141,95.7,4091626639,56,Left,4091626649,1,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955917,9,1,1,0,39,6bus1cl4b6zdm93290r02o7cx,0,45.8,7.1,2023-03-12T06:04:08.562Z,2023-03-16T16:02:06Z,4091626723,141,17.1,4091626715,3,,4091626725,212,18.5,4091626717,56,Right,4091626727,213,0.4,4091626721,140,62.2,,,,,,,23ejdwwhvzovvi7jmek50dyol,K. Shirai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518956001,8,1,1,0,40,83d6z6wvkzs3dx9oy3mftixow,1,32.2,74.1,2023-03-12T06:04:10.322Z,2023-03-16T16:02:08Z,4091627047,140,46.3,4091627053,213,5.7,4091627049,141,58.2,4091627043,3,,4091627051,212,18.3,4091627045,56,Back,,,,,,,ec0zzrcibmg2r6apg8a0c81cl,R. Nagaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518957489,45,50,1,0,42,83d6z6wvkzs3dx9oy3mftixow,1,41.2,49.8,2023-03-12T06:04:11.820Z,2023-03-16T16:02:12Z,4091634487,286,,4091634539,233,10,4091634485,56,Back,,,,,,,,,,,,,,,,4o71xxq6qdkhug58a073fxega,S. Machino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955971,10,7,1,0,42,6bus1cl4b6zdm93290r02o7cx,1,58.8,50.2,2023-03-12T06:04:11.821Z,2023-03-16T16:02:27Z,4091626929,56,Center,4100830109,384,,4091634519,233,45,4091626931,285,,,,,,,,,,,,,,12ndgojwoabbe9igew1ymcnop,S. Asada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518957637,43,49,1,0,43,6bus1cl4b6zdm93290r02o7cx,1,64.8,59.2,2023-03-12T06:04:12.904Z,2023-03-16T16:02:35Z,,,,,,,,,,,,,,,,,,,,,,,,,5cwzgbnlpamgpiwjlgn61i8k5,K. Kinoshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518955993,12,1,1,0,46,6bus1cl4b6zdm93290r02o7cx,1,67,68.1,2023-03-12T06:04:16.313Z,2023-03-16T16:02:40Z,4091627007,212,14.4,4091627001,56,Left,4091627005,141,88.9,4091627003,140,64.2,4091627009,213,1.8,,,,,,,,,,5cwzgbnlpamgpiwjlgn61i8k5,K. Kinoshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518956003,13,1,1,0,48,6bus1cl4b6zdm93290r02o7cx,0,63.2,86.2,2023-03-12T06:04:17.610Z,2023-03-16T16:02:44Z,4091627081,212,40.6,4091627077,140,86.9,4091627075,56,Center,4091627085,1,,4091627079,141,39.1,4091627083,213,5.4,4091627073,155,,,,,3qguujjae7411ruqhztrfojys,K. Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
